MRA_term,Modified_term,SearcherReturned_term,State,Rank
Acral lentiginous melanoma stage II,Acral lentiginous melanoma stage II,Acral lentiginous melanoma stage I,Unmatched,1st
Acral lentiginous melanoma stage III,Acral lentiginous melanoma stage III,Acral lentiginous melanoma stage II,Unmatched,1st
Acral lentiginous melanoma stage IV,Acral lentiginous melanoma stage IV,Acral lentiginous melanoma stage I,Unmatched,1st
Adenosquamous cell lung cancer stage I,Adenosquamous cell lung cancer stage I,Adenosquamous cell lung cancer stage 0,Unmatched,1st
Adenosquamous cell lung cancer stage II,Adenosquamous cell lung cancer stage II,Adenosquamous cell lung cancer stage I,Unmatched,1st
Adenosquamous cell lung cancer stage III,Adenosquamous cell lung cancer stage III,Adenosquamous cell lung cancer stage II,Unmatched,1st
Adenosquamous cell lung cancer stage IV,Adenosquamous cell lung cancer stage IV,Adenosquamous cell lung cancer stage I,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage II,Adult T-cell lymphoma/leukaemia stage II,Adult T-cell lymphoma/leukaemia stage I,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage III,Adult T-cell lymphoma/leukaemia stage III,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage IV,Adult T-cell lymphoma/leukaemia stage IV,Adult T-cell lymphoma/leukaemia stage I,Unmatched,1st
Alpha 2 globulin,Alpha 2 globulin,Alpha 1 globulin,Unmatched,1st
Alpha 2 globulin abnormal,Alpha 2 globulin abnormal,Alpha 1 globulin abnormal,Unmatched,1st
Alpha 2 globulin decreased,Alpha 2 globulin decreased,Alpha 1 globulin decreased,Unmatched,1st
Alpha 2 globulin increased,Alpha 2 globulin increased,Alpha 1 globulin increased,Unmatched,1st
Alpha 2 globulin normal,Alpha 2 globulin normal,Alpha 1 globulin normal,Unmatched,1st
Anal cancer stage I,Anal cancer stage I,Anal cancer stage 0,Unmatched,1st
Anal cancer stage II,Anal cancer stage II,Anal cancer stage I,Unmatched,1st
Anal cancer stage III,Anal cancer stage III,Anal cancer stage II,Unmatched,1st
Anal cancer stage IV,Anal cancer stage IV,Anal cancer stage I,Unmatched,1st
Anaplastic large cell lymphoma T- and null-cell types stage II,Anaplastic large cell lymphoma T- and null-cell types stage II,Anaplastic large cell lymphoma T- and null-cell types stage I,Unmatched,1st
Anaplastic large cell lymphoma T- and null-cell types stage III,Anaplastic large cell lymphoma T- and null-cell types stage III,Anaplastic large cell lymphoma T- and null-cell types stage II,Unmatched,1st
Anaplastic large cell lymphoma T- and null-cell types stage IV,Anaplastic large cell lymphoma T- and null-cell types stage IV,Anaplastic large cell lymphoma T- and null-cell types stage I,Unmatched,1st
Angiocentric lymphoma stage II,Angiocentric lymphoma stage II,Angiocentric lymphoma stage I,Unmatched,1st
Angiocentric lymphoma stage III,Angiocentric lymphoma stage III,Angiocentric lymphoma stage II,Unmatched,1st
Angiocentric lymphoma stage IV,Angiocentric lymphoma stage IV,Angiocentric lymphoma stage I,Unmatched,1st
Angioimmunoblastic T-cell lymphoma stage II,Angioimmunoblastic T-cell lymphoma stage II,Angioimmunoblastic T-cell lymphoma stage I,Unmatched,1st
Angioimmunoblastic T-cell lymphoma stage III,Angioimmunoblastic T-cell lymphoma stage III,Angioimmunoblastic T-cell lymphoma stage II,Unmatched,1st
Angioimmunoblastic T-cell lymphoma stage IV,Angioimmunoblastic T-cell lymphoma stage IV,Angioimmunoblastic T-cell lymphoma stage I,Unmatched,1st
Angiotensin II,Angiotensin II,Angiotensin I,Unmatched,1st
Angiotensin II abnormal,Angiotensin II abnormal,Angiotensin I abnormal,Unmatched,1st
Angiotensin II decreased,Angiotensin II decreased,Angiotensin I decreased,Unmatched,1st
Angiotensin II increased,Angiotensin II increased,Angiotensin I increased,Unmatched,1st
Angiotensin II normal,Angiotensin II normal,Angiotensin I normal,Unmatched,1st
Apolipoprotein A-II,Apolipoprotein A-II,Apolipoprotein A-I,Unmatched,1st
