MRA_term,Modified_term,SearcherReturned_term,State,Rank
Acral lentiginous melanoma stage IV,Acral lentiginous melanoma stage IV,Acral lentiginous melanoma stage II,Unmatched,2nd
Adenosquamous cell lung cancer stage IV,Adenosquamous cell lung cancer stage IV,Adenosquamous cell lung cancer stage II,Unmatched,2nd
Adult T-cell lymphoma/leukaemia stage IV,Adult T-cell lymphoma/leukaemia stage IV,Adult T-cell lymphoma/leukaemia stage II,Unmatched,2nd
Anal cancer stage IV,Anal cancer stage IV,Anal cancer stage II,Unmatched,2nd
Anaplastic large cell lymphoma T- and null-cell types stage IV,Anaplastic large cell lymphoma T- and null-cell types stage IV,Anaplastic large cell lymphoma T- and null-cell types stage II,Unmatched,2nd
Angiocentric lymphoma stage IV,Angiocentric lymphoma stage IV,Angiocentric lymphoma stage II,Unmatched,2nd
Angioimmunoblastic T-cell lymphoma stage IV,Angioimmunoblastic T-cell lymphoma stage IV,Angioimmunoblastic T-cell lymphoma stage II,Unmatched,2nd
B-cell lymphoma stage IV,B-cell lymphoma stage IV,B-cell lymphoma stage II,Unmatched,2nd
B-cell small lymphocytic lymphoma stage IV,B-cell small lymphocytic lymphoma stage IV,B-cell small lymphocytic lymphoma stage II,Unmatched,2nd
Bladder adenocarcinoma stage IV,Bladder adenocarcinoma stage IV,Bladder adenocarcinoma stage II,Unmatched,2nd
Bladder squamous cell carcinoma stage IV,Bladder squamous cell carcinoma stage IV,Bladder squamous cell carcinoma stage II,Unmatched,2nd
Blood group B,Blood group B,Blood group AB,Unmatched,2nd
Blood group O,Blood group O,Blood group B,Unmatched,2nd
Blood immunoglobulin G,Blood immunoglobulin G,Blood immunoglobulin E,Unmatched,2nd
Blood immunoglobulin G abnormal,Blood immunoglobulin G abnormal,Blood immunoglobulin E abnormal,Unmatched,2nd
Blood immunoglobulin G decreased,Blood immunoglobulin G decreased,Blood immunoglobulin E decreased,Unmatched,2nd
Blood immunoglobulin G increased,Blood immunoglobulin G increased,Blood immunoglobulin E increased,Unmatched,2nd
Blood immunoglobulin G normal,Blood immunoglobulin G normal,Blood immunoglobulin E normal,Unmatched,2nd
Blood immunoglobulin M,Blood immunoglobulin M,Blood immunoglobulin E,Unmatched,2nd
Blood immunoglobulin M abnormal,Blood immunoglobulin M abnormal,Blood immunoglobulin E abnormal,Unmatched,2nd
Blood immunoglobulin M decreased,Blood immunoglobulin M decreased,Blood immunoglobulin E decreased,Unmatched,2nd
Blood immunoglobulin M increased,Blood immunoglobulin M increased,Blood immunoglobulin E increased,Unmatched,2nd
Blood immunoglobulin M normal,Blood immunoglobulin M normal,Blood immunoglobulin E normal,Unmatched,2nd
Breast cancer stage IV,Breast cancer stage IV,Breast cancer stage II,Unmatched,2nd
Burkitt's lymphoma stage IV,Burkitt's lymphoma stage IV,Burkitt's lymphoma stage II,Unmatched,2nd
