MRA_term,Modified_term,SearcherReturned_term,State,Rank
Blood immunoglobulin M,Blood immunoglobulin M,Blood immunoglobulin G,Unmatched,3rd
Blood immunoglobulin M abnormal,Blood immunoglobulin M abnormal,Blood immunoglobulin G abnormal,Unmatched,3rd
Blood immunoglobulin M decreased,Blood immunoglobulin M decreased,Blood immunoglobulin G decreased,Unmatched,3rd
Blood immunoglobulin M increased,Blood immunoglobulin M increased,Blood immunoglobulin G increased,Unmatched,3rd
Blood immunoglobulin M normal,Blood immunoglobulin M normal,Blood immunoglobulin G normal,Unmatched,3rd
Chronic lymphocytic leukaemia stage 3,Chronic lymphocytic leukaemia stage 3,Chronic lymphocytic leukaemia stage 2,Unmatched,3rd
Chronic lymphocytic leukaemia stage 4,Chronic lymphocytic leukaemia stage 4,Chronic lymphocytic leukaemia stage 2,Unmatched,3rd
Factor XI deficiency,Factor XI deficiency,Factor IX deficiency,Unmatched,3rd
Hepatitis D,Hepatitis D,Hepatitis C,Unmatched,3rd
Hepatitis E,Hepatitis E,Hepatitis C,Unmatched,3rd
Hepatitis F,Hepatitis F,Hepatitis C,Unmatched,3rd
Hepatitis G,Hepatitis G,Hepatitis C,Unmatched,3rd
Hepatitis H,Hepatitis H,Hepatitis C,Unmatched,3rd
HIV infection CDC Group IV subgroup E,HIV infection CDC Group IV subgroup E,HIV infection CDC Group IV subgroup D,Unmatched,3rd
T-cell lymphoma stage I,T-cell lymphoma stage I,B-cell lymphoma stage IV,Unmatched,3rd
T-cell lymphoma stage II,T-cell lymphoma stage II,B-cell lymphoma stage III,Unmatched,3rd
T-cell lymphoma stage III,T-cell lymphoma stage III,T-cell lymphoma stage II,Unmatched,3rd
T-cell lymphoma stage IV,T-cell lymphoma stage IV,B-cell lymphoma stage IV,Unmatched,3rd
Vitamin E deficiency,Vitamin E deficiency,Vitamin D deficiency,Unmatched,3rd
Vitamin K deficiency,Vitamin K deficiency,Vitamin D deficiency,Unmatched,3rd
Complement factor C2 decreased,Complement factor C2 decreased,Complement factor C1 decreased,Unmatched,3rd
Complement factor C2 increased,Complement factor C2 increased,Complement factor C1 increased,Unmatched,3rd
Factor XII deficiency,Factor XII deficiency,Factor XI deficiency,Unmatched,3rd
Factor III deficiency,Factor III deficiency,Factor VIII deficiency,Unmatched,3rd
Factor X deficiency,Factor X deficiency,Factor XI deficiency,Unmatched,3rd
