unfoundTokens,addedTokens,count
ii,i,119
iii,ii,103
iv,i,87
i,0,33
e,a,16
b,a,16
d,a,11
t,b,11
c,b,10
c,a,9
2,1,9
d,c,8
x,ix,7
viii,vii,7
xiii,viii,7
1,2,7
g,a,6
xii,vii,6
a,c,5
a,b,5
m,a,5
urethral,ureteral,5
xi,ix,5
scar,scab,5
mm,mb,4
cd8,cd4,4
wave,waves,4
b,t,4
e,b,4
e,c,4
methanol,ethanol,4
e,d,4
ureteral,urethral,4
paternal,maternal,4
vgkc,vgcc,3
t,i,3
vii,ii,3
scab,scar,3
vith,ivth,3
po2,pco2,3
iv,ii,3
k,c,3
c4,c3,3
c2,c3,3
c,s,3
0,i,3
i,iv,3
b,c,3
b1,b12,3
a,d,3
b2,b12,3
bb,mb,2
abuser,abuse,2
h,k,2
i,ii,2
igm,iga,2
ii,iv,2
irrigation,irritation,2
ix,i,2
brca2,brca1,2
b,d,2
microglobulin,macroglobulin,2
n,k,2
p,q,2
p,t,2
s,c,2
v,i,2
vii,viii,2
xith,vith,2
5701,5801,2
ix,x,2
dna,rna,2
cd4,cd8,2
d,b,2
c1,c3,2
cyp2b6,cyp2d6,2
cysteine,cystine,2
v,iv,1
c,n,1
19,18,1
ureteritis,urethritis,1
2,0,1
u,t,1
t,q,1
2,2a,1
21,11,1
22,21,1
19,15,1
2b,2a,1
balt,malt,1
rr,pr,1
q,t,1
pyelitis,myelitis,1
portogram,aortogram,1
3,0,1
pco2,po2,1
3,1,1
c2,c1,1
v,x,1
vi,v,1
vi,iv,1
nephritic,nephrotic,1
xyy,xxyy,1
xxyy,xxxy,1
xxx,xxxy,1
c,d,1
xiith,viith,1
12,11,1
13,11,1
xii,ii,1
xi,x,1
14,11,1
xi,i,1
xa,x,1
x,v,1
15,11,1
x,i,1
15,19,1
vth,ivth,1
16,11,1
vipoma,lipoma,1
viith,viiith,1
17,11,1
c,i,1
18,11,1
o,a,1
3,9,1
nat1,nat2,1
hbv,hiv,1
cyp2c9,cyp2c19,1
ii,iii,1
9,8,1
igm,ige,1
cyp3a5,cyp3a4,1
igd,ige,1
i,v,1
1,0,1
cyst,cast,1
hcv,hiv,1
h3n2,h2n2,1
iia,ii,1
b12,b1,1
h,a,1
ab,a,1
frasier,fraser,1
fascial,facial,1
f,a,1
ethanol,ethanal,1
enophthalmos,anophthalmos,1
e,s,1
arteritis,arthritis,1
ii,ix,1
iib,ii,1
b6,b1,1
j,q,1
depletion,deletion,1
carbuncle,caruncle,1
microcytes,macrocytes,1
4,0,1
macroangiopathy,microangiopathy,1
cd20,cd25,1
laceration,maceration,1
5801,5701,1
k,a,1
j,t,1
ix,xi,1
9,3,1
ix,iv,1
b2,b1,1
ivth,vith,1
ivb,iva,1
iv,v,1
7,6,1
8,6,1
infection,injection,1
iiib,iii,1
iiia,iii,1
y,x,1
