unfoundTokens,addedTokens,count
iv,ii,86
e,b,8
c,b,7
xii,xi,6
d,b,6
x,v,6
d,e,6
xiii,xii,5
xi,x,5
m,e,5
g,e,5
e,c,4
t,b,4
a,e,4
c2,c4,3
i,ii,3
b1,b6,3
b2,b6,3
c,e,3
d,a,3
e,a,2
k,e,2
d,c,2
ii,iv,2
ix,ii,2
iii,vii,2
c1,c4,2
iv,i,2
vi,i,2
a,c,2
vth,vith,1
xii,vii,1
ix,i,1
xi,ix,1
j,p,1
xi,ii,1
k,a,1
k,c,1
x,ix,1
n,h,1
vith,viith,1
q,p,1
o,b,1
p,j,1
p,t,1
vii,vi,1
vii,iii,1
v,iv,1
v,i,1
12,13,1
i,iv,1
iiib,iiia,1
iii,iia,1
15,13,1
16,13,1
17,13,1
18,13,1
2,1,1
2b,2,1
3,1,1
3,2,1
4,1,1
8,7,1
b,a,1
b,ab,1
b,d,1
b,e,1
b2,b12,1
b6,b2,1
c,t,1
f,b,1
g,b,1
h,b,1
h,n,1
14,13,1
igd,igm,1
ii,i,1
ii,iii,1
ii,vii,1
iib,iia,1
xith,xiith,1
