MRA_term,Modified_term,SearcherReturned_term,State,Rank
17 ketosteroids urine increased,17 ketosteroids urine increased,17 ketosteroids urine decreased,Unmatched,1st
Abortion incomplete complicated,Abortion incomplete complicated,Abortion complete complicated,Unmatched,1st
Abortion induced incomplete complicated,Abortion induced incomplete complicated,Abortion induced complete complicated,Unmatched,1st
Abortion spontaneous incomplete complicated,Abortion spontaneous incomplete complicated,Abortion spontaneous complete complicated,Unmatched,1st
Acid base balance normal,Acid base balance normal,Acid base balance abnormal,Unmatched,1st
Acoustic stimulation tests normal,Acoustic stimulation tests normal,Acoustic stimulation tests abnormal,Unmatched,1st
Acral lentiginous melanoma stage III,Acral lentiginous melanoma stage III,Acral lentiginous melanoma stage II,Unmatched,1st
Acral lentiginous melanoma stage IV,Acral lentiginous melanoma stage IV,Acral lentiginous melanoma stage II,Unmatched,1st
Activated partial thromboplastin time normal,Activated partial thromboplastin time normal,Activated partial thromboplastin time abnormal,Unmatched,1st
Adenosquamous cell lung cancer stage I,Adenosquamous cell lung cancer stage I,Adenosquamous cell lung cancer stage 0,Unmatched,1st
Adenosquamous cell lung cancer stage III,Adenosquamous cell lung cancer stage III,Adenosquamous cell lung cancer stage II,Unmatched,1st
Adenosquamous cell lung cancer stage IV,Adenosquamous cell lung cancer stage IV,Adenosquamous cell lung cancer stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage III,Adult T-cell lymphoma/leukaemia stage III,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage IV,Adult T-cell lymphoma/leukaemia stage IV,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Alanine aminotransferase increased,Alanine aminotransferase increased,Alanine aminotransferase decreased,Unmatched,1st
Alanine aminotransferase normal,Alanine aminotransferase normal,Alanine aminotransferase abnormal,Unmatched,1st
Albumin globulin ratio increased,Albumin globulin ratio increased,Albumin globulin ratio decreased,Unmatched,1st
Albumin globulin ratio normal,Albumin globulin ratio normal,Albumin globulin ratio abnormal,Unmatched,1st
Aldolase increased,Aldolase increased,Aldolase decreased,Unmatched,1st
Aldosterone urine increased,Aldosterone urine increased,Aldosterone urine decreased,Unmatched,1st
Alpha 1 foetoprotein amniotic fluid normal,Alpha 1 foetoprotein amniotic fluid normal,Alpha 1 foetoprotein amniotic fluid abnormal,Unmatched,1st
Alpha 1 foetoprotein increased,Alpha 1 foetoprotein increased,Alpha 1 foetoprotein decreased,Unmatched,1st
Alpha 1 foetoprotein normal,Alpha 1 foetoprotein normal,Alpha 1 foetoprotein abnormal,Unmatched,1st
Alpha 1 globulin increased,Alpha 1 globulin increased,Alpha 1 globulin decreased,Unmatched,1st
Alpha 1 globulin normal,Alpha 1 globulin normal,Alpha 1 globulin abnormal,Unmatched,1st
Alpha 2 globulin,Alpha 2 globulin,Alpha 1 globulin,Unmatched,1st
Alpha 2 globulin abnormal,Alpha 2 globulin abnormal,Alpha 1 globulin abnormal,Unmatched,1st
Alpha 2 globulin decreased,Alpha 2 globulin decreased,Alpha 1 globulin decreased,Unmatched,1st
Alpha 2 globulin increased,Alpha 2 globulin increased,Alpha 1 globulin decreased,Unmatched,1st
Alpha 2 globulin normal,Alpha 2 globulin normal,Alpha 1 globulin abnormal,Unmatched,1st
Alpha-1 anti-trypsin increased,Alpha-1 anti-trypsin increased,Alpha-1 anti-trypsin decreased,Unmatched,1st
Alpha-1 anti-trypsin normal,Alpha-1 anti-trypsin normal,Alpha-1 anti-trypsin abnormal,Unmatched,1st
American trypanosomiasis,American trypanosomiasis,African trypanosomiasis,Unmatched,1st
Amino acid metabolism disorder,Amino acid metabolism disorder,Amino acid catabolism disorder,Unmatched,1st
Ammonia increased,Ammonia increased,Ammonia decreased,Unmatched,1st
Ammonia normal,Ammonia normal,Ammonia abnormal,Unmatched,1st
Amniocentesis normal,Amniocentesis normal,Amniocentesis abnormal,Unmatched,1st
Amnioscopy normal,Amnioscopy normal,Amnioscopy abnormal,Unmatched,1st
Amylase increased,Amylase increased,Amylase decreased,Unmatched,1st
Anaemia vitamin B6 deficiency,Anaemia vitamin B6 deficiency,Anaemia vitamin B12 deficiency,Unmatched,1st
Anal cancer stage I,Anal cancer stage I,Anal cancer stage 0,Unmatched,1st
