MRA_term,Modified_term,SearcherReturned_term,State,Rank
Alpha 2 globulin abnormal,Alpha 2 globulin abnormal,Alpha 1 globulin normal,Unmatched,2nd
Alpha 2 globulin decreased,Alpha 2 globulin decreased,Alpha 1 globulin increased,Unmatched,2nd
Alpha 2 globulin increased,Alpha 2 globulin increased,Alpha 1 globulin increased,Unmatched,2nd
Alpha 2 globulin normal,Alpha 2 globulin normal,Alpha 1 globulin normal,Unmatched,2nd
Biopsy pharynx abnormal,Biopsy pharynx abnormal,Biopsy larynx normal,Unmatched,2nd
Biopsy pharynx normal,Biopsy pharynx normal,Biopsy larynx normal,Unmatched,2nd
Blood calcium decreased,Blood calcium decreased,Blood cadmium increased,Unmatched,2nd
Blood calcium increased,Blood calcium increased,Blood cadmium increased,Unmatched,2nd
Blood calcium normal,Blood calcium normal,Blood calcium abnormal,Unmatched,2nd
Blood creatine phosphokinase MM normal,Blood creatine phosphokinase MM normal,Blood creatine phosphokinase MB normal,Unmatched,2nd
Blood creatinine abnormal,Blood creatinine abnormal,Blood creatine normal,Unmatched,2nd
Blood creatinine decreased,Blood creatinine decreased,Blood creatine increased,Unmatched,2nd
Blood creatinine increased,Blood creatinine increased,Blood creatine increased,Unmatched,2nd
Blood creatinine normal,Blood creatinine normal,Blood creatine normal,Unmatched,2nd
Blood ethanol increased,Blood ethanol increased,Blood ethanol decreased,Unmatched,2nd
Blood group B,Blood group B,Blood group AB,Unmatched,2nd
Blood group O,Blood group O,Blood group B,Unmatched,2nd
Blood immunoglobulin E abnormal,Blood immunoglobulin E abnormal,Blood immunoglobulin A normal,Unmatched,2nd
Blood immunoglobulin E decreased,Blood immunoglobulin E decreased,Blood immunoglobulin A increased,Unmatched,2nd
Blood immunoglobulin E increased,Blood immunoglobulin E increased,Blood immunoglobulin A increased,Unmatched,2nd
Blood immunoglobulin E normal,Blood immunoglobulin E normal,Blood immunoglobulin A normal,Unmatched,2nd
Blood immunoglobulin G,Blood immunoglobulin G,Blood immunoglobulin E,Unmatched,2nd
Blood immunoglobulin G abnormal,Blood immunoglobulin G abnormal,Blood immunoglobulin A normal,Unmatched,2nd
Blood immunoglobulin G decreased,Blood immunoglobulin G decreased,Blood immunoglobulin A increased,Unmatched,2nd
Blood immunoglobulin G increased,Blood immunoglobulin G increased,Blood immunoglobulin A increased,Unmatched,2nd
Blood immunoglobulin G normal,Blood immunoglobulin G normal,Blood immunoglobulin A normal,Unmatched,2nd
Blood immunoglobulin M,Blood immunoglobulin M,Blood immunoglobulin E,Unmatched,2nd
Blood immunoglobulin M abnormal,Blood immunoglobulin M abnormal,Blood immunoglobulin A normal,Unmatched,2nd
Blood immunoglobulin M decreased,Blood immunoglobulin M decreased,Blood immunoglobulin A increased,Unmatched,2nd
Blood immunoglobulin M increased,Blood immunoglobulin M increased,Blood immunoglobulin A increased,Unmatched,2nd
Blood immunoglobulin M normal,Blood immunoglobulin M normal,Blood immunoglobulin A normal,Unmatched,2nd
Blood methanol decreased,Blood methanol decreased,Blood ethanol decreased,Unmatched,2nd
Blood methanol increased,Blood methanol increased,Blood ethanol decreased,Unmatched,2nd
