MRA_term,Modified_term,SearcherReturned_term,State,Rank
Alpha 2 globulin increased,Alpha 2 globulin increased,Alpha 2 globulin decreased,Unmatched,3rd
Alpha 2 globulin normal,Alpha 2 globulin normal,Alpha 2 globulin abnormal,Unmatched,3rd
Biopsy pharynx normal,Biopsy pharynx normal,Biopsy pharynx abnormal,Unmatched,3rd
Blood calcium increased,Blood calcium increased,Blood calcium decreased,Unmatched,3rd
Blood creatinine increased,Blood creatinine increased,Blood creatinine decreased,Unmatched,3rd
Blood creatinine normal,Blood creatinine normal,Blood creatinine abnormal,Unmatched,3rd
Blood immunoglobulin E increased,Blood immunoglobulin E increased,Blood immunoglobulin E decreased,Unmatched,3rd
Blood immunoglobulin E normal,Blood immunoglobulin E normal,Blood immunoglobulin E abnormal,Unmatched,3rd
Blood immunoglobulin G abnormal,Blood immunoglobulin G abnormal,Blood immunoglobulin E abnormal,Unmatched,3rd
Blood immunoglobulin G decreased,Blood immunoglobulin G decreased,Blood immunoglobulin E decreased,Unmatched,3rd
Blood immunoglobulin G increased,Blood immunoglobulin G increased,Blood immunoglobulin E decreased,Unmatched,3rd
Blood immunoglobulin G normal,Blood immunoglobulin G normal,Blood immunoglobulin E abnormal,Unmatched,3rd
Blood immunoglobulin M,Blood immunoglobulin M,Blood immunoglobulin G,Unmatched,3rd
Blood immunoglobulin M abnormal,Blood immunoglobulin M abnormal,Blood immunoglobulin E abnormal,Unmatched,3rd
Blood immunoglobulin M decreased,Blood immunoglobulin M decreased,Blood immunoglobulin E decreased,Unmatched,3rd
Blood immunoglobulin M increased,Blood immunoglobulin M increased,Blood immunoglobulin E decreased,Unmatched,3rd
Blood immunoglobulin M normal,Blood immunoglobulin M normal,Blood immunoglobulin E abnormal,Unmatched,3rd
Blood methanol decreased,Blood methanol decreased,Blood ethanol increased,Unmatched,3rd
Blood methanol increased,Blood methanol increased,Blood ethanol increased,Unmatched,3rd
Chronic lymphocytic leukaemia stage 3,Chronic lymphocytic leukaemia stage 3,Chronic lymphocytic leukaemia stage 2,Unmatched,3rd
Chronic lymphocytic leukaemia stage 4,Chronic lymphocytic leukaemia stage 4,Chronic lymphocytic leukaemia stage 2,Unmatched,3rd
Coagulation factor VIII level increased,Coagulation factor VIII level increased,Coagulation factor VIII level decreased,Unmatched,3rd
Coagulation factor X level decreased,Coagulation factor X level decreased,Coagulation factor V level decreased,Unmatched,3rd
Coagulation factor X level increased,Coagulation factor X level increased,Coagulation factor V level decreased,Unmatched,3rd
Coagulation factor XI level increased,Coagulation factor XI level increased,Coagulation factor XI level decreased,Unmatched,3rd
Coagulation factor XII level,Coagulation factor XII level,Coagulation factor VIII level,Unmatched,3rd
Coagulation factor XII level decreased,Coagulation factor XII level decreased,Coagulation factor VII level decreased,Unmatched,3rd
Coagulation factor XII level increased,Coagulation factor XII level increased,Coagulation factor VII level decreased,Unmatched,3rd
Coagulation factor XIII level,Coagulation factor XIII level,Coagulation factor XI level,Unmatched,3rd
Coagulation factor XIII level decreased,Coagulation factor XIII level decreased,Coagulation factor VIII level decreased,Unmatched,3rd
Coagulation factor XIII level increased,Coagulation factor XIII level increased,Coagulation factor VIII level decreased,Unmatched,3rd
Factor XIII deficiency,Factor XIII deficiency,Factor VIII deficiency,Unmatched,3rd
Gonioscopy normal,Gonioscopy normal,Gonioscopy abnormal,Unmatched,3rd
Haptoglobin increased,Haptoglobin increased,Haptoglobin decreased,Unmatched,3rd
Haptoglobin normal,Haptoglobin normal,Haptoglobin abnormal,Unmatched,3rd
Hepatitis B antibody normal,Hepatitis B antibody normal,Hepatitis B antibody abnormal,Unmatched,3rd
Hepatitis D,Hepatitis D,Hepatitis C,Unmatched,3rd
Hepatitis E,Hepatitis E,Hepatitis C,Unmatched,3rd
Hepatitis F,Hepatitis F,Hepatitis C,Unmatched,3rd
Hepatitis G,Hepatitis G,Hepatitis C,Unmatched,3rd
Hepatitis H,Hepatitis H,Hepatitis C,Unmatched,3rd
HIV infection CDC Group IV subgroup E,HIV infection CDC Group IV subgroup E,HIV infection CDC Group IV subgroup D,Unmatched,3rd
Lipids increased,Lipids increased,Lipids decreased,Unmatched,3rd
Non-small cell lung cancer stage IIIB,Non-small cell lung cancer stage IIIB,Non-small cell lung cancer stage IIIA,Unmatched,3rd
Oestriol increased,Oestriol increased,Oestriol decreased,Unmatched,3rd
Paracentesis eye normal,Paracentesis eye normal,Paracentesis eye abnormal,Unmatched,3rd
Pharyngeal cancer stage I,Pharyngeal cancer stage I,Laryngeal cancer stage II,Unmatched,3rd
