unfoundTokens,addedTokens,count
normal,abnormal,541
increased,decreased,344
decreased,increased,279
abnormal,normal,253
iii,ii,103
iv,ii,90
i,0,34
pharyngeal,laryngeal,19
incision,infusion,16
e,a,16
b,a,16
retinal,renal,14
male,female,14
eye,ear,14
t,b,12
d,a,11
laryngeal,pharyngeal,10
creatinine,creatine,10
c,b,10
2,1,10
c,a,9
1,2,8
d,c,8
wave,waves,8
hyperaesthesia,hypoaesthesia,7
renal,retinal,7
renal,anal,7
restenosis,stenosis,7
anaesthesia,paraesthesia,7
mass,rash,7
x,ix,7
a,b,6
hypoaesthesia,hyperaesthesia,6
g,a,6
cd8,cd4,6
b6,b12,6
xi,ix,6
nasal,anal,6
urethral,ureteral,5
xiii,vii,5
rectal,renal,5
renal,adrenal,5
xii,ix,5
ear,eye,5
calcium,cadmium,5
a,c,5
m,a,5
viii,vii,5
ureteral,urethral,4
anal,renal,4
e,c,4
scar,scab,4
pharynx,larynx,4
e,d,4
e,b,4
incomplete,complete,4
oestriol,oestradiol,4
perineal,peritoneal,4
indirect,direct,4
infusion,incision,4
paternal,maternal,4
paraesthesia,anaesthesia,4
papule,macule,4
hyperplasia,hypoplasia,4
hyperthyroidism,hypothyroidism,4
haptoglobin,haemoglobin,4
mm,mb,4
irrigation,irritation,3
septic,hepatic,3
t,i,3
jc,bk,3
k,c,3
microglobulin,macroglobulin,3
infarction,infection,3
ldl,cd4,3
c4,c3,3
c2,c3,3
nasal,nail,3
hamartoma,haematoma,3
dental,rectal,3
scab,scar,3
s,c,3
ii,iv,3
ia2,gad,3
i,iv,3
hypoplasia,hyperplasia,3
hypopigmentation,hyperpigmentation,3
ear,heart,3
oral,anal,3
p,q,3
rash,mass,3
hdl,cd8,3
hydroxycholecalciferol,dihydroxycholecalciferol,3
0,i,3
macule,papule,3
25,"1,25",3
b,c,3
anal,nasal,3
a,d,3
vgkc,vgcc,3
vii,ii,3
anal,oral,3
vith,ivth,3
vertebral,cerebral,3
adrenal,renal,3
b2,b12,3
b,t,3
urological,neurological,3
b1,b12,3
atrial,arterial,3
renal,dental,2
brca2,brca1,2
pco2,po2,2
effective,ineffective,2
vein,skin,2
penis,pelvis,2
endoscopy,fundoscopy,2
ethanol,ethanal,2
hair,nail,2
arteriogram,arthrogram,2
hair,ear,2
h,k,2
angiogram,audiogram,2
gonioscopy,amnioscopy,2
use,abuse,2
genital,general,2
genital,dental,2
v,i,2
po2,pco2,2
abuser,abuse,2
hip,rib,2
htlv,hiv,2
mastitis,gastritis,2
lipids,libido,2
limb,lip,2
lenticular,testicular,2
methanol,ethanal,2
methanol,ethanol,2
xith,ivth,2
j,q,2
moraxella,morganella,2
ix,ii,2
n,k,2
insertion,infection,2
nail,hair,2
infection,infarction,2
neck,back,2
nephropathy,neuropathy,2
igm,iga,2
50,549,2
5701,5801,2
i,ii,2
viii,ii,2
vii,viii,2
hypertension,hypotension,2
hypermotility,hypomotility,2
hyperglycaemic,hypoglycaemic,2
ear,head,2
anaphylactoid,anaphylactic,2
cranial,radial,2
c,s,2
seminal,retinal,2
cysteine,cystine,2
cyp3a4,cyp1a2,2
t,q,2
bb,mb,2
cyp2b6,cyp2d6,2
d,b,2
tetrahydrocortisone,tetrahydrocortisol,2
tarsal,carpal,2
c1,c3,2
bone,nose,2
spine,skin,2
colposcopy,colonoscopy,2
cerebral,vertebral,2
dna,rna,2
b,d,2
stenosis,restenosis,2
complete,incomplete,2
systolic,symbolic,1
x,i,1
steatosis,stenosis,1
sweat,smear,1
norovirus,oncovirus,1
x,v,1
widal,viral,1
spleen,sleep,1
xerosis,necrosis,1
nail,nasal,1
nr5a1,brca1,1
nat1,nat2,1
western,eastern,1
norovirus,nairovirus,1
werner's,horner's,1
suture,rupture,1
nephritic,nephrotic,1
nephrological,neurological,1
xi,ii,1
vth,ivth,1
nose,bone,1
stent,shunt,1
nest,nose,1
tracheal,urachal,1
vipoma,lipoma,1
route,rate,1
nail,anal,1
torsion,erosion,1
microcytes,macrocytes,1
y,x,1
tet2,ret,1
xyy,xxxy,1
test,chest,1
mastopathy,gastropathy,1
meigs,meige's,1
tear,tap,1
tear,scar,1
melas,meigs,1
mental,renal,1
xxyy,xxxy,1
metabolism,catabolism,1
xxx,xxxy,1
metatarsal,metacarpal,1
xiith,ivth,1
nail,gait,1
mite,milk,1
xiii,viii,1
mlasa,melas,1
xiii,ii,1
tooth,foot,1
torch,tooth,1
morvan,irvan,1
mouth,tooth,1
mpl,cbl,1
xii,viii,1
xii,ii,1
mutation,luxation,1
myelitis,myositis,1
nut,ret,1
viith,ivth,1
oncovirus,norovirus,1
o,a,1
portogram,aortogram,1
v,iv,1
reading,eating,1
v,x,1
pyelitis,myelitis,1
vascular,macular,1
pupillary,capillary,1
unicuspid,bicuspid,1
ocular,nodular,1
scar,ear,1
polyps,polyp,1
u,t,1
pigmentation,depigmentation,1
picking,pitting,1
vascular,vesicular,1
scan,scar,1
scale,care,1
unilateral,bilateral,1
renal,mental,1
renal,rectal,1
user,ulcer,1
reocclusion,occlusion,1
reoviral,retroviral,1
ureteritis,urethritis,1
rupture,culture,1
rr,pr,1
retinitis,rhinitis,1
rett,crest,1
rib,hip,1
urethra,ureter,1
rib,limb,1
rod,cord,1
scar,eschar,1
peritoneum,perineum,1
peritoneal,perineal,1
truss,stress,1
omental,dental,1
urethritis,arthritis,1
vi,iv,1
oral,gram,1
orbivirus,rubivirus,1
ortner's,horner's,1
vi,ii,1
spinal,seminal,1
p,t,1
sphincterectomy,sphincterotomy,1
spherocytes,siderocytes,1
pain,sprain,1
vestibular,testicular,1
pain,stain,1
pains,pain,1
turner's,horner's,1
soft,lift,1
papular,macular,1
vesiculitis,vasculitis,1
snapping,slipping,1
skin,vein,1
vesicular,vascular,1
pash,aase,1
tube,lobe,1
pelvis,penis,1
penis,panic,1
sepsis,stasis,1
senile,penile,1
sciatic,ischiatic,1
scar,scan,1
test,cyst,1
iia,ii,1
macular,vascular,1
aural,anal,1
capsulectomy,capsulotomy,1
calr,cftr,1
c2,c1,1
c,n,1
c,i,1
c,d,1
breast,blast,1
brash,crush,1
brain,pain,1
braf,brca1,1
bpes,ipex,1
bone,toe,1
bone,bovine,1
bone,acne,1
bilateral,unilateral,1
bifascicular,trifascicular,1
barre,barrel,1
balt,malt,1
b6,b1,1
b2,b1,1
b12,b6,1
carbuncle,caruncle,1
card9,acad9,1
care,caries,1
culture,rupture,1
decompression,compression,1
cytopathy,myopathy,1
cystopathy,mastopathy,1
cystectomy,mastectomy,1
cyst,cystic,1
cyst,csf,1
cyst,cast,1
cyp3a5,cyp1a2,1
cyp2c9,cyp2d6,1
crush,crest,1
care,scale,1
croup,cross,1
cowden's,bowen's,1
cortical,cervical,1
copa,cobb,1
coma,stoma,1
coating,foaming,1
clonic,tonic,1
choroid,thyroid,1
cd20,cd25,1
b12,b1,1
atrio,aorto,1
dental,genital,1
atopic,toxic,1
3101,5801,1
3,9,1
3,1,1
