unfoundTokens,addedTokens,count
decreased,increased,30
abnormal,normal,29
increased,decreased,15
normal,abnormal,10
creatinine,creatine,8
e,b,8
e,a,8
c,b,8
a,c,6
e,c,6
d,b,6
b,a,5
pharyngeal,laryngeal,5
xi,ix,5
d,c,5
2,1,5
ii,iii,4
renal,anal,4
renal,rectal,4
d,a,4
renal,retinal,4
t,b,4
haptoglobin,haemoglobin,4
g,a,4
xii,vii,4
m,a,4
x,v,4
viii,vii,3
x,ix,3
po2,pco2,3
b6,b12,3
xii,ix,3
eye,ear,3
k,c,3
b2,b12,3
xiii,vii,3
xiii,viii,3
i,ii,3
cd4,cd8,3
c4,c3,2
calcium,cadmium,2
c2,c3,2
c1,c3,2
c,e,2
colposcopy,colonoscopy,2
ear,heart,2
25,"1,25",2
d,e,2
dental,rectal,2
dna,rna,2
pharynx,larynx,2
gonioscopy,amnioscopy,2
incision,infusion,2
iii,vii,2
a,e,2
oestriol,oestradiol,2
hyperaesthesia,hypoaesthesia,2
hydroxycholecalciferol,dihydroxycholecalciferol,2
angiogram,audiogram,2
arteriogram,arthrogram,2
urological,neurological,2
b,c,2
tetrahydrocortisone,tetrahydrocortisol,2
methanol,ethanol,2
b,t,2
b1,b12,2
lipids,libido,2
p,t,2
restenosis,stenosis,2
endoscopy,fundoscopy,2
ix,iv,1
j,t,1
oestradiol,oestriol,1
mastitis,cystitis,1
n,h,1
o,b,1
nasal,nail,1
m,e,1
k,a,1
lens,penis,1
mm,mb,1
oral,viral,1
mb,mm,1
0,i,1
rash,mass,1
orbivirus,arbovirus,1
vii,vi,1
xxx,xxyy,1
xith,vith,1
xith,viith,1
xiith,viiith,1
widal,wada,1
werner's,turner's,1
vth,viith,1
vith,viiith,1
viith,viiith,1
viii,vi,1
vii,xiii,1
vii,viii,1
vii,iii,1
p,j,1
vi,ii,1
v,iv,1
v,i,1
tear,test,1
scar,scab,1
reoviral,arboviral,1
renal,adrenal,1
ivb,ii,1
q,t,1
penis,pelvis,1
pash,brash,1
paraesthesia,anaesthesia,1
ix,ii,1
hair,nail,1
iva,ii,1
anal,oral,1
8,13,1
8,7,1
9,13,1
a,b,1
anaesthesia,paraesthesia,1
anal,nail,1
anal,renal,1
brash,barth,1
b,ab,1
b,d,1
b,e,1
b1,b6,1
b12,b6,1
b2,b6,1
72,19,1
72,15,1
4p,13,1
4,9,1
4,3,1
4,1,1
3101,5701,1
3,2,1
3,1,1
2b,2,1
22,13,1
21,13,1
18,13,1
17,13,1
16,13,1
15,13,1
14,13,1
braf,brca2,1
c,s,1
iv,vi,1
ii,iv,1
h3n2,h2n2,1
12,13,1
hamartoma,haematoma,1
heart,ear,1
i,iv,1
igd,igm,1
ii,vii,1
c,t,1
iib,iia,1
iii,iia,1
iiia,iii,1
iiib,iii,1
infarction,infection,1
infusion,incision,1
h,n,1
h,b,1
globin,globulin,1
gaming,gambling,1
g,e,1
g,b,1
flood,good,1
f,b,1
ear,eye,1
dural,viral,1
dental,renal,1
cyp3a5,cyp3a4,1
cyp2c9,cyp2c19,1
cd8,hdl,1
cd4,ldl,1
calr,cbl,1
c2,c4,1
xyy,xxyy,1
