unfoundTokens,addedTokens,count
increased,decreased,21
normal,abnormal,20
decreased,increased,15
abnormal,normal,10
e,c,5
d,c,5
m,e,4
d,e,4
e,d,4
g,e,4
iv,ii,3
xii,vii,3
xii,viii,3
ii,iv,3
xiii,viii,3
iii,ii,3
p,t,2
cd4,cd8,2
pharyngeal,laryngeal,2
i,ii,2
e,b,2
c1,c4,2
k,e,2
k,d,2
iii,viii,2
methanol,ethanol,2
c2,c4,2
viii,vii,2
b1,b6,2
x,ix,2
xiii,vii,2
a,e,2
x,v,2
t,b,2
renal,rectal,2
b2,b6,2
renal,anal,2
xith,vith,1
ivb,iii,1
ldl,cd4,1
xiith,viith,1
j,t,1
xiii,xi,1
xii,ix,1
x,xi,1
po2,pco2,1
werner's,vernet's,1
m,g,1
mb,bb,1
q,t,1
mm,bb,1
vth,vith,1
vith,viith,1
vii,vi,1
oestradiol,oestriol,1
iva,iii,1
12,21,1
infusion,incision,1
b12,b6,1
b,e,1
anal,renal,1
anaesthesia,paraesthesia,1
a,d,1
a,b,1
9,21,1
8,21,1
4p,21,1
4,2,1
3,2,1
22,21,1
18,21,1
17,21,1
16,21,1
15,21,1
b,t,1
b2,b1,1
iiib,iiia,1
b6,b2,1
iii,iib,1
i,iv,1
14,21,1
i,0,1
hdl,cd8,1
h,c,1
genital,dental,1
g,c,1
f,c,1
dental,genital,1
d,g,1
d,a,1
cyp2c9,cyp2b6,1
c,s,1
c,e,1
xxx,xyy,1
