unfoundTokens,addedTokens,count
decreased,increased,8
d,e,8
abnormal,normal,7
increased,decreased,6
x,v,5
g,e,4
m,e,4
normal,abnormal,4
k,e,4
xiii,viii,4
renal,rectal,3
xii,xi,2
i,iv,2
e,b,2
a,e,2
xii,ix,2
c1,c4,2
b2,b6,2
b1,b6,2
xii,vii,2
c2,c4,2
xi,xii,1
xii,viii,1
j,p,1
renal,anal,1
q,p,1
pharyngeal,laryngeal,1
xiii,xi,1
mm,mb,1
xiii,xii,1
xiith,vith,1
12,22,1
ivb,iva,1
9,22,1
15,22,1
16,22,1
17,22,1
18,22,1
4,3,1
4p,22,1
8,22,1
d,a,1
iii,xiii,1
d,m,1
e,a,1
e,d,1
f,d,1
g,d,1
14,22,1
h,d,1
xith,vth,1
