,CONTROL GROUP,Typo125_NoReturnTerms.csv,Typo17_NoReturnTerms.csv,Typo25_NoReturnTerms.csv
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,45,0,0,0
4,370,0,0,0
5,1160,0,0,0
6,4350,0,0,114
7,7405,0,0,269
8,18000,0,0,590
9,19950,0,344,719
10,17975,2,303,600
11,18075,0,352,18016
12,12340,136,211,12313
13,7720,95,127,7703
14,6295,52,103,6293
15,3085,28,3084,3085
16,2535,15,2535,2535
17,1290,13,1290,1290
18,835,7,835,835
19,585,4,585,585
20,260,2,260,260
21,225,225,225,225
22,170,170,170,170
23,45,45,45,45
24,85,85,85,85
25,30,30,30,30
26,5,5,5,5
27,15,15,15,15
28,5,5,5,5
29,0,0,0,0
30,0,0,0,0
