MRA_term,Modified_term,ChangedBack,SearcherReturned_term,State,Rank
Abdominal mass,ab mass,ab mass,Extranodal marginal zone B-cell lymphoma (MALT type),Unmatched,2nd
Abdominal tenderness,abdominal warm,abdominal warm,Abdominal wall anomaly,Unmatched,2nd
Abnormal faeces,abnormal BM,abnormal movements,Abnormal involuntary movement scale,Unmatched,2nd
Abortion,miscarriage,miscarriage,Risk of future pregnancy miscarriage,Unmatched,2nd
Abortion,abort,aborted,Procedure aborted,Unmatched,2nd
Abortion induced,abortion induction,abortion induction,Post abortion infection,Unmatched,2nd
Abortion infected,abortion infective,abortion infective,Post abortion infection,Unmatched,2nd
Abortion infected,abortion infection,abortion infection,Post abortion infection,Unmatched,2nd
Abscess intestinal,abscess enteral,abscess enteral,Fungal abscess central nervous system,Unmatched,2nd
Accident,stroke,stroke,Haemorrhagic stroke,Unmatched,2nd
Accident,accidental,accidental,Accidental poisoning,Unmatched,2nd
Accommodation disorder,adjustment disorder,adjustment disorder,Adjustment disorder with anxiety,Unmatched,2nd
Adenoidal hypertrophy,nasal hypertrophy,nasal hypertrophy,Nasal turbinate hypertrophy,Unmatched,2nd
Adenosquamous cell lung cancer stage II,adenosquamous cell lung cancer stage 2,adenosquamous cell lung cancer stage 2,Adenosquamous cell lung cancer stage I,Unmatched,2nd
Adenosquamous cell lung cancer stage III,adenosquamous cell lung cancer stage 3,adenosquamous cell lung cancer stage 3,Adenosquamous cell lung cancer stage I,Unmatched,2nd
Adenosquamous cell lung cancer stage IV,adenosquamous cell lung cancer stage 4,adenosquamous cell lung cancer stage 4,Adenosquamous cell lung cancer stage I,Unmatched,2nd
Adoption,adopt,acquired,Dacryoadenitis acquired,Unmatched,2nd
Adrenal disorder,adrenal trouble,adrenal pain,Renal vein embolism,Unmatched,2nd
Affective disorder,emote disorder,emotion disorder,Emotional disorder of childhood,Unmatched,2nd
Aged parent,aged raise,aged raise,Acid base balance abnormal,Unmatched,2nd
Aggression,hostility,hostility,Oesophageal motility test,Unmatched,2nd
Agitation,ferment,work,Stress at work,Unmatched,2nd
Agranulocytosis,granulocytopenia,granulocytopenia,Granulocytopenia neonatal,Unmatched,2nd
Albuminuria,proteinuria,proteinuria,Orthostatic proteinuria,Unmatched,2nd
Alcoholic,alcohol,alcohol,Alcohol interaction,Unmatched,2nd
Alcoholism,inebriate,alcohol,Alcohol interaction,Unmatched,2nd
Alpha 2 globulin abnormal,alpha 2 globulin unnatural,alpha 2 globulins abnormal,Alpha 1 globulin normal,Unmatched,2nd
Alpha 2 globulin decreased,alpha 2 globulin diminution,alpha 2 globulins decreased,Alpha 1 globulin increased,Unmatched,2nd
Alpha 2 globulin decreased,alpha 2 globulin minify,alpha 2 globulins decreased,Alpha 1 globulin increased,Unmatched,2nd
Alpha 2 globulin decreased,alpha 2 globulin diminish,alpha 2 globulins decreased,Alpha 1 globulin increased,Unmatched,2nd
Alpha 2 globulin decreased,alpha 2 globulin lessen,alpha 2 globulins decreased,Alpha 1 globulin increased,Unmatched,2nd
Alpha 2 globulin increased,alpha 2 globulin increase,alpha 2 globulins increased,Alpha 1 globulin increased,Unmatched,2nd
Alpha 2 globulin normal,alpha 2 globulin convention,alpha 2 globulins normal,Alpha 1 globulin normal,Unmatched,2nd
Alpha 2 globulin normal,alpha 2 globulin rule,alpha 2 globulins normal,Alpha 1 globulin normal,Unmatched,2nd
Alpha 2 globulin normal,alpha 2 globulin normality,alpha 2 globulins normal,Alpha 1 globulin normal,Unmatched,2nd
Alpha 2 globulin normal,alpha 2 globulin formularize,alpha 2 globulins normal,Alpha 1 globulin normal,Unmatched,2nd
Anaemia folate deficiency,anaemia vitamin_M deficiency,anaemia vitamin_m deficiency,Anaemia vitamin B6 deficiency,Unmatched,2nd
Anaesthesia,anaesthetic,anaesthetic,Anaesthetic complication,Unmatched,2nd
Anal cancer stage II,anal cancer stage 2,anal cancer stage 2,Anal cancer stage I,Unmatched,2nd
Anal cancer stage III,anal cancer stage 3,anal cancer stage 3,Anal cancer stage I,Unmatched,2nd
Anal cancer stage IV,anal cancer stage 4,anal cancer stage 4,Anal cancer stage I,Unmatched,2nd
Anal fistula,anal fistular,anal sinus,Nasal sinus irrigation,Unmatched,2nd
Anal fistula,anal sinus,anal sinus,Nasal sinus irrigation,Unmatched,2nd
Anal fistula,anal fistulous,anal sinus,Nasal sinus irrigation,Unmatched,2nd
Anal skin tags,anal peel tags,anal peel tags,Renal cell carcinoma stage II,Unmatched,2nd
Angiotensin II,angiotensin 2,angiotensin 2,Angiotensin I abnormal,Unmatched,2nd
Angiotensin II abnormal,angiotensin 2 abnormal,angiotensin 2 abnormal,Angiotensin I normal,Unmatched,2nd
Angiotensin II decreased,angiotensin 2 decreased,angiotensin 2 decreased,Angiotensin I increased,Unmatched,2nd
Angiotensin II increased,angiotensin 2 increased,angiotensin 2 increased,Angiotensin I increased,Unmatched,2nd
Angiotensin II normal,angiotensin 2 normal,angiotensin 2 normal,Angiotensin I normal,Unmatched,2nd
Animal bite,animal sting,animal sting,Anal skin tag excision,Unmatched,2nd
Animal bite,animal prick,animal sting,Anal skin tag excision,Unmatched,2nd
Animal bite,animal insect_bite,animal sting,Anal skin tag excision,Unmatched,2nd
Animal bite,animal stinger,animal sting,Anal skin tag excision,Unmatched,2nd
Animal scratch,animal incision,animal incision,Anal lesion excision,Unmatched,2nd
Animal scratch,animal prick,animal sting,Anal skin tag excision,Unmatched,2nd
Animal scratch,animal scrape,animal skin,Anal skin tag excision,Unmatched,2nd
Animal scratch,animal start,animal part,Anal pap smear abnormal,Unmatched,2nd
Animal scratch,animal excision,animal excision,Anal lesion excision,Unmatched,2nd
Animal scratch,animal fret,animal sweat,Anal pap smear abnormal,Unmatched,2nd
Animal scratch,animal excise,animal excision,Anal lesion excision,Unmatched,2nd
Animal scratch,animal scar,animal scar,Anal pap smear abnormal,Unmatched,2nd
Animal scratch,animal mark,animal mark,Anomaly of external ear congenital,Unmatched,2nd
Animal scratch,animal slit,animal slit,Anal skin tag excision,Unmatched,2nd
Antidiuretic hormone abnormality,antidiuretic hormone abnormal,antidiuretic hormone abnormal,Blood antidiuretic hormone normal,Unmatched,2nd
Antisocial behaviour,asocial behaviour,asocial behaviour,Disturbance in social behaviour,Unmatched,2nd
Apathy,numb,numb,Limb malformation,Unmatched,2nd
Apathy,indifference,indifference,Temperature difference of extremities,Unmatched,2nd
Apolipoprotein A-II,apolipoprotein a 2,apolipoprotein a 2,Apolipoprotein B/Apolipoprotein A-1 ratio,Unmatched,2nd
Apolipoprotein A-II decreased,apolipoprotein a 2 decreased,apolipoprotein a 2 decreased,Apolipoprotein A-I increased,Unmatched,2nd
Apolipoprotein A-II increased,apolipoprotein a 2 increased,apolipoprotein a 2 increased,Apolipoprotein A-I increased,Unmatched,2nd
Apolipoprotein A-II normal,apolipoprotein a 2 normal,apolipoprotein a 2 normal,Apolipoprotein A-I normal,Unmatched,2nd
Application site irritation,application site soreness,application site discomfort,Application site joint discomfort,Unmatched,2nd
Application site irritation,application site sore,application site discomfort,Application site joint discomfort,Unmatched,2nd
Application site irritation,application site bother,application site pain,Application site joint pain,Unmatched,2nd
Application site irritation,application site irritate,application site discomfort,Application site joint discomfort,Unmatched,2nd
Application site irritation,application site discomfort,application site discomfort,Application site joint discomfort,Unmatched,2nd
Application site irritation,application site botheration,application site pain,Application site joint pain,Unmatched,2nd
Application site irritation,application site annoyance,application site pain,Application site joint pain,Unmatched,2nd
