MRA_term,Modified_term,ChangedBack,SearcherReturned_term,State,Rank
Abdominal mass,ab mass,ab mass,Extranodal marginal zone B-cell lymphoma (MALT type) recurrent,Unmatched,3rd
Abdominal tenderness,abdominal warm,abdominal warm,Biopsy abdominal wall,Unmatched,3rd
Abortion,abort,aborted,Pregnancy in habitual aborter,Unmatched,3rd
Abscess intestinal,abscess enteral,abscess enteral,Tuberculous abscess central nervous system,Unmatched,3rd
Accident,stroke,stroke,Heat stroke,Unmatched,3rd
Accident,accidental,accidental,Accidental death,Unmatched,3rd
Accommodation disorder,adjustment disorder,adjustment disorder,Adjustment disorder with depressed mood,Unmatched,3rd
Adenoidal hypertrophy,nasal hypertrophy,nasal hypertrophy,Nasal mucosal hypertrophy,Unmatched,3rd
Adoption,adopt,acquired,Ichthyosis acquired,Unmatched,3rd
Adrenal disorder,adrenal trouble,adrenal pain,Renal vein thrombosis,Unmatched,3rd
Aged parent,aged raise,aged raise,Acid base balance normal,Unmatched,3rd
Aggression,hostility,hostility,Gastrointestinal motility disorder,Unmatched,3rd
Agitation,ferment,work,Impaired work ability,Unmatched,3rd
Albuminuria,proteinuria,proteinuria,Bence Jones proteinuria,Unmatched,3rd
Alcoholic,alcohol,alcohol,Alcohol intolerance,Unmatched,3rd
Alcoholism,inebriate,alcohol,Alcohol intolerance,Unmatched,3rd
Alpha 2 globulin increased,alpha 2 globulin increase,alpha 2 globulins increased,Alpha 2 globulin decreased,Unmatched,3rd
Alpha 2 globulin normal,alpha 2 globulin convention,alpha 2 globulins normal,Alpha 2 globulin abnormal,Unmatched,3rd
Alpha 2 globulin normal,alpha 2 globulin rule,alpha 2 globulins normal,Alpha 2 globulin abnormal,Unmatched,3rd
Alpha 2 globulin normal,alpha 2 globulin normality,alpha 2 globulins normal,Alpha 2 globulin abnormal,Unmatched,3rd
Alpha 2 globulin normal,alpha 2 globulin formularize,alpha 2 globulins normal,Alpha 2 globulin abnormal,Unmatched,3rd
Anal cancer stage II,anal cancer stage 2,anal cancer stage 2,Renal cancer stage I,Unmatched,3rd
Anal cancer stage III,anal cancer stage 3,anal cancer stage 3,Renal cancer stage I,Unmatched,3rd
Anal cancer stage IV,anal cancer stage 4,anal cancer stage 4,Renal cancer stage I,Unmatched,3rd
Anal fistula,anal fistular,anal sinus,Metastases to nasal sinuses,Unmatched,3rd
Anal fistula,anal sinus,anal sinus,Metastases to nasal sinuses,Unmatched,3rd
Anal fistula,anal fistulous,anal sinus,Metastases to nasal sinuses,Unmatched,3rd
Anal skin tags,anal peel tags,anal peel tags,Renal cell carcinoma stage III,Unmatched,3rd
