MRA_term,Modified_term,ChangedBack,SearcherReturned_term,State,Rank
Abdominal mass,ab mass,ab mass,Extranodal marginal zone B-cell lymphoma (MALT type) stage I,Unmatched,5th
Abdominal tenderness,abdominal warm,abdominal warm,Abdominal wall cyst,Unmatched,5th
Accident,stroke,stroke,Thrombotic stroke,Unmatched,5th
Accommodation disorder,adjustment disorder,adjustment disorder,Adjustment disorder with mixed anxiety and depressed mood,Unmatched,5th
Adoption,adopt,acquired,Ankyloglossia acquired,Unmatched,5th
Adrenal disorder,adrenal trouble,adrenal pain,Renal vein compression,Unmatched,5th
Aged parent,aged raise,aged raise,Red blood cell sedimentation rate,Unmatched,5th
Aggression,hostility,hostility,Spermatozoa progressive motility,Unmatched,5th
Agitation,ferment,work,Rinne tuning fork test,Unmatched,5th
Alcoholic,alcohol,alcohol,Alcohol problem,Unmatched,5th
Alcoholism,inebriate,alcohol,Alcohol problem,Unmatched,5th
Anal cancer stage II,anal cancer stage 2,anal cancer stage 2,Lip and/or oral cavity cancer stage I,Unmatched,5th
Anal cancer stage III,anal cancer stage 3,anal cancer stage 3,Lip and/or oral cavity cancer stage I,Unmatched,5th
Anal cancer stage IV,anal cancer stage 4,anal cancer stage 4,Lip and/or oral cavity cancer stage I,Unmatched,5th
Anal skin tags,anal peel tags,anal peel tags,Anaplastic large cell lymphoma T- and null-cell types stage I,Unmatched,5th
Angiotensin II,angiotensin 2,angiotensin 2,Angiotensin I normal,Unmatched,5th
Animal scratch,animal start,animal part,Congenital anomaly of inner ear,Unmatched,5th
Animal scratch,animal scar,animal scar,Congenital anomaly of inner ear,Unmatched,5th
Apathy,numb,numb,Limb discomfort,Unmatched,5th
Apolipoprotein A-II,apolipoprotein a 2,apolipoprotein a 2,Apolipoprotein A-I increased,Unmatched,5th
Arterial thrombosis,artery thrombosis,artery thrombosis,Hepatic artery thrombosis,Unmatched,5th
Aspiration,inhalation,inhalation,Pulmonary oedema post fume inhalation,Unmatched,5th
Aspiration,intake,intake,Iodine uptake,Unmatched,5th
Aspiration,aspirate,aspirate,Aspartate aminotransferase increased,Unmatched,5th
Asthma,asthmatic,asthmatic,Automatic positive airway pressure,Unmatched,5th
Atrophy,wasting,wasting,Renal salt-wasting syndrome,Unmatched,5th
Aura,atmosphere,air,Paratracheal air cyst,Unmatched,5th
Aura,air,air,Paratracheal air cyst,Unmatched,5th
Aura,halo,halo,Drug half-life reduced,Unmatched,5th
Aura,glory,glory,Purple glove syndrome,Unmatched,5th
Azotaemia,uraemia,uraemia,Uraemic encephalopathy,Unmatched,5th
Azotaemia,uraemic,uraemic,Uraemic neuropathy,Unmatched,5th
B-cell lymphoma stage II,b cell lymphoma stage 2,b cell lymphoma stage 2,Intestinal T-cell lymphoma stage I,Unmatched,5th
B-cell lymphoma stage III,b cell lymphoma stage 3,b cell lymphoma stage 3,Intestinal T-cell lymphoma stage I,Unmatched,5th
B-cell lymphoma stage IV,b cell lymphoma stage 4,b cell lymphoma stage 4,Intestinal T-cell lymphoma stage I,Unmatched,5th
Back disorder,gaming disorder,gaming disorder,Selective eating disorder,Unmatched,5th
Back disorder,spine disorder,spine disorder,Skin disorder prophylaxis,Unmatched,5th
Back injury,spinal injury,spinal injury,Spinal cord injury sacral,Unmatched,5th
Back injury,spine injury,spine injury,Administration site injury,Unmatched,5th
Back pain,game pain,high pain,Light chain analysis decreased,Unmatched,5th
Back pain,dorsal pain,dorsal pain,Portal vein occlusion,Unmatched,5th
Back pain,spine pain,spine pain,Instillation site pain,Unmatched,5th
Bankruptcy,failure,failure,Ovarian failure,Unmatched,5th
Bankruptcy,fail,failure,Ovarian failure,Unmatched,5th
Bankruptcy,bankrupt,failure,Ovarian failure,Unmatched,5th
Barium meal,Ba meal,ba meal,Thyroid B-cell lymphoma,Unmatched,5th
