unfoundTokens,addedTokens,count
normal,abnormal,9042
increased,decreased,5283
decreased,increased,5111
abnormal,normal,4457
iii,ii,3973
iv,ii,3034
i,0,984
t,b,430
mass,rash,336
e,a,274
pharyngeal,laryngeal,258
male,female,252
x,ix,223
incision,infusion,218
g,a,215
viii,vii,211
eye,ear,208
xiii,vii,196
xii,ix,191
c,a,189
c,b,182
xi,ix,181
d,a,179
b,a,175
m,a,171
1,2,159
wave,waves,151
stomach,bone,140
creatinine,creatine,122
renal,anal,117
a,b,116
anaesthesia,paraesthesia,109
d,c,102
retinal,renal,99
calcium,cadmium,91
indirect,direct,90
ii,i,90
hyperchromic,hypochromic,83
hypoaesthesia,hyperaesthesia,83
mm,mb,82
i,iv,80
paternal,maternal,80
jc,bk,79
renal,retinal,78
microcytes,macrocytes,76
spherocytes,siderocytes,76
2,1,76
scar,scab,74
b,t,73
iii,i,72
v,i,71
ii,iv,67
complete,incomplete,65
incomplete,complete,62
iv,i,60
25,"1,25",57
hydroxycholecalciferol,dihydroxycholecalciferol,57
laryngeal,pharyngeal,57
jaw,ear,57
e,d,56
b,c,56
irritation,discomfort,56
vii,ii,56
0,i,54
htlv,hiv,53
a,d,52
viii,ii,52
renal,adrenal,52
c2,c3,51
c4,c3,51
k,c,51
i,ii,51
a,c,51
p,q,50
injury,pain,50
t,q,49
irritation,pain,48
s,c,48
disorder,pain,47
cd8,cd4,47
scab,scar,47
metabolism,catabolism,46
ix,ii,46
e,b,45
cysteine,cystine,44
5701,5801,42
ethanol,ethanal,41
bone,nose,41
methanol,ethanal,41
methanol,ethanol,41
moraxella,morganella,40
hyperaesthesia,hypoaesthesia,40
nasal,nail,39
home,coma,37
vith,ivth,37
paraesthesia,anaesthesia,37
care,scale,37
flat,flail,37
nasal,anal,37
infusion,incision,36
norovirus,nairovirus,36
hcv,hiv,36
c1,c3,36
nail,hair,36
balt,malt,36
orbivirus,rubivirus,36
oncovirus,norovirus,36
arenavirus,adenovirus,36
j,q,35
bb,mb,35
n,k,35
d,b,35
e,c,34
ix,xi,34
iii,0,33
h,k,33
b,d,33
i,v,33
ii,0,33
c,s,33
cranial,radial,32
iv,0,32
rash,mass,32
iiib,ii,32
iiia,ii,32
faeces,face,31
soft,lift,31
sweat,smear,30
hair,ear,30
use,abuse,30
pains,pain,29
spine,skin,29
neck,back,29
t,i,29
ear,eye,29
urological,neurological,29
dental,rectal,29
bifascicular,trifascicular,29
bone,toe,28
xith,ivth,27
3101,5801,27
hyperplasia,hypoplasia,27
anaphylactoid,anaphylactic,26
growing,groin,26
insertion,infection,26
scar,pain,26
u,t,26
atrial,arterial,25
hair,nail,25
pallor,pain,24
hearing,learning,24
in,at,24
culture,rupture,24
vi,ii,24
coating,foaming,24
vein,skin,24
mouth,lip,24
skin,vein,24
direct,indirect,24
dna,rna,24
mouth,tooth,23
anal,renal,23
gangrene,necrosis,23
b6,b12,23
lenticular,testicular,23
hip,rib,23
dosage,dose,22
tendon,muscle,22
ab,a,22
scan,scar,22
renal,dental,22
o,a,22
restenosis,stenosis,22
oral,gram,22
brain,pain,22
vii,viii,22
reading,eating,21
head,hand,21
limb,lip,21
heart,ear,21
good,crest,21
macule,papule,21
scar,ear,21
c2,c1,21
1,0,21
hypopigmentation,hyperpigmentation,21
pain,stain,20
ivth,vith,20
microglobulin,macroglobulin,20
deformity,malformation,20
xiii,viii,20
cd20,cd25,20
stomach,abdomen,20
infection,infarction,20
effective,ineffective,20
iia,ii,19
hypoosmolar,hyperosmolar,19
inflammation,discharge,19
x,i,19
iib,ii,19
xiii,ii,19
nest,nose,19
feeding,reading,18
ii,ix,18
laceration,maceration,18
k,a,18
nail,breast,18
surgery,operation,18
xii,ii,18
eye,toe,18
face,back,17
ii,iii,17
norovirus,oncovirus,17
bone,acne,17
widal,viral,17
y,x,17
cyst,cystic,17
bone,bovine,17
hypotelorism,hypertelorism,17
care,caries,17
coma,stoma,17
scale,care,17
xiith,ivth,16
xi,ii,16
infection,injection,16
urethral,ureteral,16
enlargement,engorgement,16
vth,ivth,16
ear,man,16
3,0,16
2,0,16
tetrahydrocortisone,tetrahydrocortisol,16
pain,sprain,16
lens,lung,16
breast,blast,16
perineal,peritoneal,16
discolouration,pain,16
viith,ivth,16
vesicles,cyst,16
4,0,16
septic,hepatic,16
anal,oral,15
acceleration,deceleration,15
2,2a,15
rib,limb,15
oestriol,oestradiol,15
p,t,15
suture,rupture,15
groin,bone,15
tube,lobe,15
scar,eschar,15
iva,i,15
nail,anal,15
hyperthyroidism,hypothyroidism,15
c,d,15
vascular,vesicular,14
discomfort,irritation,14
nail,nasal,14
mass,loss,14
infarction,infection,14
ear,head,14
ivb,i,14
grandmother,grandfather,14
spleen,sleep,14
spinal,seminal,14
c,n,14
c,i,14
irrigation,irritation,13
tear,scar,13
decompression,compression,13
penis,pelvis,13
penis,panic,13
mental,renal,13
ureteral,urethral,13
rib,hip,13
ear,jaw,13
rectal,renal,13
oral,anal,13
hypoplasia,hyperplasia,13
vestibular,testicular,12
biliary,bone,12
screaming,crying,12
