unfoundTokens,addedTokens,count
decreased,increased,568
abnormal,normal,446
increased,decreased,232
normal,abnormal,169
xi,ix,162
g,a,158
t,b,154
e,a,139
m,a,138
c,b,137
x,v,137
pharyngeal,laryngeal,125
xiii,viii,117
a,c,115
xii,vii,114
i,ii,109
viii,vii,107
ii,iii,104
x,ix,102
creatinine,creatine,100
xiii,vii,98
xii,ix,95
renal,anal,95
e,b,91
d,b,80
renal,retinal,78
d,a,72
iii,vii,70
d,c,67
e,c,67
c,e,64
b,t,57
stomach,bone,56
k,c,53
ii,i,44
b,a,43
methanol,ethanol,41
eye,ear,40
vii,viii,40
25,"1,25",39
hydroxycholecalciferol,dihydroxycholecalciferol,39
g,e,38
iii,i,38
calcium,cadmium,37
orbivirus,arbovirus,36
p,t,35
d,e,35
iv,i,35
c4,c3,35
c2,c3,35
c1,c3,35
iii,iia,35
iv,vi,34
m,e,33
iiib,iii,32
iiia,iii,32
viii,vi,30
vii,vi,29
a,b,27
ix,iv,27
3101,5701,27
a,e,26
2,1,26
mb,mm,26
b,ab,24
v,iv,24
dna,rna,23
i,iv,23
cd4,cd8,23
incision,infusion,23
b,c,23
o,b,22
vii,xiii,22
infusion,incision,22
mm,mb,22
good,rett,21
dental,rectal,21
urological,neurological,21
0,i,19
g,b,19
iib,iia,19
heart,ear,18
ii,vii,18
renal,rectal,18
j,t,18
n,h,18
widal,wada,17
ii,iv,17
c,s,16
q,t,16
h,n,16
4,1,16
3,1,16
c2,c4,16
viith,viiith,16
lens,penis,16
vth,viith,16
vith,viiith,16
xiith,viiith,16
rash,mass,16
xith,viith,16
iva,ii,15
scar,scab,15
hyperaesthesia,hypoaesthesia,15
k,a,15
tetrahydrocortisone,tetrahydrocortisol,15
p,j,15
ivb,ii,14
c,t,14
stomach,cornea,13
pallor,papule,12
2b,2,12
tear,test,12
hair,nail,12
dural,viral,12
b6,b12,11
xith,vith,11
b2,b12,11
3,2,10
nasal,nail,10
gaming,gambling,10
haptoglobin,haemoglobin,10
vi,i,10
vi,v,10
lipids,libido,9
dental,renal,9
learning,reading,8
flood,good,8
injury,pain,8
8,7,8
oral,viral,8
paraesthesia,anaesthesia,8
penis,pelvis,7
b,e,7
gangrene,necrosis,7
h,b,7
oestriol,oestradiol,7
lead,ph,7
b1,b12,7
ear,heart,7
thirst,anger,7
pharynx,larynx,7
infarction,infection,6
surgery,operation,6
mouth,limb,6
foot,bone,6
b,d,6
tendon,muscle,6
irritation,pain,6
ix,v,6
pallor,pain,6
vii,iii,6
vii,v,6
po2,pco2,6
disorder,pain,6
gonioscopy,amnioscopy,5
cd4,ldl,5
helplessness,deafness,5
cd8,hdl,5
arteriogram,arthrogram,5
angiogram,audiogram,5
ear,eye,5
endoscopy,fundoscopy,5
viii,v,5
anaesthesia,paraesthesia,5
anal,nail,5
colposcopy,colonoscopy,5
9,13,5
nipple,lip,5
overweight,acidosis,5
restenosis,stenosis,5
gangrene,neurosis,5
v,i,5
exfoliation,scar,5
globin,globulin,4
feeding,reading,4
heart,eye,4
phosphorus,ph,4
ix,ii,4
reoviral,arboviral,4
f,b,4
4,9,4
k,b6,4
72,19,4
iii,v,3
disturbance,disorder,3
iii,0,3
stertor,staring,3
2,2b,3
18,13,3
ii,v,3
intersection,crush,3
16,13,3
15,13,3
iv,0,3
xxx,xxyy,3
17,13,3
yaws,tanning,3
14,13,3
brain,rectal,3
eyelid,lip,3
eyelid,limb,3
72,15,3
exfoliation,scab,3
gait,nail,3
exercise,sweat,3
nail,breast,3
granulocytopenia,granulocytosis,3
examination,cyst,3
4,3,3
heart,breast,3
ii,0,3
mastication,jaw,3
study,scan,2
semen,sperm,2
liver,lip,2
stoma,stomach,2
macule,pain,2
k,b1,2
k,b2,2
mastitis,cystitis,2
oestradiol,oestriol,2
rupture,suture,2
rupture,scar,2
stroke,csf,2
anal,renal,2
sleep,spleen,2
muscle,macular,2
liver,limb,2
mental,genital,2
scar,pain,2
braf,brca2,2
ix,x,2
calr,cbl,2
heart,tendon,2
heart,breath,2
