unfoundTokens,addedTokens,count
increased,decreased,374
normal,abnormal,352
decreased,increased,241
g,e,158
m,e,138
abnormal,normal,117
xii,viii,114
iii,ii,106
xiii,viii,98
xii,vii,95
iv,ii,91
x,v,79
xiii,vii,79
x,ix,79
d,e,76
viii,vii,71
iii,viii,70
e,d,69
t,b,69
ii,iv,64
renal,rectal,57
d,c,52
e,c,50
i,ii,47
pharyngeal,laryngeal,43
methanol,ethanol,41
i,iv,38
xiii,xi,38
renal,anal,37
c2,c4,35
k,e,35
c1,c4,35
p,t,35
iii,iib,35
k,d,33
m,g,33
iiib,iiia,32
b,t,27
b,e,26
stomach,cornea,26
a,d,26
d,g,26
i,0,25
mb,bb,25
mm,bb,22
good,bpes,21
a,e,21
g,c,19
x,xi,19
j,t,18
vth,vith,16
c,s,16
q,t,16
xiith,viith,16
xith,vith,16
4,2,16
3,2,16
vith,viith,16
iva,iii,15
c,e,15
cd4,cd8,14
ivb,iii,14
d,a,9
a,b,8
infusion,incision,8
b1,b6,7
b2,b6,7
h,c,7
dental,omental,6
gangrene,necrosis,6
hdl,cd8,6
vii,vi,6
ldl,cd4,6
ix,x,5
viii,x,5
genital,dental,5
anaesthesia,paraesthesia,5
vii,x,5
9,21,5
k,b1,4
feeding,gaming,4
f,c,4
anal,renal,4
b6,b2,4
iv,0,3
intersection,ross,3
14,21,3
laryngeal,pharyngeal,3
pallor,papule,3
rectal,renal,3
xxx,xyy,3
16,21,3
17,21,3
18,21,3
iii,0,3
15,21,3
ii,0,3
22,21,2
heart,cornea,2
dental,genital,2
brain,ear,2
e,b1,2
b2,b1,2
cyp2c9,cyp2b6,2
b12,b6,2
oestradiol,oestriol,2
hydrophobia,rales,2
k,b6,2
k,b2,2
ii,i,2
iii,i,2
iv,i,2
impairment,injury,2
c2,c1,1
chills,choking,1
charge,brash,1
thirst,crying,1
thought,shunt,1
u,t,1
uvulopalatopharyngoplasty,po2,1
infarction,infant,1
x,xii,1
brain,rectal,1
brain,heart,1
brain,genital,1
bloom,ross,1
blast,hair,1
back,gaming,1
abnormality,normal,1
a,k,1
crying,wheezing,1
po2,pco2,1
d,k,1
death,obstruction,1
irritability,hunger,1
illusion,mania,1
iii,x,1
hunger,crying,1
eye,heart,1
learning,skin,1
examination,cyst,1
e,b6,1
married,tic,1
e,b2,1
mental,rectal,1
dumping,flood,1
nerve,heart,1
nipple,jaw,1
dumping,brash,1
discouragement,yawning,1
discomfort,irrigation,1
insertion,infection,1
poliomyelitis,polyp,1
position,dose,1
prone,wrong,1
purpura,gliosis,1
purulence,po2,1
ii,x,1
