unfoundTokens,addedTokens,count
decreased,increased,241
x,v,177
normal,abnormal,161
g,e,158
xiii,viii,158
abnormal,normal,147
m,e,138
d,e,121
increased,decreased,88
xii,ix,77
xii,vii,77
renal,rectal,73
k,e,68
i,iv,47
xiii,xii,38
xi,xii,38
xii,xi,37
c1,c4,35
c2,c4,35
iii,xiii,31
d,m,26
stomach,cornea,26
pharyngeal,laryngeal,25
e,a,25
mm,mb,22
renal,anal,22
a,e,21
xiii,xi,19
g,d,19
j,p,18
xii,viii,18
xith,vth,16
xiith,vith,16
4,3,16
q,p,16
ivb,iva,14
d,a,10
b1,b6,7
b2,b6,7
h,d,7
e,d,6
9,22,5
f,d,4
viii,x,4
k,b1,4
vii,x,4
ix,x,4
elderly,anger,4
laryngeal,pharyngeal,3
14,22,3
iv,i,3
flatulence,rales,3
16,22,3
17,22,3
18,22,3
iii,i,3
15,22,3
ii,i,3
e,b1,2
brain,ear,2
heart,cornea,2
chills,drooling,1
learning,vein,1
impairment,injury,1
abnormality,normal,1
adenomyosis,endometritis,1
aura,fall,1
blast,nasal,1
bloom,brash,1
overdose,orf,1
choking,rales,1
u,p,1
swelling,mumps,1
infusion,traction,1
staring,sedation,1
staring,glare,1
examination,cyst,1
hanging,cough,1
purulence,puva,1
posturing,pustule,1
diarrhoea,morose,1
