MRA_term,Modified_term,ChangedBack,SearcherReturned_term,State,Rank
17 ketosteroids urine increased,17 ketosteroid urine increased,17 ketosteroid urine increased,17 ketosteroids urine decreased,Unmatched,1st
17 ketosteroids urine increased,17 ketosteroids urinate increased,17 ketosteroids urinate increased,17 ketosteroids urine decreased,Unmatched,1st
Abdominal adhesions,abdominal bond,abdominal bond,Abdominal wound dehiscence,Unmatched,1st
Abdominal mass,ab mass,ab mass,Hunt and Hess scale,Unmatched,1st
Abdominal mass,abdominal wad,abdominal wad,Abdominal wall abscess,Unmatched,1st
Abdominal mass,abdominal raft,abdominal raft,Abdominal fat apron,Unmatched,1st
Abdominal mass,abdominal flock,abdominal flock,Transversus abdominis plane block,Unmatched,1st
Abdominal mass,abdominal lot,abdominal lot,Abdominal fat apron,Unmatched,1st
Abdominal mass,abdominal pot,abdominal pot,Abdominal fat apron,Unmatched,1st
Abdominal pain,ab pain,ab pain,Cafe au lait spots,Unmatched,1st
Abdominal pain,abdominal infliction,abdominal infliction,Abdominal infection,Unmatched,1st
Abdominal tenderness,abdominal fond,abdominal fond,Abdominal wound dehiscence,Unmatched,1st
Abdominal tenderness,abdominal warm,abdominal warm,Abdominal wall abscess,Unmatched,1st
Abdominal tenderness,abdominal raw,abdominal raw,Abdominal fat apron,Unmatched,1st
Abdominal tenderness,abdominal affection,abdominal affection,Abdominal infection,Unmatched,1st
Abnormal faeces,abnormal BM,abnormal bm,Hereditary angioedema with normal C1 esterase inhibitor,Unmatched,1st
Abnormal labour,abnormal grind,abnormal grind,Abnormal weight gain,Unmatched,1st
Abnormal labour,abnormal dig,abnormal dig,Abnormal DNA methylation,Unmatched,1st
Aborted pregnancy,abortive pregnancy,abortive pregnancy,Abortion of ectopic pregnancy,Unmatched,1st
Aborted pregnancy,abortion pregnancy,abortion pregnancy,Abortion of ectopic pregnancy,Unmatched,1st
Abortion,miscarriage,miscarriage,Miscarriage of partner,Unmatched,1st
Abortion,abort,abort,Aborted pregnancy,Unmatched,1st
