MRA_term,Modified_term,ChangedBack,SearcherReturned_term,State,Rank
Abdominal adhesions,abdominal bond,abdominal bond,Abdominal wall wound,Unmatched,2nd
Abdominal mass,ab mass,ab mass,Extranodal marginal zone B-cell lymphoma (MALT type),Unmatched,2nd
Abdominal mass,abdominal wad,abdominal wad,Abdominal wall anomaly,Unmatched,2nd
Abdominal mass,abdominal raft,abdominal raft,Abdominal X-ray,Unmatched,2nd
Abdominal pain,abdominal infliction,abdominal infliction,Actinomycotic abdominal infection,Unmatched,2nd
Abdominal tenderness,abdominal fond,abdominal fond,Abdominal wall wound,Unmatched,2nd
Abdominal tenderness,abdominal warm,abdominal warm,Abdominal wall anomaly,Unmatched,2nd
Abdominal tenderness,abdominal raw,abdominal raw,Abdominal X-ray,Unmatched,2nd
Abdominal tenderness,abdominal affection,abdominal affection,Actinomycotic abdominal infection,Unmatched,2nd
Abortion,miscarriage,miscarriage,Risk of future pregnancy miscarriage,Unmatched,2nd
Abortion,abort,abort,Short stature,Unmatched,2nd
Abortion induced,abortion induction,abortion induction,Post abortion infection,Unmatched,2nd
Abortion infected,abortion infective,abortion infective,Post abortion infection,Unmatched,2nd
Abortion infected,abortion infection,abortion infection,Post abortion infection,Unmatched,2nd
Abortion missed,abortion lost,abortion lost,Vitamin B12 absorption test abnormal,Unmatched,2nd
Abscess intestinal,abscess enteral,abscess enteral,Fungal abscess central nervous system,Unmatched,2nd
Accident,stroke,stroke,Haemorrhagic stroke,Unmatched,2nd
Accident,accidental,accidental,Accidental poisoning,Unmatched,2nd
Accommodation disorder,adjustment disorder,adjustment disorder,Adjustment disorder with anxiety,Unmatched,2nd
Accommodation disorder,fit disorder,fit disorder,Body fat disorder,Unmatched,2nd
Adenoidal hypertrophy,nasal hypertrophy,nasal hypertrophy,Nasal turbinate hypertrophy,Unmatched,2nd
Adenosquamous cell lung cancer stage II,adenosquamous cell lung cancer stage 2,adenosquamous cell lung cancer stage 2,Adenosquamous cell lung cancer stage I,Unmatched,2nd
Adenosquamous cell lung cancer stage III,adenosquamous cell lung cancer stage 3,adenosquamous cell lung cancer stage 3,Adenosquamous cell lung cancer stage I,Unmatched,2nd
Adenosquamous cell lung cancer stage IV,adenosquamous cell lung cancer stage 4,adenosquamous cell lung cancer stage 4,Adenosquamous cell lung cancer stage I,Unmatched,2nd
Adoption,accept,accept,Vascular access complication,Unmatched,2nd
Adoption,espousal,espousal,Victim of spousal abuse,Unmatched,2nd
Adoption,espouse,espouse,Extensor plantar response,Unmatched,2nd
Adoption,adopt,adopt,Early adult transition,Unmatched,2nd
Adoption,borrowing,borrowing,Intervertebral disc space narrowing,Unmatched,2nd
