MRA_term,Modified_term,ChangedBack,SearcherReturned_term,State,Rank
Abdominal mass,ab mass,ab mass,Extranodal marginal zone B-cell lymphoma (MALT type) recurrent,Unmatched,3rd
Abdominal mass,abdominal wad,abdominal wad,Biopsy abdominal wall,Unmatched,3rd
Abdominal pain,abdominal infliction,abdominal infliction,Bacterial abdominal infection,Unmatched,3rd
Abdominal tenderness,abdominal warm,abdominal warm,Biopsy abdominal wall,Unmatched,3rd
Abdominal tenderness,abdominal affection,abdominal affection,Bacterial abdominal infection,Unmatched,3rd
Abortion,abort,abort,Aorta hypoplasia,Unmatched,3rd
Abortion missed,abortion lost,abortion lost,Vitamin B12 absorption test normal,Unmatched,3rd
Abscess intestinal,abscess enteral,abscess enteral,Tuberculous abscess central nervous system,Unmatched,3rd
Accident,stroke,stroke,Heat stroke,Unmatched,3rd
Accident,accidental,accidental,Accidental death,Unmatched,3rd
Accommodation disorder,adjustment disorder,adjustment disorder,Adjustment disorder with depressed mood,Unmatched,3rd
Accommodation disorder,fit disorder,fit disorder,HIV-associated neurocognitive disorder,Unmatched,3rd
Adenoidal hypertrophy,nasal hypertrophy,nasal hypertrophy,Nasal mucosal hypertrophy,Unmatched,3rd
Adoption,accept,accept,Vascular access placement,Unmatched,3rd
Adoption,espouse,espouse,Paradoxical pressor response,Unmatched,3rd
Adoption,adopt,adopt,ADNP syndrome,Unmatched,3rd
Adrenal suppression,adrenal quell,adrenal quell,Renal cell carcinoma recurrent,Unmatched,3rd
Aged parent,aged raise,aged raise,Acid base balance normal,Unmatched,3rd
Aged parent,aged rear,aged rear,Myoclonic epilepsy and ragged-red fibres,Unmatched,3rd
Aggression,hostility,hostility,Gastrointestinal motility disorder,Unmatched,3rd
Agitation,unrest,unrest,Respiratory arrest,Unmatched,3rd
Agitation,ferment,ferment,Adjacent segment degeneration,Unmatched,3rd
Air embolism,vent embolism,vent embolism,Jugular vein embolism,Unmatched,3rd
Albinism,albinal,albinal,Labial tie,Unmatched,3rd
Albuminuria,proteinuria,proteinuria,Bence Jones proteinuria,Unmatched,3rd
Alcoholic,souse,souse,Drug abuse,Unmatched,3rd
Alcoholic,alky,alky,Bulbar palsy,Unmatched,3rd
Alcoholic,booze,booze,Iris bombe,Unmatched,3rd
Alcoholic,alcohol,alcohol,Alcohol intolerance,Unmatched,3rd
Alcoholic,soaker,soaker,Snake bite,Unmatched,3rd
Alcoholic,lush,lush,Bush-Francis catatonia rating scale,Unmatched,3rd
Alcoholic,soak,soak,Scar,Unmatched,3rd
Amenorrhoea,amenia,amenia,Ammonia,Unmatched,3rd
Amniocentesis,amnio,amnio,Amino acid catabolism disorder,Unmatched,3rd
Amniocentesis abnormal,amnio abnormal,amnio abnormal,Amino acid level normal,Unmatched,3rd
Amniocentesis normal,amnio normal,amnio normal,Amino acid level normal,Unmatched,3rd
Anaesthesia,anesthetic,anesthetic,Anaesthetic complication cardiac,Unmatched,3rd
Anaesthesia,anaesthetist,anaesthetist,Anaesthetic complication cardiac,Unmatched,3rd
Anal cancer stage I,anal Crab stage i,anal crab stage i,Lip and/or oral cavity cancer stage II,Unmatched,3rd
Anal cancer stage II,anal Crab stage ii,anal crab stage ii,Lip and/or oral cavity cancer stage IV,Unmatched,3rd
Anal cancer stage II,anal cancer stage 2,anal cancer stage 2,Renal cancer stage I,Unmatched,3rd
Anal cancer stage III,anal cancer stage 3,anal cancer stage 3,Renal cancer stage I,Unmatched,3rd
Anal cancer stage IV,anal cancer stage 4,anal cancer stage 4,Renal cancer stage I,Unmatched,3rd
Anal fissure,anal chap,anal chap,X-ray of pelvis and hip,Unmatched,3rd
Anal fistula,anal sinus,anal sinus,Metastases to nasal sinuses,Unmatched,3rd
Anal skin tags,anal pelt tags,anal pelt tags,Renal cell carcinoma stage III,Unmatched,3rd
Anal skin tags,anal peel tags,anal peel tags,Renal cell carcinoma stage III,Unmatched,3rd
Anger,choler,choler,Chorea,Unmatched,3rd
Anger,ire,ire,Ventricular pre-excitation,Unmatched,3rd
Anger,choleric,choleric,Jaundice acholuric,Unmatched,3rd
Anger,wrath,wrath,Breath odour,Unmatched,3rd
Anger,ira,ira,Selective IgA immunodeficiency,Unmatched,3rd
Angiotensin II,angiotensin 2,angiotensin 2,Angiotensin I decreased,Unmatched,3rd
Animal bite,beast bite,beast bite,Heart rate decreased,Unmatched,3rd
Animal bite,carnal bite,carnal bite,Cranial nerve injury secondary to birth trauma,Unmatched,3rd
Animal bite,animal prick,animal prick,CHA2DS2-VASc annual stroke risk high,Unmatched,3rd
Animal scratch,animal incision,animal incision,Anal skin tag excision,Unmatched,3rd
Animal scratch,animal prick,animal prick,CHA2DS2-VASc annual stroke risk high,Unmatched,3rd
Animal scratch,animal strike,animal strike,CHA2DS2-VASc annual stroke risk high,Unmatched,3rd
Animal scratch,animal start,animal start,Anal cancer stage II,Unmatched,3rd
Animal scratch,animal excision,animal excision,Anal skin tag excision,Unmatched,3rd
Animal scratch,animal cancel,animal cancel,Anal cancer metastatic,Unmatched,3rd
Animal scratch,animal scar,animal scar,Anomaly of middle ear congenital,Unmatched,3rd
Animal scratch,animal mark,animal mark,Congenital anomaly of inner ear,Unmatched,3rd
Anion gap,anion col,anion col,Non-small cell lung cancer metastatic,Unmatched,3rd
Antisocial behaviour,asocial behaviour,asocial behaviour,Social avoidant behaviour,Unmatched,3rd
Anuria,anuresis,anuresis,Postoperative pathological diuresis,Unmatched,3rd
Apathy,numb,numb,Abscess limb,Unmatched,3rd
Apathy,indifference,indifference,Nasal potential difference test,Unmatched,3rd
Apolipoprotein A-II,apolipoprotein a 2,apolipoprotein a 2,Apolipoprotein A-I abnormal,Unmatched,3rd
Apolipoprotein A-II decreased,apolipoprotein a 2 decreased,apolipoprotein a 2 decreased,Apolipoprotein B/Apolipoprotein A-1 ratio increased,Unmatched,3rd
Apolipoprotein A-II increased,apolipoprotein a 2 increased,apolipoprotein a 2 increased,Apolipoprotein B/Apolipoprotein A-1 ratio increased,Unmatched,3rd
Apraxia,apractic,apractic,Autoimmune aplastic anaemia,Unmatched,3rd
Arm amputation,gird amputation,gird amputation,HRD gene mutation assay negative,Unmatched,3rd
Arterial rupture,arterial bust,arterial bust,Bacterial test positive,Unmatched,3rd
Arterial rupture,arterial tear,arterial tear,Bacterial test negative,Unmatched,3rd
Arterial thrombosis,artery thrombosis,artery thrombosis,Cerebral artery thrombosis,Unmatched,3rd
Aspiration,inhalation,inhalation,Exposure via inhalation,Unmatched,3rd
Aspiration,intake,intake,Excessive dietary fibre intake,Unmatched,3rd
Aspiration,inhale,inhale,Excessive dietary fibre intake,Unmatched,3rd
Aspiration,aspire,aspire,Metastases to spine,Unmatched,3rd
Aspiration,dream,dream,Blood urea,Unmatched,3rd
Aspiration,aspirate,aspirate,Aspartate aminotransferase abnormal,Unmatched,3rd
Asthma,asthmatic,asthmatic,Automatic bladder,Unmatched,3rd
Ataxia,atactic,atactic,Urine lactic acid,Unmatched,3rd
Atrophy,wasting,wasting,HIV wasting syndrome,Unmatched,3rd
Atrophy,wither,wither,Water pollution,Unmatched,3rd
Aura,air,air,Pulmonary air leakage,Unmatched,3rd
Aura,halo,halo,Drug half-life,Unmatched,3rd
Aura,glory,glory,Metallosis of globe,Unmatched,3rd
