MRA_term,Modified_term,ChangedBack,SearcherReturned_term,State,Rank
Abdominal mass,ab mass,ab mass,Extranodal marginal zone B-cell lymphoma (MALT type) stage I,Unmatched,5th
Abdominal mass,abdominal wad,abdominal wad,Abdominal wall cyst,Unmatched,5th
Abdominal pain,abdominal infliction,abdominal infliction,Abdominal hernia infection,Unmatched,5th
Abdominal tenderness,abdominal warm,abdominal warm,Abdominal wall cyst,Unmatched,5th
Abdominal tenderness,abdominal affection,abdominal affection,Abdominal hernia infection,Unmatched,5th
Abortion,abort,abort,Aorta coarctation repair,Unmatched,5th
Accident,stroke,stroke,Thrombotic stroke,Unmatched,5th
Accommodation disorder,adjustment disorder,adjustment disorder,Adjustment disorder with mixed anxiety and depressed mood,Unmatched,5th
Adoption,accept,accept,Intraosseous access placement,Unmatched,5th
Adoption,espouse,espouse,Therapeutic response increased,Unmatched,5th
Adoption,adopt,adopt,Adult polyglucosan body disease,Unmatched,5th
Adrenal suppression,adrenal quell,adrenal quell,Papillary renal cell carcinoma,Unmatched,5th
Aged parent,aged raise,aged raise,Red blood cell sedimentation rate,Unmatched,5th
Aged parent,aged rear,aged rear,Face and mouth X-ray abnormal,Unmatched,5th
Aggression,hostility,hostility,Spermatozoa progressive motility,Unmatched,5th
Agitation,unrest,unrest,Kniest dysplasia,Unmatched,5th
Agitation,ferment,ferment,Compression garment application,Unmatched,5th
Air embolism,vent embolism,vent embolism,Vena cava embolism,Unmatched,5th
Albinism,albinal,albinal,Genital labial adhesions,Unmatched,5th
Alcoholic,souse,souse,Loose associations,Unmatched,5th
Alcoholic,alky,alky,Pityriasis alba,Unmatched,5th
Alcoholic,booze,booze,Tick-borne fever,Unmatched,5th
Alcoholic,alcohol,alcohol,Alcohol problem,Unmatched,5th
Alcoholic,soaker,soaker,Tooth socket suture,Unmatched,5th
Alcoholic,lush,lush,Genital rash,Unmatched,5th
Alcoholic,soak,soak,Scan,Unmatched,5th
Amenorrhoea,amenia,amenia,Amimia,Unmatched,5th
Amniocentesis,amnio,amnio,Amino acid level increased,Unmatched,5th
Anaesthesia,anesthetic,anesthetic,Anaesthetic complication pulmonary,Unmatched,5th
Anaesthesia,anaesthetist,anaesthetist,Anaesthetic complication pulmonary,Unmatched,5th
Anal cancer stage II,anal cancer stage 2,anal cancer stage 2,Lip and/or oral cavity cancer stage I,Unmatched,5th
Anal cancer stage III,anal cancer stage 3,anal cancer stage 3,Lip and/or oral cavity cancer stage I,Unmatched,5th
Anal cancer stage IV,anal cancer stage 4,anal cancer stage 4,Lip and/or oral cavity cancer stage I,Unmatched,5th
Anal fissure,anal chap,anal chap,X-ray of pelvis and hip normal,Unmatched,5th
Anal skin tags,anal pelt tags,anal pelt tags,Anaplastic large cell lymphoma T- and null-cell types stage I,Unmatched,5th
Anal skin tags,anal peel tags,anal peel tags,Anaplastic large cell lymphoma T- and null-cell types stage I,Unmatched,5th
Anger,choler,choler,Chorea-acanthocytosis,Unmatched,5th
Anger,ire,ire,Pre-existing disease,Unmatched,5th
Anger,wrath,wrath,Sudden death,Unmatched,5th
Anger,ira,ira,Vaginal cancer stage IVA,Unmatched,5th
Angiotensin II,angiotensin 2,angiotensin 2,Angiotensin I normal,Unmatched,5th
Animal bite,beast bite,beast bite,Heart rate irregular,Unmatched,5th
Animal scratch,animal start,animal start,Anal cancer stage IV,Unmatched,5th
Animal scratch,animal cancel,animal cancel,Anal cancer stage I,Unmatched,5th
Animal scratch,animal scar,animal scar,Congenital anomaly of inner ear,Unmatched,5th
Anion gap,anion col,anion col,Non-small cell lung cancer stage 0,Unmatched,5th
Apathy,numb,numb,Limb discomfort,Unmatched,5th
Apolipoprotein A-II,apolipoprotein a 2,apolipoprotein a 2,Apolipoprotein A-I increased,Unmatched,5th
Arterial rupture,arterial bust,arterial bust,Arterial segmental pressure test,Unmatched,5th
Arterial thrombosis,artery thrombosis,artery thrombosis,Hepatic artery thrombosis,Unmatched,5th
Aspiration,inhalation,inhalation,Pulmonary oedema post fume inhalation,Unmatched,5th
Aspiration,intake,intake,Iodine uptake,Unmatched,5th
Aspiration,aspire,aspire,Computerised tomogram spine,Unmatched,5th
Aspiration,dream,dream,Gram stain,Unmatched,5th
Aspiration,aspirate,aspirate,Aspartate aminotransferase increased,Unmatched,5th
Asthma,asthmatic,asthmatic,Automatic positive airway pressure,Unmatched,5th
Ataxia,atactic,atactic,Blood lactic acid decreased,Unmatched,5th
Atrophy,wasting,wasting,Renal salt-wasting syndrome,Unmatched,5th
Atrophy,wither,wither,Exposure via father,Unmatched,5th
Aura,air,air,Paratracheal air cyst,Unmatched,5th
Aura,halo,halo,Drug half-life reduced,Unmatched,5th
Aura,glory,glory,Purple glove syndrome,Unmatched,5th
Azotaemia,uremia,uremia,Uraemic encephalopathy,Unmatched,5th
Azotaemia,uremic,uremic,Uraemic neuropathy,Unmatched,5th
Azotaemia,uraemia,uraemia,Uraemic encephalopathy,Unmatched,5th
Azotaemia,uraemic,uraemic,Uraemic neuropathy,Unmatched,5th
B-cell lymphoma stage II,b cell lymphoma stage 2,b cell lymphoma stage 2,Intestinal T-cell lymphoma stage I,Unmatched,5th
B-cell lymphoma stage III,b cell lymphoma stage 3,b cell lymphoma stage 3,Intestinal T-cell lymphoma stage I,Unmatched,5th
B-cell lymphoma stage IV,b cell lymphoma stage 4,b cell lymphoma stage 4,Intestinal T-cell lymphoma stage I,Unmatched,5th
Back disorder,punt disorder,punt disorder,Post-traumatic stress disorder,Unmatched,5th
Back disorder,bind disorder,bind disorder,Bone marrow disorder,Unmatched,5th
Back disorder,game disorder,game disorder,Respiratory gas exchange disorder,Unmatched,5th
Back disorder,gage disorder,gage disorder,Acid-base balance disorder mixed,Unmatched,5th
Back disorder,rear disorder,rear disorder,Inner ear disorder,Unmatched,5th
Back disorder,gaming disorder,gaming disorder,Selective eating disorder,Unmatched,5th
Back disorder,spine disorder,spine disorder,Skin disorder prophylaxis,Unmatched,5th
Back injury,spinal injury,spinal injury,Spinal cord injury sacral,Unmatched,5th
Back injury,rear injury,rear injury,Traumatic renal injury,Unmatched,5th
Back injury,cover injury,cover injury,Drug-induced liver injury,Unmatched,5th
Back injury,spine injury,spine injury,Administration site injury,Unmatched,5th
Back pain,punt pain,punt pain,Post breast therapy pain syndrome,Unmatched,5th
Back pain,bind pain,bind pain,Graft versus host disease in skin,Unmatched,5th
Back pain,game pain,game pain,Cafe au lait spots,Unmatched,5th
Back pain,gage pain,gage pain,"Bladder cancer stage I, with cancer in situ",Unmatched,5th
Back pain,rear pain,rear pain,Renal vein embolism,Unmatched,5th
Back pain,stake pain,stake pain,"Bladder cancer stage I, without cancer in situ",Unmatched,5th
Back pain,dorsal pain,dorsal pain,Portal vein occlusion,Unmatched,5th
Back pain,hind pain,hind pain,Chronic graft versus host disease in skin,Unmatched,5th
Back pain,spine pain,spine pain,Instillation site pain,Unmatched,5th
Back pain,back ail,back ail,Head and neck cancer stage III,Unmatched,5th
Bankruptcy,failure,failure,Ovarian failure,Unmatched,5th
Bankruptcy,fail,fail,Nail avulsion,Unmatched,5th
Barium meal,Ba meal,ba meal,Thyroid B-cell lymphoma,Unmatched,5th
Barrel chest,drum chest,drum chest,Genotype drug resistance test negative,Unmatched,5th
Barrel chest,cask chest,cask chest,Mast cell degranulation test,Unmatched,5th
Barrel chest,bbl chest,bbl chest,Parvovirus B19 test negative,Unmatched,5th
Belligerence,aggressive,aggressive,Non-Hodgkin's lymphoma unspecified histology aggressive refractory,Unmatched,5th
Bereavement,mourn,mourn,Mouth ulceration,Unmatched,5th
Bereavement,mourning,mourning,Newborn head moulding,Unmatched,5th
Biliary fibrosis,bile fibrosis,bile fibrosis,Administration site fibrosis,Unmatched,5th
Binge eating,binge rust,binge rust,Bile duct exploration,Unmatched,5th
Biopsy bone,biopsy pearl,biopsy pearl,Biopsy ear normal,Unmatched,5th
