unfoundTokens,addedTokens,count
normal,abnormal,889
increased,decreased,615
iii,ii,566
iv,ii,505
abnormal,normal,483
decreased,increased,469
i,0,222
ii,i,90
iii,i,72
iv,i,60
t,b,53
e,a,45
pain,infection,44
pharyngeal,laryngeal,42
b,a,39
ii,0,33
wave,waves,33
iii,0,33
m,a,32
iv,0,32
eye,ear,31
1,2,31
renal,anal,31
g,a,30
x,ix,30
d,a,29
retinal,renal,27
c,a,25
breast,bone,23
male,female,23
c,b,23
tongue,skin,21
muscle,brain,20
mass,rash,20
tongue,lip,19
xi,ix,18
cd8,cd4,18
exfoliation,scar,17
viii,vii,17
pallor,pain,17
i,iv,17
xiii,vii,17
xii,ix,17
vesicles,cyst,16
renal,retinal,16
discolouration,pain,16
eye,eyelid,16
mass,macule,15
a,b,15
d,c,15
ii,iv,15
splenic,renal,15
breast,lip,15
creatinine,creatine,14
discharge,scar,14
discomfort,irritation,14
irritation,discomfort,14
k,c,14
infection,contusion,13
scar,pain,13
blood,bone,13
paternal,maternal,13
blood,stool,13
0,i,13
h,k,12
p,q,12
i,ii,12
n,k,12
laryngeal,pharyngeal,12
eyelid,lip,12
gangrene,necrosis,11
scar,mass,11
b,c,11
ear,eye,11
skin,ear,11
v,i,11
incision,infusion,10
incomplete,complete,10
restenosis,stenosis,10
mm,mb,10
b,t,10
joint,breast,10
lip,iris,10
lead,zinc,10
rupture,cyst,10
lead,ph,9
bone,ear,9
acceleration,deceleration,9
renal,dental,9
e,d,9
warmth,coldness,9
heart,ear,9
spleen,liver,9
infarction,infection,9
heart,bone,8
e,b,8
t,q,8
muscle,vascular,8
brain,lip,8
rupture,graft,8
skin,hiv,8
indirect,direct,8
discharge,laceration,8
2,1,8
j,q,8
viii,v,8
vith,ivth,8
anal,renal,8
urethral,ureteral,8
ix,v,8
ulcer,laceration,8
vii,v,8
wound,injury,8
1,0,8
ldl,cd4,7
penile,genital,7
beryllium,aluminium,7
jc,bk,7
ii,iii,7
a,c,7
exfoliation,scab,7
hdl,cd8,7
pain,infarction,7
bb,mb,7
a,d,7
calcium,cadmium,7
cyst,test,7
plaque,rash,7
e,c,7
cyst,vesicles,7
renal,adrenal,7
rupture,test,7
disorder,scar,7
microglobulin,macroglobulin,7
genital,dental,7
irritation,plaque,7
nasal,anal,7
vii,ii,7
5701,5801,7
infection,infarction,7
brain,renal,7
s,c,7
d,b,6
brca2,brca1,6
4,0,6
biliary,bone,6
ix,ii,6
xith,ivth,6
cytomegalovirus,hiv,6
2,0,6
bruise,injury,6
hyperplasia,hypoplasia,6
breath,breast,6
3,0,6
scan,cancer,6
abdomen,stomach,6
rectal,renal,6
ab,a,6
bite,sting,6
brain,venous,6
hyperchromic,hypochromic,6
lipids,libido,6
u,t,6
viii,ii,6
nipple,lip,6
level,time,6
vein,skin,6
nipple,ear,6
surgery,operation,6
necrosis,gangrene,6
k,b6,6
cranial,radial,6
b6,b12,6
lip,tooth,6
dna,rna,6
splenic,lip,6
spleen,renal,6
nail,breast,6
microcytes,macrocytes,6
tidal,viral,6
liver,lip,5
brain,heart,5
penile,dental,5
rectal,dental,5
iiib,ii,5
iva,i,5
metabolism,catabolism,5
bone,ovary,5
bone,oral,5
ivb,i,5
iib,ii,5
iiia,ii,5
c2,c1,5
cysteine,cystine,5
i,v,5
cyst,chest,5
phosphorus,ph,5
discharge,scab,5
k,a,5
c,s,5
c2,c3,5
deformity,malformation,5
c4,c3,5
pain,stain,5
lead,copper,5
lead,iron,5
joint,skin,5
breast,chest,5
iia,ii,5
induction,infection,5
brain,ear,5
total,s,5
failure,pain,5
site,stem,5
tenderness,infection,5
hcv,hiv,5
skin,pain,5
volume,load,5
test,cyst,5
vomiting,shock,5
administration,brain,5
surface,core,5
bloody,blood,5
25,"1,25",5
abnormal,abnormality,5
spherocytes,siderocytes,5
hydroxycholecalciferol,dihydroxycholecalciferol,5
y,x,5
nail,lip,4
chest,breast,4
genital,general,4
stomach,abdomen,4
nasal,renal,4
nasal,retinal,4
neoplasm,tumour,4
normal,abnormality,4
nephropathy,neuropathy,4
haemorrhagic,haemorrhage,4
t,i,4
pain,vein,4
b,d,4
examination,cyst,4
stomach,heart,4
operation,surgery,4
p,t,4
test,chest,4
rest,cyst,4
atrial,arterial,4
nail,bone,4
2,2a,4
discharge,care,4
ix,xi,4
injury,burn,4
labour,nail,4
cyp3a4,cyp1a2,4
cyp2b6,cyp2d6,4
learning,ear,4
limb,ear,4
discharge,test,4
lip,brain,4
vi,ii,4
infection,injection,4
anal,oral,4
macular,vascular,4
malformation,deformity,4
v,iv,4
mass,spasm,4
measles,rubella,4
mental,dental,4
balt,malt,4
mouth,lip,4
tetrahydrocortisone,tetrahydrocortisol,4
c1,c3,4
injury,wound,4
bruising,injury,4
bone,body,4
brain,penis,4
htlv,hiv,4
head,ear,4
spleen,lip,4
bone,home,4
rupture,scar,4
bone,heart,4
hypotelorism,hypertelorism,4
spine,thorax,4
hip,pelvic,4
heart,tendon,4
injury,sounds,4
breast,foot,4
blood,bile,3
lip,hiv,3
hypochromic,hyperchromic,3
scan,care,3
viith,ivth,3
discharge,spasm,3
lip,mouth,3
vertebral,cerebral,3
venous,skin,3
rate,care,3
vascular,macular,3
hamartoma,haematoma,3
analysis,paralysis,3
v,iii,3
urinary,uterine,3
mass,leak,3
mass,lift,3
animal,anal,3
complete,incomplete,3
mass,shock,3
hepatic,septic,3
infected,hepatic,3
mastitis,gastritis,3
discomfort,irrigation,3
gad,sperm,3
prone,bone,3
breast,blood,3
mass,graft,3
adrenal,renal,3
vth,ivth,3
dental,dermal,3
50,549,3
3101,5801,3
ivth,vith,3
3,9,3
xiith,ivth,3
density,height,3
dental,genital,3
gas,fat,3
discharge,burn,3
15,19,3
irrigation,irritation,3
intravascular,extravascular,3
intestine,bone,3
insertion,infection,3
5801,5701,3
hyperaesthesia,hypoaesthesia,3
jaw,ear,3
injury,care,3
wound,urine,3
wound,throat,3
rupture,bruit,3
wound,lip,3
abrasion,exfoliation,3
fatigue,pain,3
western,eastern,3
infusion,incision,3
inflammation,web,3
brain,anus,3
adjusted,urine,3
reading,ear,3
lead,gases,3
mental,renal,3
eye,dental,3
methanol,ethanal,3
burn,pain,3
tear,tap,3
exercise,csf,3
cerebral,vertebral,3
burn,bone,3
methanol,ethanol,3
burn,cyst,3
perineal,peritoneal,3
excision,cyst,3
nut,ret,3
o,a,3
groin,bone,3
growing,groin,3
swelling,burn,3
skin,scan,3
penis,penile,3
skin,barre,3
oral,viral,3
stroke,csf,3
ethanol,ethanal,3
penile,renal,3
stool,throat,3
pain,burn,3
spinal,skin,3
pain,skin,3
cancer,care,3
pains,pain,3
igm,iga,3
sting,bite,3
hallucination,delusion,3
bed,bone,3
bruise,burn,3
indentation,infection,3
reocclusion,occlusion,3
testes,ear,3
testes,anus,3
heart,anus,3
moraxella,morganella,3
sebaceous,breast,3
blast,back,3
gases,test,3
disorder,care,3
gases,count,3
mitral,viral,3
testes,eye,3
tendon,sinus,3
training,pain,3
test,iron,3
e,b6,3
nail,eye,3
electrocardiogram,audiogram,3
faeces,facial,2
injury,hard,2
infected,septic,2
growth,maturation,2
hunger,thirst,2
faecal,faeces,2
face,rash,2
induced,late,2
hypermetropia,hyperoxia,2
failure,loss,2
haematoma,hamartoma,2
haptoglobin,haemoglobin,2
infant,band,2
hair,ear,2
hand,jaw,2
hair,nail,2
gases,blister,2
face,nerve,2
faeces,stoma,2
incarcerated,lung,2
ii,v,2
indentation,pain,2
infectious,infection,2
infiltration,perforation,2
foetal,renal,2
hyperthyroidism,hypothyroidism,2
in,at,2
head,lid,2
good,door,2
foot,nose,2
gram,oral,2
finger,binge,2
hypopigmentation,hyperpigmentation,2
inflammation,flaring,2
female,male,2
hypoplasia,hyperplasia,2
home,bone,2
inflammation,sex,2
impairment,care,2
heart,head,2
feet,neel,2
feeding,food,2
feeding,fat,2
heart,nerve,2
fatigue,care,2
fascia,facial,2
hip,lip,2
hermaphroditism,androgens,2
infective,infectious,2
impairment,disability,2
oestriol,oestradiol,2
injury,wart,2
systolic,symbolic,2
skin,face,2
skin,heat,2
sluggishness,lethargy,2
spine,neck,2
splenic,liver,2
stain,macule,2
stenosis,restenosis,2
stomach,blood,2
stool,csf,2
