unfoundTokens,addedTokens,count
increased,decreased,43
normal,abnormal,36
decreased,increased,27
m,e,24
g,e,20
abnormal,normal,20
ii,iv,15
iii,ii,15
iv,ii,15
renal,rectal,14
e,d,13
xii,viii,11
renal,anal,11
pharyngeal,laryngeal,10
t,b,10
i,ii,10
d,c,9
k,d,9
e,c,9
d,e,8
xii,vii,8
m,g,8
i,0,8
k,e,8
xiii,viii,8
p,t,8
viii,vii,7
3,2,6
x,ix,6
x,v,6
4,2,6
iii,iib,6
xiii,vii,6
iii,viii,6
ix,x,5
i,iv,5
xiii,xi,5
iva,iii,5
ivb,iii,5
vii,x,5
d,g,5
cd4,cd8,5
iiib,iiia,5
viii,x,5
blood,liver,5
q,t,4
j,t,4
mb,bb,4
a,d,4
k,b1,4
b,t,3
gangrene,necrosis,3
g,c,3
ii,0,3
xith,vith,3
xiith,viith,3
anal,renal,3
spleen,liver,3
iii,0,3
iv,0,3
laryngeal,pharyngeal,3
vth,vith,3
vith,viith,3
dental,omental,3
rectal,renal,3
iii,i,2
k,b2,2
pain,infarction,2
hdl,cd8,2
mm,bb,2
ii,i,2
methanol,ethanol,2
k,b6,2
lipids,lipase,2
ldl,cd4,2
iv,i,2
heart,cornea,2
15,21,2
dental,genital,2
e,b1,2
c1,c4,2
vi,ix,2
brain,ear,2
bone,ear,2
x,xi,2
b2,b1,2
d,k,2
c2,c1,2
b,e,2
e,b,2
c2,c4,2
a,k,2
a,e,2
a,b,2
9,21,2
gases,count,2
stomach,ear,2
pain,kuru,1
pacemaker,pash,1
wound,kuru,1
posture,po2,1
pain,infection,1
x,xii,1
position,dose,1
xii,ix,1
pallor,papule,1
poliomyelitis,polyp,1
palpitations,staring,1
plaque,rash,1
scan,renal,1
v,iii,1
vii,vi,1
tear,bruit,1
retinal,renal,1
screaming,fall,1
seizure,culture,1
sensitive,oral,1
shock,gout,1
sleep,lip,1
spleen,lip,1
splenic,liver,1
support,operation,1
tempi,pash,1
scan,cancer,1
theft,staring,1
purulence,po2,1
thirst,crying,1
purpura,gliosis,1
prone,wrong,1
trance,culture,1
u,q,1
u,t,1
uvulopalatopharyngoplasty,po2,1
skin,pain,1
injury,kuru,1
nipple,jaw,1
brain,rectal,1
death,obstruction,1
d,a,1
cyp2c9,cyp2b6,1
crying,wheezing,1
crying,fall,1
crush,ross,1
crush,ear,1
crush,brash,1
chills,choking,1
charge,door,1
charge,brash,1
c,s,1
c,e,1
brain,heart,1
dumping,flood,1
brain,genital,1
brain,bruit,1
blood,lung,1
blast,hair,1
back,scar,1
back,heart,1
back,gaming,1
b6,b2,1
anger,chorea,1
amenorrhoea,ammonia,1
alcoholic,scar,1
abnormality,normal,1
abnormality,abnormal,1
discomfort,irrigation,1
e,b2,1
nerve,heart,1
illusion,mania,1
nerve,brain,1
nephropathy,neurosis,1
nasal,spinal,1
nail,eye,1
morose,scar,1
mass,pinta,1
married,tic,1
life,liver,1
lacrimation,learning,1
irritability,chorea,1
intersection,ross,1
infusion,incision,1
infarction,infant,1
iii,x,1
e,b6,1
ii,x,1
hydrophobia,rales,1
hunger,crying,1
hanging,hangover,1
h,c,1
feeding,jaw,1
feeding,gaming,1
face,brain,1
f,c,1
eye,heart,1
examination,cyst,1
eating,jaw,1
ear,eye,1
xxx,xyy,1
