unfoundTokens,addedTokens,count
increased,decreased,26
m,g,24
normal,abnormal,21
xiii,xi,12
i,0,10
renal,rectal,10
decreased,increased,9
xii,viii,6
xii,vii,6
d,g,6
ii,iii,5
iii,ii,5
iv,ii,5
k,b2,4
j,p,4
q,p,4
g,e,3
xith,xiith,3
9,18,2
xii,xi,2
15,18,2
iii,xii,2
a,k,2
e,b2,2
d,k,2
c2,c1,2
scratch,pica,1
plague,married,1
bite,pica,1
bite,coma,1
scar,pica,1
underweight,scab,1
u,p,1
bite,staring,1
wound,thirst,1
amenorrhoea,amimia,1
alcoholic,scan,1
abnormality,abnormal,1
parity,pain,1
h,e,1
mutism,bite,1
f,e,1
measles,roseola,1
mass,weight,1
caregiver,pco2,1
choking,scab,1
confabulation,cyst,1
iv,i,1
induration,scleritis,1
crush,heart,1
deafness,death,1
iii,i,1
ii,i,1
moaning,scan,1
