MRA_terms,Returned
Anotia,Neonatal anoxia
Death,Near death experience
Infection,Injection site joint infection
Infection,Infusion site infection
Infection,Injection site joint infection
Infection,Injection site joint infection
Infection,Injection site joint infection
Pancreatitis,Pancreatic carcinoma
Surgery,Peripheral artery surgery
Carbohydrate antigen 27.29,Carbohydrate antigen 19-9 increased
Wound,Tender joint count
Injection,Injection site joint infection
Injection,Injection site joint infection
Injection,Injection site joint infection
Injection,Injection site joint infection
Injection,Injection site joint infection
Coinfection,Injection site joint infection
