MRA_term,Modified_term,SearcherReturned_term,State,Rank
Abortion incomplete complicated,aborton icomplete ocmplicated,Abortion complete complicated,Unmatched,1st
Abortion induced incomplete complicated,aortion indfuced nicomplete coplicated,Abortion induced complete complicated,Unmatched,1st
Abortion induced incomplete complicated,abotrion induce zncomplete omplicated,Abortion induced complete complicated,Unmatched,1st
Abortion spontaneous incomplete complicated,abrtion spontanetous nicomplete complihated,Abortion spontaneous complete complicated,Unmatched,1st
Acral lentiginous melanoma stage III,acra lentigidous melaoma stagd iii,Acral lentiginous melanoma stage II,Unmatched,1st
Acral lentiginous melanoma stage III,ahcral lentiinous meianoma staeg iii,Acral lentiginous melanoma stage II,Unmatched,1st
Acral lentiginous melanoma stage III,acarl lentignous emlanoma stane iii,Acral lentiginous melanoma stage II,Unmatched,1st
Acral lentiginous melanoma stage III,vcral elntiginous melanoaa stageu iii,Acral lentiginous melanoma stage II,Unmatched,1st
Acral lentiginous melanoma stage III,caral lewtiginous melnaoma sage iii,Acral lentiginous melanoma stage II,Unmatched,1st
Acral lentiginous melanoma stage IV,mcral lentignous melaonma stgae iv,Acral lentiginous melanoma stage II,Unmatched,1st
Acral lentiginous melanoma stage IV,mcral lentiginos melnoma tsage iv,Acral lentiginous melanoma stage II,Unmatched,1st
Acral lentiginous melanoma stage IV,acra lentiginohus melnoma sbage iv,Acral lentiginous melanoma stage II,Unmatched,1st
Acral lentiginous melanoma stage IV,arcal lentiginos mnlanoma snage iv,Acral lentiginous melanoma stage II,Unmatched,1st
Acral lentiginous melanoma stage IV,acwral lentiginos melanmoa stafe iv,Acral lentiginous melanoma stage II,Unmatched,1st
Adenosquamous cell lung cancer stage I,adenxsquamoue cell lung cancrr styge i,Adenosquamous cell lung cancer stage 0,Unmatched,1st
Adenosquamous cell lung cancer stage I,adenosqaumoub cell lung rancer staeg i,Adenosquamous cell lung cancer stage 0,Unmatched,1st
Adenosquamous cell lung cancer stage I,adenosquabousc cell lung canceo stase i,Adenosquamous cell lung cancer stage 0,Unmatched,1st
Adenosquamous cell lung cancer stage I,adensoquaomous cell lung acncer tsage i,Adenosquamous cell lung cancer stage 0,Unmatched,1st
Adenosquamous cell lung cancer stage I,adensuqamous cell lung rancer staje i,Adenosquamous cell lung cancer stage 0,Unmatched,1st
Adenosquamous cell lung cancer stage III,adenosqsuaous cell lung fcancer stae iii,Adenosquamous cell lung cancer stage II,Unmatched,1st
Adenosquamous cell lung cancer stage III,aendosquamous cell lung cancre stge iii,Adenosquamous cell lung cancer stage II,Unmatched,1st
Adenosquamous cell lung cancer stage III,adenosquoomus cell lung cnacer mstage iii,Adenosquamous cell lung cancer stage II,Unmatched,1st
Adenosquamous cell lung cancer stage III,adenosqamuous cell lung caqcer tsage iii,Adenosquamous cell lung cancer stage II,Unmatched,1st
Adenosquamous cell lung cancer stage III,adenosquamhzs cell lung cncer satge iii,Adenosquamous cell lung cancer stage II,Unmatched,1st
Adenosquamous cell lung cancer stage IV,adneosquamus cell lung cnacer styge iv,Adenosquamous cell lung cancer stage II,Unmatched,1st
Adenosquamous cell lung cancer stage IV,uadenosqumaous cell lung cacer cstage iv,Adenosquamous cell lung cancer stage II,Unmatched,1st
Adenosquamous cell lung cancer stage IV,denosuamous cell lung cance stuage iv,Adenosquamous cell lung cancer stage II,Unmatched,1st
Adenosquamous cell lung cancer stage IV,adenosqtamjus cell lung canjcer ystage iv,Adenosquamous cell lung cancer stage II,Unmatched,1st
Adenosquamous cell lung cancer stage IV,adenosuqmaous cell lung cancir strge iv,Adenosquamous cell lung cancer stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage III,asdult t cell lympsoma leukaemi stgae iii,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage III,adul t cell lympnoma leuakemia satge iii,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage III,ault t cell llymphoma leukafmia stae iii,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage III,adlut t cell lykphoma leukaeia svtage iii,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage III,adxlt t cell hlymphoma leukaema stagu iii,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage IV,adutl t cell lmphoma leukaumia nstage iv,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage IV,adul t cell lympohma leukamia stae iv,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage IV,dult t cell lymphbma lceukaemia stge iv,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage IV,adutt t cell lymphoam leukaemit stag iv,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage IV,cadult t cell lymbphoma leukameia statge iv,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Albumin globulin ratio increased,albuamin gobulin rato nicreased,Albumin globulin ratio decreased,Unmatched,1st
Aldosterone urine increased,aldosterbne urin nicreased,Aldosterone urine decreased,Unmatched,1st
Aldosterone urine increased,azdosterone uurine ivcreased,Aldosterone urine decreased,Unmatched,1st
Alpha 1 globulin increased,algha 1 globuiln nicreased,Alpha 1 globulin decreased,Unmatched,1st
Alpha 2 globulin,algha 2 golbulin,Alpha 1 globulin,Unmatched,1st
Alpha 2 globulin,lpha 2 pglobulin,Alpha 1 globulin,Unmatched,1st
Alpha 2 globulin,alpkha 2 globuln,Alpha 1 globulin,Unmatched,1st
Alpha 2 globulin,ualpha 2 lgobulin,Alpha 1 globulin,Unmatched,1st
Alpha 2 globulin,alphk 2 globulni,Alpha 1 globulin,Unmatched,1st
Alpha 2 globulin abnormal,alha 2 globuliq anormal,Alpha 1 globulin abnormal,Unmatched,1st
Alpha 2 globulin abnormal,alpga 2 glotulin abonrmal,Alpha 1 globulin abnormal,Unmatched,1st
Alpha 2 globulin abnormal,adpha 2 iglobulin bnormal,Alpha 1 globulin abnormal,Unmatched,1st
Alpha 2 globulin abnormal,alpah 2 globuiln abbnormal,Alpha 1 globulin abnormal,Unmatched,1st
Alpha 2 globulin abnormal,apha 2 globulen abtnormal,Alpha 1 globulin abnormal,Unmatched,1st
Alpha 2 globulin decreased,alphra 2 gtlobulin oecreased,Alpha 1 globulin decreased,Unmatched,1st
Alpha 2 globulin decreased,ajpha 2 globuuin gdecreased,Alpha 1 globulin decreased,Unmatched,1st
Alpha 2 globulin decreased,alpqha 2 globulni ecreased,Alpha 1 globulin decreased,Unmatched,1st
Alpha 2 globulin decreased,alhpa 2 lgobulin edcreased,Alpha 1 globulin decreased,Unmatched,1st
Alpha 2 globulin decreased,lpha 2 globuiln decraesed,Alpha 1 globulin decreased,Unmatched,1st
Alpha 2 globulin increased,wlpha 2 globeulin increyased,Alpha 1 globulin increased,Unmatched,1st
Alpha 2 globulin increased,alpsa 2 globulni incraesed,Alpha 1 globulin increased,Unmatched,1st
Alpha 2 globulin increased,lpha 2 globulni incresed,Alpha 1 globulin increased,Unmatched,1st
Alpha 2 globulin increased,alphaz 2 glogulin incrheased,Alpha 1 globulin increased,Unmatched,1st
Alpha 2 globulin increased,aloha 2 gobulin increaused,Alpha 1 globulin increased,Unmatched,1st
Alpha 2 globulin normal,alepha 2 glonbulin noraml,Alpha 1 globulin normal,Unmatched,1st
Alpha 2 globulin normal,alphj 2 globuin nomal,Alpha 1 globulin normal,Unmatched,1st
Alpha 2 globulin normal,alpwha 2 glboulin normlal,Alpha 1 globulin normal,Unmatched,1st
Alpha 2 globulin normal,aplpha 2 globulni norma,Alpha 1 globulin normal,Unmatched,1st
Alpha 2 globulin normal,alhpa 2 globuin ormal,Alpha 1 globulin normal,Unmatched,1st
Amniocentesis normal,amniocenteoxsis onormal,Amniocentesis abnormal,Unmatched,1st
Amylase increased,amylate encreased,Amylase decreased,Unmatched,1st
Amylase increased,amylapse iscreased,Amylase decreased,Unmatched,1st
Anaemia vitamin B6 deficiency,awaemia vitain b6 deficieny,Anaemia vitamin B12 deficiency,Unmatched,1st
Anaemia vitamin B6 deficiency,anaemi vitmin b6 edficiency,Anaemia vitamin B12 deficiency,Unmatched,1st
Anaemia vitamin B6 deficiency,aaemia viamin b6 deficeincy,Anaemia vitamin B12 deficiency,Unmatched,1st
Anaemia vitamin B6 deficiency,aanemia vitcamin b6 dficiency,Anaemia vitamin B12 deficiency,Unmatched,1st
Anaemia vitamin B6 deficiency,aaaemia ivtamin b6 deficisncy,Anaemia vitamin B12 deficiency,Unmatched,1st
Anal cancer stage I,anal cancre stagge i,Anal cancer stage 0,Unmatched,1st
Anal cancer stage I,anal ycancer satge i,Anal cancer stage 0,Unmatched,1st
Anal cancer stage I,anal cance sage i,Anal cancer stage 0,Unmatched,1st
Anal cancer stage I,anal cnacer stjge i,Anal cancer stage 0,Unmatched,1st
Anal cancer stage I,anal cancr strage i,Anal cancer stage 0,Unmatched,1st
Anal cancer stage III,anal cpncer stag iii,Anal cancer stage II,Unmatched,1st
Anal cancer stage III,anal canecer stae iii,Anal cancer stage II,Unmatched,1st
Anal cancer stage III,anal canler satge iii,Anal cancer stage II,Unmatched,1st
Anal cancer stage III,anal cance stjage iii,Anal cancer stage II,Unmatched,1st
Anal cancer stage III,anal cancser stagej iii,Anal cancer stage II,Unmatched,1st
Anal cancer stage IV,anal acncer tsage iv,Anal cancer stage II,Unmatched,1st
Anal cancer stage IV,anal canecr stgae iv,Anal cancer stage II,Unmatched,1st
Anal cancer stage IV,anal cancerv stare iv,Anal cancer stage II,Unmatched,1st
Anal cancer stage IV,anal cacner stagge iv,Anal cancer stage II,Unmatched,1st
Anal cancer stage IV,anal cnacer tage iv,Anal cancer stage II,Unmatched,1st
Anaplastic large cell lymphoma T- and null-cell types stage III,anaplasticc lagre cell lymbphoma t and null cell typeh sttage iii,Anaplastic large cell lymphoma T- and null-cell types stage II,Unmatched,1st
Anaplastic large cell lymphoma T- and null-cell types stage III,anaplastifc arge cell lymphmoa t and null cell fypes stagze iii,Anaplastic large cell lymphoma T- and null-cell types stage II,Unmatched,1st
Anaplastic large cell lymphoma T- and null-cell types stage III,aaplastic lzrge cell lyzphoma t and null cell typse stae iii,Anaplastic large cell lymphoma T- and null-cell types stage II,Unmatched,1st
Anaplastic large cell lymphoma T- and null-cell types stage III,anaplqstic garge cell lymphoima t and null cell txpes tsage iii,Anaplastic large cell lymphoma T- and null-cell types stage II,Unmatched,1st
Anaplastic large cell lymphoma T- and null-cell types stage III,lanaplastic larg cell yymphoma t and null cell typs stgge iii,Anaplastic large cell lymphoma T- and null-cell types stage II,Unmatched,1st
Anaplastic large cell lymphoma T- and null-cell types stage IV,aanplastic ltrge cell lymfhoma t and null cell ytypes stapge iv,Anaplastic large cell lymphoma T- and null-cell types stage II,Unmatched,1st
Anaplastic large cell lymphoma T- and null-cell types stage IV,anaplastdc lrge cell lyphoma t and null cell oypes staeg iv,Anaplastic large cell lymphoma T- and null-cell types stage II,Unmatched,1st
Anaplastic large cell lymphoma T- and null-cell types stage IV,anapalstic lage cell mymphoma t and null cell tpes sage iv,Anaplastic large cell lymphoma T- and null-cell types stage II,Unmatched,1st
Anaplastic large cell lymphoma T- and null-cell types stage IV,anaplapstic lrage cell lympioma t and null cell tpyes tsage iv,Anaplastic large cell lymphoma T- and null-cell types stage II,Unmatched,1st
Anaplastic large cell lymphoma T- and null-cell types stage IV,anaplastzc larg cell lymhoma t and null cell ytpes stgae iv,Anaplastic large cell lymphoma T- and null-cell types stage II,Unmatched,1st
Angiocentric lymphoma stage III,angioentrip lyumphoma staeg iii,Angiocentric lymphoma stage II,Unmatched,1st
Angiocentric lymphoma stage III,agiocantric lympheoma tage iii,Angiocentric lymphoma stage II,Unmatched,1st
Angiocentric lymphoma stage III,angyocntric ymphoma stade iii,Angiocentric lymphoma stage II,Unmatched,1st
Angiocentric lymphoma stage III,angoicentrc lymphoam stgae iii,Angiocentric lymphoma stage II,Unmatched,1st
Angiocentric lymphoma stage III,agiocyntric lzmphoma stag iii,Angiocentric lymphoma stage II,Unmatched,1st
Angiocentric lymphoma stage IV,angientric lymphwma atage iv,Angiocentric lymphoma stage II,Unmatched,1st
Angiocentric lymphoma stage IV,angiocentkci lymgphoma stag iv,Angiocentric lymphoma stage II,Unmatched,1st
Angiocentric lymphoma stage IV,anjgkocentric lyephoma stae iv,Angiocentric lymphoma stage II,Unmatched,1st
Angiocentric lymphoma stage IV,angioczentzric lymphomal tage iv,Angiocentric lymphoma stage II,Unmatched,1st
Angiocentric lymphoma stage IV,angiognetric lymphomg tsage iv,Angiocentric lymphoma stage II,Unmatched,1st
Angiogram retina normal,angeiogram rettna nnormal,Angiogram retina abnormal,Unmatched,1st
Angioimmunoblastic T-cell lymphoma stage III,angiimmunoblastci t cell lyphoma stare iii,Angioimmunoblastic T-cell lymphoma stage II,Unmatched,1st
Angioimmunoblastic T-cell lymphoma stage III,angioimumnoblgastic t cell lymphomn stae iii,Angioimmunoblastic T-cell lymphoma stage II,Unmatched,1st
Angioimmunoblastic T-cell lymphoma stage III,angioimmunoiblapstic t cell lymphoga tsage iii,Angioimmunoblastic T-cell lymphoma stage II,Unmatched,1st
Angioimmunoblastic T-cell lymphoma stage III,angiohmmunoblasic t cell lymphvma sage iii,Angioimmunoblastic T-cell lymphoma stage II,Unmatched,1st
Angioimmunoblastic T-cell lymphoma stage III,angioumumnoblastic t cell lymphoda syage iii,Angioimmunoblastic T-cell lymphoma stage II,Unmatched,1st
Angioimmunoblastic T-cell lymphoma stage IV,angioimmunoblajsic t cell lymphhma stvge iv,Angioimmunoblastic T-cell lymphoma stage II,Unmatched,1st
Angioimmunoblastic T-cell lymphoma stage IV,aniiommunoblastic t cell lypmhoma ttage iv,Angioimmunoblastic T-cell lymphoma stage II,Unmatched,1st
Angioimmunoblastic T-cell lymphoma stage IV,angibimmunobeastic t cell lymmphoma skage iv,Angioimmunoblastic T-cell lymphoma stage II,Unmatched,1st
Angioimmunoblastic T-cell lymphoma stage IV,angioimumnoblasti t cell lymphuma stgae iv,Angioimmunoblastic T-cell lymphoma stage II,Unmatched,1st
Angioimmunoblastic T-cell lymphoma stage IV,angiowimmunobllastic t cell lymhpoma tsage iv,Angioimmunoblastic T-cell lymphoma stage II,Unmatched,1st
Angiotensin I increased,angiotensi i ncreased,Angiotensin I decreased,Unmatched,1st
Angiotensin I increased,angiotenslin i ncreased,Angiotensin I decreased,Unmatched,1st
Angiotensin I increased,angiotesin i nicreased,Angiotensin I decreased,Unmatched,1st
Angiotensin I normal,angiotnsin i nnormal,Angiotensin I abnormal,Unmatched,1st
Angiotensin II increased,agniotensin ii icreased,Angiotensin II decreased,Unmatched,1st
Angiotensin II increased,angiotensn ii nicreased,Angiotensin II decreased,Unmatched,1st
Anion gap increased,nion gap ncreased,Anion gap decreased,Unmatched,1st
Anotia,anoxia,Anoxia,Unmatched,1st
Anoxia,agnoxia,Agnosia,Unmatched,1st
Aphasia,aphazia,Aphakia,Unmatched,1st
Aplasia,apasia,Aphasia,Unmatched,1st
Aplasia,apiasia,Aphasia,Unmatched,1st
Apolipoprotein A-I increased,atpolipoproten a i ncreased,Apolipoprotein A-I decreased,Unmatched,1st
Apolipoprotein A-II increased,aplipoproteik a ii igcreased,Apolipoprotein A-II decreased,Unmatched,1st
Apolipoprotein B normal,apotllipoprotein b inormal,Apolipoprotein B abnormal,Unmatched,1st
Arteriogram carotid normal,rateriogram caroqid cnormal,Arteriogram carotid abnormal,Unmatched,1st
Arthritis,artritis,Arteritis,Unmatched,1st
Aspiration joint normal,aspirationy jiont nnormal,Aspiration joint abnormal,Unmatched,1st
Aspiration spermatocele normal,aspration speratocee cnormal,Aspiration spermatocele abnormal,Unmatched,1st
Aspiration spermatocele normal,aspirtion speroaocele nnormal,Aspiration spermatocele abnormal,Unmatched,1st
Ataxia,apaxia,Apraxia,Unmatched,1st
Audiogram normal,akudiogram tnormal,Audiogram abnormal,Unmatched,1st
Aural polyp,auqal rolyp,Anal polyp,Unmatched,1st
Aural polyp,aual ployp,Anal polyp,Unmatched,1st
Aural polyp,aral poylp,Anal polyp,Unmatched,1st
B-cell lymphoma stage III,b cell lymphma stagze iii,B-cell lymphoma stage II,Unmatched,1st
B-cell lymphoma stage III,b cell lyphoma state iii,B-cell lymphoma stage II,Unmatched,1st
B-cell lymphoma stage III,b cell lymphomk tsage iii,B-cell lymphoma stage II,Unmatched,1st
B-cell lymphoma stage III,b cell lymphma dtage iii,B-cell lymphoma stage II,Unmatched,1st
B-cell lymphoma stage III,b cell lymphoam stge iii,B-cell lymphoma stage II,Unmatched,1st
B-cell lymphoma stage IV,b cell lympohma sitage iv,B-cell lymphoma stage II,Unmatched,1st
B-cell lymphoma stage IV,b cell lympoma stae iv,B-cell lymphoma stage II,Unmatched,1st
B-cell lymphoma stage IV,b cell lympbhoma stake iv,B-cell lymphoma stage II,Unmatched,1st
B-cell lymphoma stage IV,b cell lymphoa tage iv,B-cell lymphoma stage II,Unmatched,1st
B-cell lymphoma stage IV,b cell lymphopa tsage iv,B-cell lymphoma stage II,Unmatched,1st
B-cell small lymphocytic lymphoma stage III,b cell smatl lmyphocytic lymphmoma tage iii,B-cell small lymphocytic lymphoma stage II,Unmatched,1st
B-cell small lymphocytic lymphoma stage III,b cell smasll lymphocytpic lympnhoma stayge iii,B-cell small lymphocytic lymphoma stage II,Unmatched,1st
B-cell small lymphocytic lymphoma stage III,b cell syall lymphoytic lympjoma stjage iii,B-cell small lymphocytic lymphoma stage II,Unmatched,1st
B-cell small lymphocytic lymphoma stage III,b cell smatl elymphocytic lymhoma sage iii,B-cell small lymphocytic lymphoma stage II,Unmatched,1st
B-cell small lymphocytic lymphoma stage III,b cell smll lymphcytic lymhpoma tsage iii,B-cell small lymphocytic lymphoma stage II,Unmatched,1st
B-cell small lymphocytic lymphoma stage IV,b cell sall lympohcytic lympoma stayge iv,B-cell small lymphocytic lymphoma stage II,Unmatched,1st
B-cell small lymphocytic lymphoma stage IV,b cell smaull lypmhocytic lyemphoma sage iv,B-cell small lymphocytic lymphoma stage II,Unmatched,1st
