unfoundTokens,addedTokens,count
iii,ii,509
iv,ii,450
abnormal,normal,285
increased,decreased,255
decreased,increased,225
i,0,168
normal,abnormal,135
e,a,80
b,a,80
male,female,65
eye,ear,61
t,b,56
d,a,55
c,b,50
2,1,48
c,a,45
d,c,40
mass,rash,35
x,ix,35
g,a,30
xi,ix,30
a,b,30
b6,b12,27
wave,waves,26
1,2,26
m,a,25
xiii,vii,25
xii,ix,25
a,c,25
creatinine,creatine,25
urethral,ureteral,25
viii,vii,25
ear,eye,25
cd8,cd4,24
pharyngeal,laryngeal,23
e,d,20
retinal,renal,20
mm,mb,20
e,b,20
scar,scab,20
paternal,maternal,20
e,c,20
methanol,ethanol,19
ureteral,urethral,19
anal,renal,19
b,t,18
irrigation,irritation,15
b2,b12,15
ear,heart,15
jc,bk,15
k,c,15
ia2,gad,15
c4,c3,15
b,c,15
c2,c3,15
b1,b12,15
anal,oral,15
0,i,15
anal,nasal,15
vith,ivth,15
scab,scar,15
t,i,15
renal,anal,15
a,d,15
vgkc,vgcc,15
po2,pco2,15
c,s,14
incision,infusion,13
p,q,12
nasal,nail,12
s,c,12
rectal,renal,12
rash,mass,12
oral,anal,11
nasal,anal,11
use,abuse,10
5701,5801,10
h,k,10
bb,mb,10
ear,head,10
bone,nose,10
dna,rna,10
v,i,10
viii,ii,10
vein,skin,10
xith,ivth,10
brca2,brca1,10
d,b,10
cysteine,cystine,10
cyp2b6,cyp2d6,10
vii,ii,10
vii,viii,10
hair,ear,10
c1,c3,10
nail,hair,10
i,ii,10
n,k,10
neck,back,10
limb,lip,10
ldl,cd4,10
ix,ii,10
abuser,abuse,10
ii,iv,10
present,absent,10
i,iv,10
igm,iga,10
htlv,hiv,10
b,d,10
hdl,cd8,10
b12,b6,9
50,549,9
laryngeal,pharyngeal,9
restenosis,stenosis,9
vaginal,anal,8
renal,rectal,8
p,t,8
cd4,cd8,7
t,q,7
pco2,po2,7
pain,stain,7
test,chest,6
j,q,6
eyelid,eye,6
u,t,6
ethanol,ethanal,6
hair,nail,6
indirect,direct,6
anaesthesia,paraesthesia,6
c2,c1,5
mite,milk,5
ivth,vith,5
ix,xi,5
jaw,ear,5
k,a,5
laceration,maceration,5
lens,lung,5
limb,rib,5
lip,hiv,5
liver,lip,5
c,n,5
microcytes,macrocytes,5
mpl,cbl,5
iva,i,5
nail,anal,5
nail,nasal,5
nat1,nat2,5
nephritic,nephrotic,5
nest,nose,5
nose,bone,5
nut,ret,5
o,a,5
oral,gram,5
pain,sprain,5
pash,aase,5
ivb,i,5
infusion,incision,5
9,3,5
infection,injection,5
h,a,5
balt,malt,5
h2n2,h1n1,5
h3n2,h1n1,5
b6,b1,5
b2,b1,5
hbv,hiv,5
hcv,hiv,5
b12,b1,5
head,hand,5
hip,rib,5
home,coma,5
hypoplasia,hyperplasia,5
i,v,5
igd,ige,5
igm,ige,5
ii,iii,5
ii,ix,5
iia,ii,5
iib,ii,5
iiia,ii,5
iiib,ii,5
arteritis,arthritis,5
incomplete,complete,5
1,0,5
ab,a,5
9,11,5
frasier,fraser,5
v,x,5
2,2a,5
2,0,5
vi,ii,5
19,18,5
19,15,5
18q,5q,5
18,11,5
17,11,5
vth,ivth,5
16,11,5
x,i,5
15,19,5
x,v,5
xi,ii,5
15,11,5
xii,ii,5
14,11,5
xii,viii,5
xiii,ii,5
13,11,5
xiii,viii,5
12,11,5
xxx,xxxy,5
xxyy,xxxy,5
xyy,xxxy,5
21,11,5
22,11,5
8,6,5
242,549,5
8,11,5
72,19,5
72,15,5
7,6,5
rett,crest,5
rib,hip,5
rib,limb,5
rr,pr,5
5801,5701,5
4p,11,5
scar,ear,5
scar,eschar,5
4,9,5
spasm,pain,5
4,3,5
4,0,5
3101,5801,5
tear,scar,5
tear,tap,5
3,9,5
tet2,ret,5
3,1,5
3,0,5
ureteritis,urethritis,5
2b,2a,5
barre,barrel,5
y,x,5
c,i,5
fascial,facial,5
bone,acne,5
care,scale,5
c,d,5
flap,fat,5
flat,flail,5
f,a,5
care,caries,5
cyst,cast,5
carbuncle,caruncle,5
copa,cobb,5
bone,toe,5
eye,toe,5
ear,jaw,5
e,s,5
ear,man,5
cyst,cystic,5
cd20,cd25,5
face,back,5
calr,cftr,5
depletion,deletion,5
door,good,5
breast,brain,5
bpes,ipex,5
braf,brca1,5
widal,wada,4
ddx3x,xxx,4
j,t,4
cyp2c9,cyp2c19,4
corneal,renal,4
sclera,pleura,4
cranial,radial,4
spine,skin,4
hyperplasia,hypoplasia,4
infarction,infection,4
bone,bovine,4
female,male,4
pharynx,larynx,4
cornea,bone,4
q,t,4
proinsulin,insulin,4
renal,retinal,4
sclerosis,stenosis,3
viiith,ivth,3
viith,viiith,3
polyps,polyp,3
lipids,libido,3
ileal,anal,3
macule,papule,3
aural,anal,3
test,cyst,3
nasal,oral,3
calcium,cadmium,3
atrial,arterial,3
genital,rectal,3
gastritis,arthritis,3
spinal,renal,3
lenegre's,meniere's,3
vertebral,cerebral,3
blood,colon,3
urine,bile,3
cd4,ldl,3
cyp3a5,cyp3a4,3
cd8,hdl,3
without,with,3
spleen,sleep,3
arteriogram,arthrogram,3
hyperaesthesia,hypoaesthesia,3
renal,oral,3
turner's,horner's,3
route,rate,3
hypermotility,hypomotility,3
voice,device,3
hypertension,hypotension,3
renal,dental,3
sweat,smear,2
morvan,irvan,2
lipids,lipase,2
leakage,breakage,2
microglossia,macroglossia,2
dysmyelination,demyelination,2
pustules,papules,2
corpectomy,cordotomy,2
