unfoundTokens,addedTokens,count
e,c,25
d,c,25
xii,viii,24
m,g,22
e,d,20
increased,decreased,19
xiii,xi,16
d,g,14
b2,b1,13
iii,ii,12
t,b,10
k,d,10
iii,viii,10
decreased,increased,10
d,k,9
iv,ii,9
xiii,viii,9
abnormal,normal,8
ii,iv,8
c2,c1,6
a,k,6
anal,renal,6
i,ii,6
e,b,6
xii,vii,6
i,0,5
h,c,5
14,21,5
12,21,5
ivb,iii,5
iii,iib,5
iiib,iiia,5
iva,iii,5
g,c,5
normal,abnormal,5
renal,anal,5
vaginal,anal,5
viii,vii,5
vith,viith,5
vth,vith,5
x,xi,5
xii,ix,5
xiii,vii,5
xith,vith,5
g,e,5
i,iv,5
f,c,5
b6,b2,5
15,21,5
16,21,5
17,21,5
18,21,5
22,21,5
3,2,5
4,2,5
4p,21,5
8,21,5
9,21,5
a,b,5
a,d,5
b,e,5
xxx,xyy,5
c,e,4
a,e,4
j,q,4
c2,c4,4
m,e,3
x,v,3
cd4,cd8,3
p,t,3
b2,b6,2
b1,b6,2
pharyngeal,laryngeal,2
b,t,2
d,e,2
viith,viiith,1
c,s,1
without,with,1
c1,c4,1
injection,infection,1
brash,ross,1
d,a,1
hdl,cd8,1
dental,adrenal,1
xiith,viith,1
xiith,vith,1
greig's,reye's,1
cyp3a4,cyp2c9,1
renal,rectal,1
urethrectomy,atherectomy,1
infusion,incision,1
b12,b6,1
ivth,xith,1
j,t,1
k,e,1
ldl,cd4,1
mm,bb,1
nr5a1,npm1,1
u,q,1
endoscopy,otoscopy,1
paresis,paralysis,1
present,absent,1
q,t,1
abnormality,abnormal,1
renal,ear,1
oestradiol,oestriol,1
