MRA_term,Modified_term,SearcherReturned_term,State,Rank
Acne,cane,Bone scan,Unmatched,2nd
Alpha 2 globulin abnormal,alph 2 glboulin banormal,Alpha 1 globulin normal,Unmatched,2nd
Angiocentric lymphoma stage III,angiocenuirc lmphoma stafge isi,Angiocentric lymphoma stage II,Unmatched,2nd
Anotia,antia,Anti-actin antibody negative,Unmatched,2nd
Biopsy liver abnormal,boipsy live anbormal,Biopsy lip normal,Unmatched,2nd
Biopsy lung abnormal,bqiopsy lun banormal,Biopsy lip normal,Unmatched,2nd
Biopsy tongue abnormal,biipsy tonue abormal,Biopsy bone normal,Unmatched,2nd
Bladder adenocarcinoma stage III,blader danocarcinoma staeg iyi,Bladder adenocarcinoma stage II,Unmatched,2nd
"Bladder cancer stage I, without cancer in situ",bladdre ycancer shtage i withou cacer in siut,"Bladder cancer stage 0, without cancer in situ",Unmatched,2nd
Blood creatine phosphokinase MM normal,bkood crueatine phosphoykinave mm unormal,Blood creatine phosphokinase MB normal,Unmatched,2nd
Blood creatinine abnormal,bloo cratiine abormal,Blood creatine normal,Unmatched,2nd
Blood creatinine abnormal,bloid creatpiine anbormal,Blood creatine normal,Unmatched,2nd
Blood group B,blovod guoup b,Blood group AB,Unmatched,2nd
Blood group B,blool grfup b,Blood group AB,Unmatched,2nd
Blood group B,bloos goup b,Blood group AB,Unmatched,2nd
Blood group B,xblood gruop b,Blood group AB,Unmatched,2nd
Blood group B,bolod roup b,Blood group AB,Unmatched,2nd
Blood group O,bloodp ngroup o,Blood group B,Unmatched,2nd
Blood group O,qblood rgoup o,Blood group B,Unmatched,2nd
Blood group O,bood grkoup o,Blood group B,Unmatched,2nd
Blood group O,blod grou o,Blood group B,Unmatched,2nd
Blood group O,beood gropu o,Blood group B,Unmatched,2nd
Blood immunoglobulin E abnormal,bldood immunogulobuiln e amnormal,Blood immunoglobulin A normal,Unmatched,2nd
Blood immunoglobulin E abnormal,lbood immaunoglsobulin e bnormal,Blood immunoglobulin A normal,Unmatched,2nd
Blood immunoglobulin G,bloodj immuroglbulin g,Blood immunoglobulin E,Unmatched,2nd
Blood immunoglobulin G,blodo imunoglobluin g,Blood immunoglobulin E,Unmatched,2nd
Blood immunoglobulin G,blooo immnuoglobuln g,Blood immunoglobulin E,Unmatched,2nd
Blood immunoglobulin G,blqod immungolobulni g,Blood immunoglobulin E,Unmatched,2nd
Blood immunoglobulin G,lbood imumunoglobuylin g,Blood immunoglobulin E,Unmatched,2nd
