MRA_term,Modified_term,SearcherReturned_term,State,Rank
Blood immunoglobulin M abnormal,blodo immuonlobulin m banormal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin M abnormal,blozod immuonglobluin m bnormal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin M decreased,slood immungolobslin m xzcreased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin M increased,bloo ixmunogloulin m mcreased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin M normal,gblood imjunoglobulifn m hnormal,Blood immunoglobulin E normal,Unmatched,4th
Chronic lymphocytic leukaemia stage 4,chaonic lumphocyti lkaemia stae 4,Chronic lymphocytic leukaemia stage 3,Unmatched,4th
Chronic lymphocytic leukaemia stage 4,chonic oymphocyitc yuekaemia stag 4,Chronic lymphocytic leukaemia stage 3,Unmatched,4th
Chronic lymphocytic leukaemia stage 4,chrnoic zlymphoyctic eluxaemia staoge 4,Chronic lymphocytic leukaemia stage 3,Unmatched,4th
Chronic lymphocytic leukaemia stage 4,crhonic lyphoyctic leunkfaemia stayge 4,Chronic lymphocytic leukaemia stage 3,Unmatched,4th
Chronic lymphocytic leukaemia stage 4,chronjc llympohcytic leuksaevmia sthage 4,Chronic lymphocytic leukaemia stage 3,Unmatched,4th
Coagulation factor XII level,coaguyltion fatcor ixi ljevel,Coagulation factor X level,Unmatched,4th
Coagulation factor XII level decreased,coaguvlatlion factro yii nlevel decerase,Coagulation factor XI level decreased,Unmatched,4th
Coagulation factor XII level decreased,coaguhtion fcator kii leevl decrweasd,Coagulation factor XI level decreased,Unmatched,4th
Coagulation factor XII level increased,cobgulaiton facor ixi leve incresead,Coagulation factor X level increased,Unmatched,4th
Coagulation factor XIII level,ckagalation factro ixii levl,Coagulation factor XI level,Unmatched,4th
Coagulation factor XIII level,coagioation factr xii levl,Coagulation factor XI level,Unmatched,4th
Coagulation factor XIII level,coaguaytion afctor ixii lqevel,Coagulation factor XI level,Unmatched,4th
Coagulation factor XIII level,coagkulationc fator xii lvel,Coagulation factor XI level,Unmatched,4th
Coagulation factor XIII level decreased,coadulatioj flctor ixii lvel dyecreatsed,Coagulation factor XI level decreased,Unmatched,4th
Coagulation factor XIII level decreased,coaugation fadtor xii evel dcreasd,Coagulation factor XI level decreased,Unmatched,4th
Coagulation factor XIII level decreased,coaglatiaon factop xii lvvel decwrzased,Coagulation factor XI level decreased,Unmatched,4th
Coagulation factor XIII level decreased,ocagulatin factxr xiig ievel dcreasd,Coagulation factor XII level decreased,Unmatched,4th
Coagulation factor XIII level increased,coagualtino factpr ixii pevel incryaked,Coagulation factor XI level increased,Unmatched,4th
Coagulation factor XIII level increased,cioafulation facthr xii evel increasbe,Coagulation factor XI level increased,Unmatched,4th
Coagulation factor XIII level increased,coagulatilno fuctor xii evel nicrejsed,Coagulation factor XI level increased,Unmatched,4th
Emphysema,emphema,Mastoid empyema,Unmatched,4th
Factor XIII deficiency,factr xipi edfibciency,Factor XI deficiency,Unmatched,4th
Factor XIII deficiency,facxtor ixii deficiecjy,Factor VIII deficiency,Unmatched,4th
Hepatitis E,hepaitsi e,Hepatitis D,Unmatched,4th
Hepatitis E,heptaiti e,Hepatitis D,Unmatched,4th
Hepatitis E,hpatiti e,Hepatitis D,Unmatched,4th
Hepatitis E,heatitsi e,Hepatitis D,Unmatched,4th
