MRA_terms,Returned
Acne,Anal cancer
Acne,Bone cancer
Anal stenosis,Ear canal stenosis
Anger,Anal cancer
Anotia,Anti-actin antibody
Ataxia,QRS axis
Ataxia,Extra-axial haemorrhage
Ataxia,Anti-actin antibody
Bradykinesia,Scapular dyskinesis
Burkitt's lymphoma,High grade B-cell lymphoma Burkitt-like lymphoma
Burkitt's lymphoma refractory,High grade B-cell lymphoma Burkitt-like lymphoma refractory
Burkitt's lymphoma stage I,High grade B-cell lymphoma Burkitt-like lymphoma stage I
CD8 lymphocytes,CSF lymphocyte count
CD8 lymphocytes,CD4 lymphocyte percentage decreased
Chills,Fractionated bile acids
Chills,LE cells
Cholera,Macular hole
Condom,Biopsy colon
Crying,Groin pain
Cyst,Tilt table test
Deposit eye,Post treatment Lyme disease syndrome
Elderly,Elder abuse
Enteritis,Enteric duplication
Epididymitis,Biopsy epididymis
Fascioliasis,Manufacturing facilities issue
Fear,Ear disorder
Fibrin abnormal,Biopsy brain abnormal
Fibrin increased,Urine iron increased
Flushing,Hot flush
Food interaction,Drug ineffective for unapproved indication
Food interaction,Adverse food reaction
Fracture,Rheumatoid factor
Fungal infection,Oral fungal infection
Fungal infection,Anal fungal infection
Galactocele,Galactose intolerance
Glioma,Glial scar
Goitre,NTRK gene fusion overexpression
Granulocytes abnormal,CSF granulocyte count abnormal
Haemorrhoids,Haemorrhoid infection
Haptoglobin increased,Myoglobin blood increased
Homosexuality,Homosexual parent
Hunger,Nager syndrome
Iritis,Heterochromia iridis
Jejunal stenosis,Renal artery stenosis
Lactose intolerance,Lactose tolerance test
Lipids,SI QIII TIII pattern
Macule,Chest wall mass
Mass,Mast cell degranulation test
Miliaria,Miliary pneumonia
Morose,Home care
Nausea,Nasal cavity mass
Night sweats,Hypoplastic right heart syndrome
Orchitis,Otitis externa
Orf,Reactive attachment disorder of infancy or early childhood
Orf,Reactive attachment disorder of infancy or early childhood
Otosclerosis,Concentric sclerosis
Ototoxicity,Retinal toxicity
Pain,Ear pain
Pain,Pain in extremity
Pain,Ear pain
Papule,Faeces pale
Papule,Faeces pale
Papule,Ankle fracture
Parkinsonism,Parkinson's disease
PCO2,PaO2/FiO2 ratio
Plague,Page kidney
PO2,PaO2/FiO2 ratio
PO2,Cow pox
PO2,Cow pox
PO2,PaO2/FiO2 ratio
Polymyositis,Adenomatous polyposis coli
Prostatism,Calculus prostatic
Ranula,Uvula aplasia
Rash,Ash leaf macule
Renin,Groin pain
Retching,Infantile back arching
Retinopathy,Diabetic foetopathy
Retinopathy,Foetal retinoid syndrome
Rhinitis,Linitis plastica
Scab,COMFORT scale score increased
Scar,Application site scar
Sepsis,SARS-CoV-2 sepsis
Skin warm,Pain in jaw
Snoring,Cooling therapy
Spinal decompression,Spinal compression fracture
Symblepharon,Ablepharon macrostomia syndrome
Talipes,Vertical talus
Tension,Tendon sheath lesion excision
Tetanus,Cerebral venous sinus thrombosis
Theft,Tilt table test
Thirst,Burns third degree
Thyroxine,Thyroid adenoma
Tremor,Term birth
Trismus,Glaucomatocyclitic crises
Unemployment,Loss of employment
Urostomy,Ostomy bag placement
Uterine disorder,Purine metabolism disorder
Viral infection,Oral viral infection
Viral infection,Zika virus infection
Weight,Weight loss diet
Oral infection,Oral viral infection
Heyde's syndrome,Zeichi-Ceide syndrome
Nephrostomy,Mesoblastic nephroma
Abulia,Pityriasis alba
Cast removal,Nasal cyst removal
Lipase,Accessory liver lobe
Myeloblastoma,Myeloblast count
Eschar,Middle ear prosthesis user
Dellen,Bile duct squamous cell carcinoma
Wound,Gun shot wound
Wound,Gun shot wound
Injection,Injection site infection
Allergy test,Allergy alert test
Asplenia,Splenic abscess
Rectal cancer metastatic,Oral cavity cancer metastatic
CD8 lymphocytes decreased,CD4 lymphocyte percentage decreased
CD8 lymphocytes decreased,CD4 lymphocyte percentage decreased
Vestibulitis,Seminal vesiculitis
Cogan's syndrome,Raymond-Cestan syndrome
Periphlebitis,Periporitis staphylogenes
Balint's syndrome,Temporomandibular joint syndrome
Epulis,Pus in stool
Epulis,Ultrasound pelvis
Acantholysis,Chromosomal analysis
Nail infection,Oral viral infection
Optic neuropathy,Toxic optic neuropathy
Conjunctival disorder,Congenital disorder of glycosylation
Scan,Scar pain
Scan abnormal,Brain scan abnormal
Arthrodesis,Traumatic arthrosis
Entropion,Conjunctival erosion
Tongue operation,Tongue tie operation
Amphetamines negative,Urine amphetamine negative
CD4 lymphocytes increased,CSF lymphocyte count increased
Young's syndrome,Shrinking lung syndrome
Gene mutation,EGFR gene mutation
Gene mutation,RET gene mutation
Plateletcrit normal,Platelet count normal
Lemmel's syndrome,Post treatment Lyme disease syndrome
Skin mass,Pain in jaw
Fasting,Nasal flaring
Nail injury,Ear canal injury
Crime,Home care
Crime,Home care
Majeed's syndrome,Kabuki make-up syndrome
Microembolism,Pulmonary microemboli
CANDLE syndrome,Post intensive care syndrome
Chagoma,Intraosseous angioma
Dental paraesthesia,Dental prosthesis user
Listeraemia,Meningitis listeria
Reflex test,Capillary nail refill test
Foreign body in throat,Foreign body in gastrointestinal tract
