MRA_terms,Returned
Alpha-2 macroglobulin,Alpha 1 microglobulin decreased
Aniridia,Neonatal anuria
Aniridia,Neonatal anuria
Anotia,Anti-actin antibody positive
Ataxia,QRS axis normal
Ataxia,Anti-actin antibody negative
Ataxia,Anti-actin antibody positive
Burkitt's lymphoma,High grade B-cell lymphoma Burkitt-like lymphoma refractory
Burkitt's lymphoma stage I,High grade B-cell lymphoma Burkitt-like lymphoma stage IV
CD8 lymphocytes,CSF lymphocyte count increased
CD8 lymphocytes,CD8 lymphocyte percentage increased
Chills,Cows milk free diet
Chills,Vitreal cells
Colitis,Otitis externa
Condom,Colon gangrene
Crying,Loin pain haematuria syndrome
Cyst,Tilt table test normal
Epididymitis,Biopsy epididymis normal
Fear,Ear infection
Fibrin abnormal,Brain scan abnormal
Food interaction,Unintentional use for unapproved indication
Fracture,Complement factor
Galactocele,Blood galactose
Lactose intolerance,Lactose tolerance test normal
Lipids,Loss of control of legs
Lipoma,Coma uraemic
Mastoiditis,Mastitis fungal
Menkes' syndrome,Crowned dens syndrome
Morose,Model for end stage liver disease score
Myocarditis,Meningococcal carditis
Nausea,Nasal congestion
Orf,Removal of inert matter from skin or subcutaneous tissue
Orf,Removal of inert matter from skin or subcutaneous tissue
Otosclerosis,Choroidal sclerosis
Ototoxicity,Mitochondrial toxicity
Pain,External ear pain
Pain,Lip pain
Pain,External ear pain
Papule,Ankle arthroplasty
Plague,Large cell lung cancer stage I
Pneumonitis,Congenital pneumonia
Precerebral artery occlusion,Intraoperative cerebral artery occlusion
Prostatism,Prostatic adenoma
Prothrombin time,Thrombin time normal
Pyuria,Traumatic anuria
Ranula,Enlarged uvula
Retinopathy,Retinol binding protein decreased
Scar,Implant site scar
Seroma,Stoma closure
Spinal decompression,Traumatic spinal cord compression
Theft,Tilt table test positive
Thyroxine,Thyroid cyst
Weight,High carbohydrate diet
Heyde's syndrome,Cornelia de Lange syndrome
Abulia,Migraine with aura
Abulia,Alpha-1 acid glycoprotein increased
Lipase,Post procedural bile leak
Myeloblastoma,Myeloblast present
Myometritis,Cervical neuritis
Pneumatosis,Postpartum neurosis
Spondylolysis,Infective spondylitis
Dellen,Red blood cell target cells present
Asplenia,Splenic haemorrhage
Proctostomy,Urostomy closure
Balint's syndrome,Alien limb syndrome
Hyperexplexia,Parkinsonism hyperpyrexia syndrome
Acantholysis,Sperm analysis
Bicytopenia,Refractory cytopenia with multilineage dysplasia
Conjunctival disorder,Congenital nail disorder
Corneal disorder,Renal disorder prophylaxis
Entropion,Gingival erosion
PO2 abnormal,End-tidal CO2 normal
Effusion,Jealous delusion
CD4 lymphocytes increased,CD4 lymphocyte percentage increased
Hysterocele,Hydrocele female
Plateletcrit normal,Platelet aggregation normal
Palatectomy,Simple mastectomy
Lipoinjection,Periocular injection
Thyroplasty,Knee arthroplasty
Bradyphagia,Aphakia congenital
Froin's syndrome,Locked-in syndrome
Synaesthesia,General anaesthesia
Fistulotomy,Arteriovenous fistula
Illness,Ileus paralytic
Listeraemia,Listeria sepsis
Reflex test,Renal function test
Foreign body in throat,Foreign body in urogenital tract
