MRA_terms,Returned
Ataxia,QRS axis abnormal
Ataxia,Anti-actin antibody positive
Burkitt's lymphoma,High grade B-cell lymphoma Burkitt-like lymphoma stage I
CD8 lymphocytes,CSF lymphocyte count normal
CD8 lymphocytes,CD4 lymphocyte percentage increased
Chills,Total bile acids increased
Chills,Cells in urine
Colitis,Otitis media
Condom,Eosinophil count
Cyst,Tilt table test positive
Epididymitis,Benign neoplasm of epididymis
Fear,Ear malformation
Fibrin abnormal,Perfusion brain scan abnormal
Food interaction,Drug effective for unapproved indication
Galactocele,Galactose urine abnormal
Hyperthermia,Ocular hyperaemia
Lipoma,Diabetic coma
Mastoiditis,Mastitis bacterial
Morose,Model for end stage liver disease score abnormal
Myocarditis,Lyme carditis
Nausea,Nasal dryness
Orf,Circumstance or information capable of leading to medication error
Orf,Circumstance or information capable of leading to medication error
Otosclerosis,Hippocampal sclerosis
Ototoxicity,Oral toxicity
Papule,Ankle deformity
Plague,Large cell lung cancer stage II
Pneumonitis,Eosinophilic pneumonia
Prostatism,Prostatic atrophy
Prothrombin time,Thrombin time prolonged
Pyuria,Neonatal anuria
Ranula,Anaplastic large cell lymphoma T- and null-cell types
Retinopathy,Retinol binding protein increased
Rotor's syndrome,Branchio-oto-renal syndrome
Scar,Infusion site scar
Seroma,Stoma obstruction
Theft,West Nile virus test
Thyroxine,Thyroid disorder
Heyde's syndrome,Post treatment Lyme disease syndrome
Abulia,Migraine without aura
Abulia,Alpha-1 acid glycoprotein abnormal
Lipase,Lice infestation
Myeloblastoma,Myeloblast count increased
Myometritis,Neuritis cranial
Spondylolysis,Enteropathic spondylitis
Dellen,Red blood cell burr cells present
Asplenia,Splenic infarction
Acantholysis,Urine analysis
Bicytopenia,Refractory cytopenia with unilineage dysplasia
Conjunctival disorder,Congenital pigmentation disorder
Corneal disorder,Renal disorder in pregnancy
Entropion,Pocket erosion
Effusion,Persecutory delusion
Hysterocele,Hydrocele operation
Plateletcrit normal,Platelet adhesiveness normal
Palatectomy,Extended radical mastectomy
Lipoinjection,Epidural injection
Thyroplasty,Shoulder arthroplasty
Bradyphagia,Transient aphasia
Chagoma,Venous angioma of brain
Froin's syndrome,Organic brain syndrome
Synaesthesia,Infiltration anaesthesia
Fistulotomy,Biliary fistula
Illness,Ileus spastic
Listeraemia,Listeria test
Reflex test,Renal function test abnormal
Foreign body in throat,Foreign body in reproductive tract
