MRA_term,Modified_term,SearcherReturned_term,State,Rank
Alpha-2 macroglobulin,alphja 2 mciraglobulin,Alpha 1 microglobulin decreased,Unmatched,3rd
Aniridia,aniria,Neonatal anuria,Unmatched,3rd
Aniridia,aniria,Neonatal anuria,Unmatched,3rd
Anotia,attia,Anti-actin antibody positive,Unmatched,3rd
Asphyxia,aphyia,Aphonia,Unmatched,3rd
Ataxia,axia,QRS axis normal,Unmatched,3rd
Ataxia,axtia,Anti-actin antibody negative,Unmatched,3rd
Ataxia,atia,Anti-actin antibody positive,Unmatched,3rd
Burkitt's lymphoma,ubrkitt' lymhpoam,High grade B-cell lymphoma Burkitt-like lymphoma refractory,Unmatched,3rd
Burkitt's lymphoma stage I,brukitt' ymphkma sage i,High grade B-cell lymphoma Burkitt-like lymphoma stage IV,Unmatched,3rd
CD8 lymphocytes,cd4 lyphocytqe,CSF lymphocyte count increased,Unmatched,3rd
CD8 lymphocytes,dc8 lymiphocytg,CD8 lymphocyte percentage increased,Unmatched,3rd
Chills,cils,Cows milk free diet,Unmatched,3rd
Chills,iclls,Vitreal cells,Unmatched,3rd
Chyluria,churia,Chorea,Unmatched,3rd
Colitis,lcitis,Otitis externa,Unmatched,3rd
Condom,coonm,Colon gangrene,Unmatched,3rd
Crying,ryin,Loin pain haematuria syndrome,Unmatched,3rd
Cyst,tyst,Tilt table test normal,Unmatched,3rd
Dysuria,yuria,Anuria,Unmatched,3rd
Epididymitis,epfdidymiks,Biopsy epididymis normal,Unmatched,3rd
Factor VII deficiency,fhacztor ivi gdeficiencyt,Factor IX deficiency,Unmatched,3rd
Factor XIII deficiency,fatocr xnii deficiceny,Factor VIII deficiency,Unmatched,3rd
Factor XIII deficiency,kfiactor xwii dwniciency,Factor VIII deficiency,Unmatched,3rd
Factor XIII deficiency,faictoj ixii dweficency,Factor VII deficiency,Unmatched,3rd
Factor XIII deficiency,fcttor ixii deficiny,Factor VII deficiency,Unmatched,3rd
Fear,ear,Ear infection,Unmatched,3rd
Fibrin abnormal,bfrin arbnoral,Brain scan abnormal,Unmatched,3rd
Food interaction,ood inprcation,Unintentional use for unapproved indication,Unmatched,3rd
Fracture,factur,Complement factor,Unmatched,3rd
Galactocele,gcalactoce,Blood galactose,Unmatched,3rd
Hepatitis D,heptitsi d,Hepatitis C,Unmatched,3rd
Hepatitis D,ehpatitics d,Hepatitis C,Unmatched,3rd
Hepatitis D,heptaritis d,Hepatitis C,Unmatched,3rd
Hepatitis D,hepaittsi d,Hepatitis C,Unmatched,3rd
Hepatitis E,ehpatirtis e,Hepatitis C,Unmatched,3rd
Hepatitis E,heptetis e,Hepatitis C,Unmatched,3rd
Hepatitis E,heatitsi e,Hepatitis C,Unmatched,3rd
Hepatitis E,ehpatitsi e,Hepatitis C,Unmatched,3rd
Hepatitis E,hepeayitis e,Hepatitis C,Unmatched,3rd
Hepatitis F,hptaitis f,Hepatitis C,Unmatched,3rd
Hepatitis F,ehpatitsi f,Hepatitis C,Unmatched,3rd
Hepatitis F,heoatitix f,Hepatitis C,Unmatched,3rd
Hepatitis F,heputntis f,Hepatitis C,Unmatched,3rd
Hepatitis F,hewatitsi f,Hepatitis C,Unmatched,3rd
Hepatitis G,yepatcitis g,Hepatitis C,Unmatched,3rd
Hepatitis G,tepatiis g,Hepatitis C,Unmatched,3rd
Hepatitis G,ehatitis g,Hepatitis C,Unmatched,3rd
Hepatitis G,heptitiis g,Hepatitis C,Unmatched,3rd
Hepatitis G,heaptitsi g,Hepatitis C,Unmatched,3rd
Hepatitis H,heyaitis h,Hepatitis C,Unmatched,3rd
Hepatitis H,hepatpiis h,Hepatitis C,Unmatched,3rd
Hepatitis H,hpattis h,Hepatitis C,Unmatched,3rd
Hepatitis H,hepaiqis h,Hepatitis C,Unmatched,3rd
Hepatitis H,hpeateitis h,Hepatitis C,Unmatched,3rd
HIV infection CDC Group IV subgroup E,piv infwcyion dcc groun iv subgrpu e,HIV infection CDC Group IV subgroup D,Unmatched,3rd
HIV infection CDC Group IV subgroup E,hi inzectson cd groeup iv usbrgoup e,HIV infection CDC Group IV subgroup D,Unmatched,3rd
HIV infection CDC Group IV subgroup E,ihv nifectbion dc rgoup iv ubgoup e,HIV infection CDC Group IV subgroup D,Unmatched,3rd
HIV infection CDC Group IV subgroup E,hii infectnio clc rgoup iv rsubgrouxp e,HIV infection CDC Group IV subgroup D,Unmatched,3rd
HIV infection CDC Group IV subgroup E,hvi infetcicn cdi gorup iv usubroup e,HIV infection CDC Group IV subgroup D,Unmatched,3rd
Hyperthermia,hypertemnia,Hypertonia,Unmatched,3rd
Hypopharyngeal cancer stage I,hpapryngeal acnjcer stae i,Pharyngeal cancer stage II,Unmatched,3rd
Lactose intolerance,lpactse toleance,Lactose tolerance test normal,Unmatched,3rd
Lipids,liis,Loss of control of legs,Unmatched,3rd
Lipoma,poma,Coma uraemic,Unmatched,3rd
Macule,maul,Fall,Unmatched,3rd
Mastoiditis,mastdiis,Mastitis fungal,Unmatched,3rd
Menkes' syndrome,meens nydrome,Crowned dens syndrome,Unmatched,3rd
Morose,more,Model for end stage liver disease score,Unmatched,3rd
Myocarditis,ocardits,Meningococcal carditis,Unmatched,3rd
Nausea,nasa,Nasal congestion,Unmatched,3rd
Neck pain,eck paiy,Eye pain,Unmatched,3rd
Neurosis,neosis,Necrosis,Unmatched,3rd
Neurosis,neosis,Necrosis,Unmatched,3rd
Non-small cell lung cancer stage IIIB,ndon smal celw lun cbanncer stae piib,Non-small cell lung cancer stage IIIA,Unmatched,3rd
Non-small cell lung cancer stage IIIB,nov smaml ecll ulng acncemr stagi iib,Non-small cell lung cancer stage IIIA,Unmatched,3rd
Non-small cell lung cancer stage IIIB,not smll ccll lunyg casncr zstage iib,Non-small cell lung cancer stage IIIA,Unmatched,3rd
Orchitis,ocitis,Colitis,Unmatched,3rd
Orf,or,Removal of inert matter from skin or subcutaneous tissue,Unmatched,3rd
Orf,or,Removal of inert matter from skin or subcutaneous tissue,Unmatched,3rd
Oropharyngeal cancer stage II,opharygeal gancier sftage ii,Pharyngeal cancer stage IV,Unmatched,3rd
Otosclerosis,tcslerosis,Choroidal sclerosis,Unmatched,3rd
Ototoxicity,ttoxiicty,Mitochondrial toxicity,Unmatched,3rd
Pain,pan,External ear pain,Unmatched,3rd
Pain,pin,Lip pain,Unmatched,3rd
Pain,pan,External ear pain,Unmatched,3rd
Papule,aple,Acne,Unmatched,3rd
Papule,apkle,Ankle arthroplasty,Unmatched,3rd
Paranoia,apraoia,Aphakia,Unmatched,3rd
Pharyngeal cancer stage I,haryngela canltcer stace i,Laryngeal cancer stage II,Unmatched,3rd
Pharyngeal cancer stage I,parycngeal clnwcer stge i,Laryngeal cancer stage II,Unmatched,3rd
Pharyngeal cancer stage I,pahyngeal canccrm stgae i,Laryngeal cancer stage II,Unmatched,3rd
Pharyngeal cancer stage II,harygneal aicer ktage ii,Laryngeal cancer stage IV,Unmatched,3rd
Pharyngeal cancer stage II,karyngeal capnecr stgae ii,Laryngeal cancer stage IV,Unmatched,3rd
Plague,lpage,Large cell lung cancer stage I,Unmatched,3rd
Pneumonitis,mpneumonii,Congenital pneumonia,Unmatched,3rd
Precerebral artery occlusion,rerebral atry occulsino,Intraoperative cerebral artery occlusion,Unmatched,3rd
Prostatism,prostatmi,Prostatic adenoma,Unmatched,3rd
Prothrombin time,othrombxin tie,Thrombin time normal,Unmatched,3rd
Pyuria,auria,Traumatic anuria,Unmatched,3rd
Ranula,nrula,Enlarged uvula,Unmatched,3rd
Renal cancer stage I,renyal cacnyer dstage i,Rectal cancer stage II,Unmatched,3rd
Renal cancer stage I,reral cxoancer stag i,Rectal cancer stage II,Unmatched,3rd
Renal cancer stage II,rlnal acer stag ii,Anal cancer stage IV,Unmatched,3rd
Renal cancer stage II,rnal canre staeg ii,Anal cancer stage IV,Unmatched,3rd
Renal cancer stage II,lenal cancqoer satge ii,Anal cancer stage IV,Unmatched,3rd
Renal cancer stage II,ernal cacerl stapge ii,Anal cancer stage IV,Unmatched,3rd
Renal cancer stage III,benal cancy sgage ii,Anal cancer stage IV,Unmatched,3rd
Renal cancer stage III,relnal cncre sktage imi,Rectal cancer stage IV,Unmatched,3rd
Renal cancer stage III,refal chncre staeg iiig,Renal cancer stage II,Unmatched,3rd
Renal cancer stage IV,enal lanceru sage iv,Renal cancer stage II,Unmatched,3rd
Renal cancer stage IV,redal acncerm stge iv,Renal cancer stage II,Unmatched,3rd
Renal cancer stage IV,reknal cucer stag iv,Renal cancer stage II,Unmatched,3rd
Retinopathy,retinoty,Retinol binding protein decreased,Unmatched,3rd
Rotor's syndrome,roto' snrdome,Rett syndrome,Unmatched,3rd
Scar,scae,Implant site scar,Unmatched,3rd
Seroma,scoma,Stoma closure,Unmatched,3rd
Spinal decompression,sipnazl eompresoion,Traumatic spinal cord compression,Unmatched,3rd
T-cell lymphoma stage I,t sell glymphoam sage i,B-cell lymphoma stage IV,Unmatched,3rd
T-cell lymphoma stage I,t ell lymhpoza sage i,B-cell lymphoma stage IV,Unmatched,3rd
T-cell lymphoma stage I,t ecll ymphomn tage i,B-cell lymphoma stage IV,Unmatched,3rd
T-cell lymphoma stage I,t clell lkymhpoma satge i,B-cell lymphoma stage IV,Unmatched,3rd
T-cell lymphoma stage I,t cevll lypmohma strge i,B-cell lymphoma stage IV,Unmatched,3rd
T-cell lymphoma stage II,t ecll ylmphoman satge ii,B-cell lymphoma stage IV,Unmatched,3rd
T-cell lymphoma stage II,t pell lymphoe satge ii,B-cell lymphoma stage IV,Unmatched,3rd
T-cell lymphoma stage II,t ecll ylmphmoa tsage ii,B-cell lymphoma stage IV,Unmatched,3rd
T-cell lymphoma stage II,t ell lympma stlge ii,B-cell lymphoma stage IV,Unmatched,3rd
T-cell lymphoma stage II,t icell lmpyhoma stae ii,B-cell lymphoma stage IV,Unmatched,3rd
T-cell lymphoma stage III,t cll ylmphoam stge idii,T-cell lymphoma stage II,Unmatched,3rd
T-cell lymphoma stage III,t cdell xlymphmoa tsage qii,B-cell lymphoma stage III,Unmatched,3rd
T-cell lymphoma stage III,t ecll ylmphoa sage iiji,T-cell lymphoma stage II,Unmatched,3rd
T-cell lymphoma stage III,t celo lumphosma stapge nii,B-cell lymphoma stage IV,Unmatched,3rd
T-cell lymphoma stage III,t cll lmyphoa stange ii,B-cell lymphoma stage IV,Unmatched,3rd
T-cell lymphoma stage IV,t cewl lyymhoma sktage iv,T-cell lymphoma stage II,Unmatched,3rd
T-cell lymphoma stage IV,t fell lympokma stpage iv,T-cell lymphoma stage II,Unmatched,3rd
T-cell lymphoma stage IV,t cll lyphmoma stae iv,T-cell lymphoma stage II,Unmatched,3rd
T-cell lymphoma stage IV,t cells eymhoma stcage iv,T-cell lymphoma stage II,Unmatched,3rd
T-cell lymphoma stage IV,t cetll lymhhoa stamge iv,T-cell lymphoma stage II,Unmatched,3rd
Tension,enion,Kerion,Unmatched,3rd
Theft,teft,Tilt table test positive,Unmatched,3rd
Thyroxine,thyroie,Thyroid cyst,Unmatched,3rd
Trisomy 22,tamisomy 22,Trisomy 21,Unmatched,3rd
Trisomy 22,tjrasomy 22,Trisomy 21,Unmatched,3rd
Trisomy 22,triscoym 22,Trisomy 21,Unmatched,3rd
Trisomy 22,ltritsomy 22,Trisomy 21,Unmatched,3rd
Trisomy 22,tisomm 22,Trisomy 21,Unmatched,3rd
Vaginal cancer stage IVA,vinal crancre stae iv,Renal cancer stage II,Unmatched,3rd
Vaginal cancer stage IVA,vagiwoal cqnkcer staeg ivu,Vaginal cancer stage III,Unmatched,3rd
Vaginal cancer stage IVB,vagixas cadcner stgae ibv,Vaginal cancer stage III,Unmatched,3rd
Vaginal cancer stage IVB,vhiinal acncgr stagye vib,Vaginal cancer stage IVA,Unmatched,3rd
Vitamin B6 deficiency,itamie b6 defiienyc,Vitamin B2 deficiency,Unmatched,3rd
