unfoundTokens,addedTokens,count
e,b,37
c,b,35
d,b,29
iii,ii,24
t,b,20
a,e,19
ii,iii,17
b1,b6,15
b2,b6,15
c2,c4,15
i,ii,14
e,a,13
e,c,11
a,c,11
d,e,10
d,c,10
d,a,9
k,e,9
c1,c4,9
renal,rectal,7
abnormal,normal,7
renal,anal,6
pharyngeal,laryngeal,6
b,a,6
15,13,5
b,e,5
h,n,5
h,b,5
ii,vii,5
x,ix,5
b6,b12,5
g,b,5
b2,b12,5
x,v,5
14,13,5
f,b,5
16,13,5
17,13,5
k,c,5
18,13,5
21,13,5
22,13,5
2b,2,5
3,2,5
o,b,5
4p,13,5
8,13,5
9,13,5
b,ab,5
12,13,5
ix,iv,5
k,a,5
ii,iv,4
vith,viith,4
vii,v,4
iv,vi,4
xiii,ix,4
c,t,4
viii,vi,4
igd,igm,4
n,h,4
xi,ix,4
xith,xiith,4
hair,ear,3
iiib,iii,3
iii,ix,3
vgkc,vgcc,3
liver,limb,3
xyy,xxyy,3
xii,vii,3
vii,ix,3
xii,ix,3
xith,vith,3
xxx,xxyy,3
vii,vi,3
vth,vith,3
5701,5801,2
xiith,vith,2
xiii,vii,2
lens,lip,2
vii,i,2
iiib,iiia,2
iiia,iii,2
iii,vi,2
xii,ii,2
wt1,nut,2
neurosis,miosis,2
braf,brca2,2
renal,oral,2
knee,nose,2
viii,vii,2
5801,1502,2
pash,aase,2
copa,cec,2
otorrhoea,logorrhoea,1
scan,scar,1
po2,pco2,1
scab,scan,1
sacrectomy,saccotomy,1
polyps,polyp,1
paratonia,ammonia,1
xxx,xyy,1
rotor's,ross,1
precerebral,vertebral,1
proctitis,aortitis,1
xith,viith,1
pyuria,aura,1
renal,sternal,1
rectal,renal,1
renal,retinal,1
oral,viral,1
xiith,viith,1
tenoplasty,otoplasty,1
vii,ii,1
vein,skin,1
vaginal,anal,1
uvulitis,vulvitis,1
urinoma,lipoma,1
urea,lead,1
troponin,protein,1
tongue,toe,1
tet2,kmt2a,1
viith,viiith,1
test,sex,1
tear,test,1
xiith,viiith,1
talipes,rales,1
surgery,hunger,1
vulval,anal,1
warm,lag,1
widal,anal,1
xerosis,miosis,1
snoring,drooling,1
skin,lid,1
sitophobia,mysophobia,1
xii,xi,1
scleritis,pyelitis,1
oropharyngeal,pharyngeal,1
0,i,1
oral,nail,1
exeresis,xerosis,1
blister,ulcer,1
bone,base,1
bradyphagia,aphasia,1
brain,pain,1
brash,barth,1
breast,iris,1
capnogram,urogram,1
chyluria,choluria,1
citric,uric,1
cornea,bone,1
decreased,increased,1
dental,adrenal,1
dental,renal,1
dural,viral,1
empyema,oedema,1
blast,plasma,1
b12,b6,1
asphyxia,aphasia,1
algophobia,haemophobia,1
3101,5801,1
a,b,1
abscess,excess,1
adenovirus,echovirus,1
adrenal,renal,1
agoraphobia,aerophobia,1
ammonia,mania,1
apheresis,exeresis,1
amusia,milia,1
anal,nail,1
anal,nasal,1
anal,oral,1
anal,renal,1
annuloplasty,tenoplasty,1
eschar,scab,1
eye,knee,1
opacity,pain,1
flood,good,1
mastitis,iritis,1
menkes,melas,1
mite,milk,1
myometritis,vitritis,1
nail,anal,1
nail,fat,1
nail,viral,1
nasal,anal,1
nasal,aural,1
nasal,nail,1
neck,ear,1
neurosis,necrosis,1
npm1,mpl,1
nr5a1,braf,1
ogden,omenn,1
lip,skin,1
lip,liver,1
limb,ilium,1
hyperthermia,hyperaemia,1
froin's,fryns,1
gaming,nail,1
groin,skin,1
h3n2,h2n2,1
hunger,anger,1
hyperexplexia,hyperreflexia,1
hypodontia,hypotonia,1
lens,eye,1
hypopharyngeal,pharyngeal,1
hyposmia,parosmia,1
iii,vii,1
iva,ii,1
iva,iv,1
ivb,iii,1
ivb,ii,1
