unfoundTokens,addedTokens,count
d,e,20
k,e,10
i,iv,6
d,a,6
h,d,5
f,d,5
e,d,5
e,a,5
14,22,5
x,v,5
12,22,5
a,d,5
9,22,5
8,22,5
4p,22,5
18,22,5
17,22,5
16,22,5
15,22,5
g,d,5
iii,ii,4
abnormal,normal,4
iii,xi,3
pharyngeal,laryngeal,3
iii,iv,3
e,b,3
vii,vi,2
xiii,xi,2
xiii,viii,2
xii,xi,2
renal,rectal,2
hypopharyngeal,pharyngeal,1
xiith,vth,1
xiith,vith,1
xii,vii,1
ataxia,anotia,1
vii,xiii,1
tension,renin,1
vaginal,renal,1
iii,xiii,1
t,b,1
c,t,1
pash,brash,1
paranoia,aphasia,1
orchitis,iritis,1
ivb,iva,1
iva,iv,1
xith,vth,1
