MRA_term,Modified_term,State
11-beta-hydroxylase deficiency,11 bea qydroxgylaee defictikncy,NO return
11-beta-hydroxylase deficiency,11 eta ydhrdoxylase edficiencry,NO return
11-beta-hydroxylase deficiency,11 betma hldroxyaset eficienc,NO return
11-beta-hydroxylase deficiency,11 beat hydroxyesa deicievcy,NO return
11-beta-hydroxylase deficiency,11 betam xhdroxyase deficiecgny,NO return
17 ketosteroids urine,17 ketotseghoids urien,NO return
17 ketosteroids urine,17 ketonseroidks uriae,NO return
17 ketosteroids urine,17 ketdystroids uirne,NO return
17 ketosteroids urine,17 ektoterids rine,NO return
17 ketosteroids urine,17 kegtosterlidbs uwrine,NO return
17 ketosteroids urine decreased,17 ketosertoins urize debreaded,NO return
17 ketosteroids urine decreased,17 ketosedocds rine decvxeased,NO return
17 ketosteroids urine decreased,17 etpostertoids rine deacresed,NO return
17 ketosteroids urine decreased,17 ketjolteroidx urhne decreassdk,NO return
17 ketosteroids urine decreased,17 ketstejorids uriine decresaedd,NO return
17 ketosteroids urine increased,17 kletostmroyids ruine itncreaxsed,NO return
17 ketosteroids urine increased,17 keosaeoids ruine icnrased,NO return
17 ketosteroids urine increased,17 ketsoterod urnie incqemased,NO return
17 ketosteroids urine increased,17 ktotsemoids urinek nicreasedc,NO return
17 ketosteroids urine increased,17 kestoteroisd utine inxcresaed,NO return
17 ketosteroids urine normal,17 eotstcroids urie niraml,NO return
17 ketosteroids urine normal,17 ketostohids uirne nrmral,NO return
17 ketosteroids urine normal,17 ketotdrosids urione ormae,NO return
17 ketosteroids urine normal,17 ekyosterods urie ormanl,NO return
17 ketosteroids urine normal,17 ketastteooids urien qormmal,NO return
17-alpha-hydroxylase deficiency,17 alha yhdroloylase weficimency,NO return
17-alpha-hydroxylase deficiency,17 blpha hyrdoxlayse eficienqy,NO return
17-alpha-hydroxylase deficiency,17 alpta hydbkroxylasr deficiznc,NO return
17-alpha-hydroxylase deficiency,17 avpha ykdroxlyase defiucaency,NO return
17-alpha-hydroxylase deficiency,17 alpa vydorxylasb deficisencn,NO return
"20,22-desmolase deficiency",20 22 desmolsaf defhicibency,NO return
21-hydroxylase deficiency,21 hydrouylsa dfciency,NO return
21-hydroxylase deficiency,21 yhdrowxylaase defcinecy,NO return
21-hydroxylase deficiency,21 chydrgxlase detfiiency,NO return
21-hydroxylase deficiency,21 hndrzoxylae deifcieincy,NO return
21-hydroxylase deficiency,21 hhyrdxylase ieficienc,NO return
5'nucleotidase increased,5 uceloiidase inckreassed,NO return
5'nucleotidase increased,5 numcletidaspe irceased,NO return
5'nucleotidase increased,5 nucleontidav incerasde,NO return
5'nucleotidase increased,5 nvuclmtidase inkreaoed,NO return
5'nucleotidase increased,5 ilnucleogtidase inceaysed,NO return
Abdominal rigidity,aboydminal rcigdity,NO return
Abdominal transposition,abdoirnal tnspvosition,NO return
Abdominal transposition,abdomoinxal tratsositio,NO return
Abdominal transposition,awbdomilnal trsnspositiu,NO return
Abdominal transposition,abdomianjl thranjsposdtion,NO return
Abdominal transposition,qbyominal rrasnpositioe,NO return
Abnormal palmar/plantar creases,anoqmal paalr planzta coeass,NO return
Abnormal palmar/plantar creases,abnorazml fpalma lpanta crfeasesm,NO return
ABO incompatibility,ab nicspatibilityq,NO return
ABO incompatibility,abos cicopmatibilityk,NO return
ABO incompatibility,abob ntcompabibiltity,NO return
ABO incompatibility,tbo incomptibeiliyc,NO return
ABO incompatibility,aob icompatibihftlity,NO return
Aborted pregnancy,aborewtd prhenancy,NO return
Aborted pregnancy,arbted pegnancsy,NO return
Abortion complete complicated,aboltoin zcocplete cnompolicaetd,NO return
Abortion complete complicated,aborvtfon cbmpltee copplicaetu,NO return
Abortion complete complicated,abdoriton comupqete somlpicaed,NO return
Abortion complete complicated,abjrotion comgete onmplicatedn,NO return
Abortion complete complicated,oabortionm cmplate colpicate,NO return
Abortion incomplete complicated,aboriionr incopmlet ompliatde,NO return
Abortion incomplete complicated,abrption incomple cmoplcivted,NO return
Abortion incomplete complicated,afabortion lincopmlete complicdavd,NO return
Abortion incomplete complicated,abotioh inqcompltee compyicakd,NO return
Abortion incomplete complicated,abortini nicomplette compplicaew,NO return
Abortion induced complete complicated,abcrotion indjucde comslee comlited,NO return
Abortion induced complete complicated,tbxortion indmued cmorlete copylecated,NO return
Abortion induced complete complicated,aotrion noduced compplxete dcompelcated,NO return
Abortion induced complete complicated,abortrioc niiuced cqmmplete compjiatjed,NO return
Abortion induced complete complicated,aborito invucqd comlepte cotplocatde,NO return
Abortion induced complicated,abortxiobn inkdnced coadmpliccted,NO return
Abortion induced complicated,aboetino inmdued cocplacted,NO return
Abortion induced complicated,baortlion bidnuced complhnate,NO return
Abortion induced complicated,abxrion iwnducied ompoicagted,NO return
Abortion induced complicated,abvtion indruces compslciate,NO return
Abortion induced incomplete complicated,arotion induc incomwpdete cozmpictaed,NO return
Abortion induced incomplete complicated,abcrion nidcued indomplte omccplicated,NO return
Abortion induced incomplete complicated,abortoizn ndcued incomjlzete cemblicatjed,NO return
Abortion induced incomplete complicated,baotrion nidued ncompleter cmoplicxaetd,NO return
Abortion induced incomplete complicated,baortiou iduved incomvletv coflicayed,NO return
Abortion spontaneous,aborio spntnaeuos,NO return
Abortion spontaneous,abortnn opntaneus,NO return
Abortion spontaneous,aobztion sspntanous,NO return
Abortion spontaneous,abotrino spantaneuss,NO return
Abortion spontaneous,aborrotion sopnaaenous,NO return
Abortion spontaneous complete complicated,aboktio psontmaneuos moplete comlicbaed,NO return
Abortion spontaneous complete complicated,adkbortion sponnaeohus coxmpelte compliktate,NO return
Abortion spontaneous complete complicated,abxorytion spontaoeofu compqiete commlited,NO return
Abortion spontaneous complete complicated,aybortino spjntaooeus cmpete crompclicatde,NO return
Abortion spontaneous complete complicated,acbortino psonotaneos ocmpletb jomalicateyd,NO return
Abortion spontaneous complicated,aboritono psonteous ocpmlciated,NO return
Abortion spontaneous complicated,aborkmion pontgeous complacatb,NO return
Abortion spontaneous complicated,aabrtion spoonhaneuos cqmlicateu,NO return
Abortion spontaneous complicated,abrtimn psontanqeus cdmplncaced,NO return
Abortion spontaneous complicated,aboritonc ysppontanoeus cmjlicatde,NO return
Abortion spontaneous incomplete complicated,abrotixn spotnaoeus incomelte cqozmlicated,NO return
Abortion spontaneous incomplete complicated,abuorion osjpontnaeous incmpleet ompkicaxted,NO return
Abortion spontaneous incomplete complicated,baortqion spontapejos oncmplete momplicztd,NO return
Abortion spontaneous incomplete complicated,aboiron sxpontanoouls inocmplee cmoplxcatei,NO return
Abortion spontaneous incomplete complicated,ahotion sponaneso izncomplte comflnicatzd,NO return
Abscess drainage,abescss drankiage,NO return
Accelerated hypertension,caecleravted hyperansio,NO return
Accelerated hypertension,aaceelratd hsylpertensron,NO return
Accelerated hypertension,ccelerawde hyperntspon,NO return
Accelerated hypertension,acckelertde hfyprtenhion,NO return
Accelerated hypertension,acceegratled hyeprtenio,NO return
Accessory muscle,cecssory mcule,NO return
Accident at work,accidte at wokr,NO return
Accommodation disorder,accomfdatoin diosrdvr,NO return
Accommodation disorder,accmmodaiwon idssorder,NO return
Accommodation disorder,acommodautidn dijjorder,NO return
Accommodation disorder,accomjmodaytio daiosrder,NO return
Accommodation disorder,cacomjodatioqn mdisordef,NO return
Acetonaemia,acetoaaemnai,NO return
Acetonaemia,aceaogameia,NO return
Acetonaemia,aetoaneia,NO return
Acetonaemia,aceonayia,NO return
Acetonaemia,aetineamia,NO return
Achlorhydria,achohndria,NO return
Achlorhydria,achlohrayria,NO return
Achlorhydria,achlrtdria,NO return
Achlorhydria,cahborhydriz,NO return
Achlorhydria,shlorhcydria,NO return
Acid base balance,acad bade lbance,NO return
Acid base balance normal,caid obase balkaece nmoal,NO return
Acidosis hyperchloraemic,aciddosin ypesdrchlraemic,NO return
Acidosis hyperchloraemic,acioss yhqpxrchloaremic,NO return
Acidosis hyperchloraemic,zcaidosis yhpedhghloraemic,NO return
Acidosis hyperchloraemic,acvipdosis yhperchlormuaeimc,NO return
Acidosis hyperchloraemic,acidysib hyperyholaeimc,NO return
Acne cystic,ance cysct,NO return
Acne occupational,ance oecupatsona,NO return
Acne occupational,gacne occuxkpatinal,NO return
Acne occupational,acn jcjcupatirnal,NO return
Acne occupational,cane ccupatioan,NO return
Acne occupational,zacne oeccuptionat,NO return
Acne varioliformis,cne vcroilifomis,NO return
Acne varioliformis,ane zvarioltformik,NO return
Acne varioliformis,cane vaimoliforims,NO return
Acne varioliformis,acine avgiolifozrmis,NO return
Acne varioliformis,acnp vraiilformis,NO return
Acoustic stimulation tests,acostvc stimluxatino etsts,NO return
Acoustic stimulation tests,kacoustitc stimbulqtino tets,NO return
Acoustic stimulation tests,laaoustic tsiumlantion etsts,NO return
Acoustic stimulation tests,acobutic stikuatoin tzsts,NO return
Acoustic stimulation tests,acoutsi tsimulagoin etsts,NO return
Acoustic stimulation tests abnormal,cauostic sauimultion rtests abnaral,NO return
Acoustic stimulation tests abnormal,acouktstic situlatkion test bnoraml,NO return
Acoustic stimulation tests abnormal,awcoustbic zpmiulation tsts aobrmal,NO return
Acoustic stimulation tests abnormal,aconstoic stiemlaton tesds bncrmal,NO return
Acoustic stimulation tests abnormal,cuostic stimuetaino tbests anobrmal,NO return
Acoustic stimulation tests normal,acousicc stizultino tespts eormaw,NO return
Acoustic stimulation tests normal,coutic ssimuvliation etsts rnomal,NO return
Acoustic stimulation tests normal,acoupsic sqtimulpsation tescts orma,NO return
Acoustic stimulation tests normal,acunostic tsiumlaion tesjts naoral,NO return
Acoustic stimulation tests normal,aucstic stiualiton tets orma,NO return
Acquired immunodeficiency syndrome,ucqunired imdhunosefciiency fyndroe,NO return
Acquired immunodeficiency syndrome,atquird imuncozdeficinecy wsykndrome,NO return
Acquired immunodeficiency syndrome,aquied immupodetfieincy sndrme,NO return
Acquired immunodeficiency syndrome,ohquired immunodefacieyn synroe,NO return
Acquired immunodeficiency syndrome,acquride imunodeefciienyy yskdrome,NO return
Acquired tracheo-oesophageal fistula,acquiirde trcacpeo oesophega fstwula,NO return
Acquired tracheo-oesophageal fistula,acquyire trsheo eosoophageahl fisqtul,NO return
Acquired tracheo-oesophageal fistula,aqcukired draceheo eosohpaeal fistzuda,NO return
Acquired tracheo-oesophageal fistula,cqusred trhceo oesorhaskal istlua,NO return
Acquired tracheo-oesophageal fistula,caquirem rtachoo eoesophgaela fisbul,NO return
Acral lentiginous melanoma,acqal loetiminous emlanoya,NO return
Acral lentiginous melanoma,acal lexlginous mqeanoma,NO return
Acral lentiginous melanoma,acrl etignous melanao,NO return
Acral lentiginous melanoma,cral lentgmnfus mlanmoa,NO return
Acral lentiginous melanoma,iacral leniogiwous melanuwma,NO return
Acral lentiginous melanoma stage I,aeral entinious meoanomj stagbe i,NO return
Acral lentiginous melanoma stage I,acrla lentgiineonus dmelanmoa sxage i,NO return
Acral lentiginous melanoma stage I,bcral lentigpsbinous melaenoam staeg i,NO return
Acral lentiginous melanoma stage I,acralj lentiihcus mlanomaa qstage i,NO return
Acral lentiginous melanoma stage I,adral entginosu mleeanoma otage i,NO return
Acral lentiginous melanoma stage II,apcral leniiinou melanmoy stag ii,NO return
Acral lentiginous melanoma stage II,acrpl ueniginou melanmao tage ii,NO return
Acral lentiginous melanoma stage II,acrgal lqenignous melandoam tsage ii,NO return
Acral lentiginous melanoma stage II,acrat lentvligious elanomda stqage ii,NO return
Acral lentiginous melanoma stage II,cral setigminous meanoka jtage ii,NO return
Acral lentiginous melanoma stage III,cral lentiogjincous meanomr staeg iqi,NO return
Acral lentiginous melanoma stage III,acrual ljentginons mlanma sotage ziii,NO return
Acral lentiginous melanoma stage III,rcral elnzigintous mlamnoma stag iei,NO return
