pt_col1,pt_col2
11-beta-hydroxylase deficiency,11-beta-hydroxylase deficiency
17 ketosteroids urine,17 ketosteroids urine
17 ketosteroids urine decreased,17 ketosteroids urine decreased
17 ketosteroids urine increased,17 ketosteroids urine increased
17 ketosteroids urine normal,17 ketosteroids urine normal
"17,20-desmolase deficiency","17,20-desmolase deficiency"
17-alpha-hydroxylase deficiency,17-alpha-hydroxylase deficiency
"20,22-desmolase deficiency","20,22-desmolase deficiency"
21-hydroxylase deficiency,21-hydroxylase deficiency
5'nucleotidase increased,5'nucleotidase increased
5-alpha-reductase deficiency,5-alpha-reductase deficiency
Abdomen crushing,Abdomen crushing
Abdominal adhesions,Abdominal adhesions
Abdominal discomfort,Abdominal discomfort
Abdominal distension,Abdominal distension
Abdominal mass,Abdominal mass
Abdominal pain,Abdominal pain
Abdominal pain lower,Abdominal pain lower
Abdominal pain upper,Abdominal pain upper
Abdominal rigidity,Abdominal rigidity
Abdominal sinus repair,Abdominal sinus repair
Abdominal tenderness,Abdominal tenderness
Abdominal transposition,Abdominal transposition
Abdominal wall abscess,Abdominal wall abscess
Abdominal wall anomaly,Abdominal wall anomaly
Abducent nerve operation,Abducent nerve operation
Abnormal dreams,Abnormal dreams
Abnormal faeces,Abnormal faeces
Abnormal labour,Abnormal labour
Abnormal labour affecting foetus,Abnormal labour affecting foetus
Abnormal loss of weight,Abnormal loss of weight
Abnormal palmar/plantar creases,Abnormal palmar/plantar creases
Abnormal sensation in eye,Abnormal sensation in eye
Abnormal weight gain,Abnormal weight gain
ABO haemolytic disease of newborn,ABO haemolytic disease of newborn
ABO incompatibility,ABO incompatibility
Aborted pregnancy,Aborted pregnancy
Abortion,Abortion
Abortion complete complicated,Abortion complete complicated
Abortion incomplete,Abortion incomplete
Abortion incomplete complicated,Abortion incomplete complicated
Abortion induced,Abortion induced
Abortion induced complete complicated,Abortion induced complete complicated
Abortion induced complicated,Abortion induced complicated
Abortion induced incomplete complicated,Abortion induced incomplete complicated
Abortion infected,Abortion infected
Abortion missed,Abortion missed
Abortion spontaneous,Abortion spontaneous
Abortion spontaneous complete complicated,Abortion spontaneous complete complicated
Abortion spontaneous complicated,Abortion spontaneous complicated
Abortion spontaneous incomplete complicated,Abortion spontaneous incomplete complicated
Abortion threatened,Abortion threatened
Abscess,Abscess
Abscess bacterial,Abscess bacterial
Abscess drainage,Abscess drainage
Abscess intestinal,Abscess intestinal
Abscess of external auditory meatus,Abscess of external auditory meatus
Abscess of eyelid,Abscess of eyelid
Abscess of salivary gland,Abscess of salivary gland
Abscess oral,Abscess oral
Abscess sterile,Abscess sterile
Abscess sweat gland,Abscess sweat gland
Abstains from alcohol,Abstains from alcohol
Acalculia,Acalculia
Acanthosis,Acanthosis
Acanthosis nigricans,Acanthosis nigricans
Acariasis,Acariasis
Accelerated hypertension,Accelerated hypertension
Accessory auricle,Accessory auricle
Accessory carpal bone,Accessory carpal bone
Accessory muscle,Accessory muscle
Accessory salivary gland,Accessory salivary gland
Accident,Accident
Accident at home,Accident at home
Accident at work,Accident at work
Accidental overdose,Accidental overdose
Accidental poisoning,Accidental poisoning
Accommodation disorder,Accommodation disorder
Acetabulum fracture,Acetabulum fracture
Acetonaemia,Acetonaemia
Achlorhydria,Achlorhydria
Acid base balance,Acid base balance
Acid base balance abnormal,Acid base balance abnormal
Acid base balance normal,Acid base balance normal
Acid-base balance disorder mixed,Acid-base balance disorder mixed
Acidosis,Acidosis
Acidosis hyperchloraemic,Acidosis hyperchloraemic
Acne,Acne
Acne conglobata,Acne conglobata
Acne cosmetica,Acne cosmetica
Acne cystic,Acne cystic
Acne infantile,Acne infantile
Acne occupational,Acne occupational
Acne pustular,Acne pustular
Acne varioliformis,Acne varioliformis
Acoustic neuroma,Acoustic neuroma
Acoustic neuroma removal,Acoustic neuroma removal
Acoustic stimulation tests,Acoustic stimulation tests
Acoustic stimulation tests abnormal,Acoustic stimulation tests abnormal
Acoustic stimulation tests normal,Acoustic stimulation tests normal
Acquired cardiac septal defect,Acquired cardiac septal defect
Acquired hydrocele,Acquired hydrocele
Acquired immunodeficiency syndrome,Acquired immunodeficiency syndrome
Acquired tracheo-oesophageal fistula,Acquired tracheo-oesophageal fistula
Acral lentiginous melanoma,Acral lentiginous melanoma
